image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
2212,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002206.jpg,"[0, 591, 542, 431]",,right,,leopard,common
2332,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002326.jpg,"[124, 175, 2240, 743]",,left,,leopard,common
1070,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001071.jpg,"[0, 252, 1278, 667]",,right,,leopard,abundant
1058,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001059.jpg,"[571, 433, 856, 484]",,left,,leopard,abundant
1076,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001077.jpg,"[0, 368, 2160, 1298]",,right,,leopard,abundant
235,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000236.jpg,"[449, 285, 1500, 708]",,down,,leopard,abundant
1057,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001058.jpg,"[187, 440, 2056, 805]",,left,,leopard,abundant
1053,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001054.jpg,"[736, 388, 1649, 838]",,left,,leopard,abundant
1082,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001083.jpg,"[381, 317, 1987, 1043]",,front,,leopard,abundant
1055,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001056.jpg,"[304, 421, 2023, 904]",,left,,leopard,abundant
232,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000233.jpg,"[514, 406, 994, 912]",,back,,leopard,abundant
1077,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001078.jpg,"[723, 610, 856, 627]",,right,,leopard,abundant
1049,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001050.jpg,"[972, 633, 409, 365]",,front,,leopard,abundant
1063,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001064.jpg,"[22, 373, 1311, 507]",,right,,leopard,abundant
1073,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001074.jpg,"[399, 439, 2001, 1051]",,front,,leopard,abundant
1333,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000001332.jpg,"[30, 446, 1373, 897]",,right,,leopard,abundant
996,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000000997.jpg,"[314, 82, 2082, 1488]",,left,,leopard,abundant
1307,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000001306.jpg,"[70, 581, 1316, 903]",,right,,leopard,abundant
1297,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000001296.jpg,"[723, 546, 859, 1054]",,front,,leopard,abundant
1330,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000001329.jpg,"[0, 521, 1925, 1279]",,front,,leopard,abundant
1306,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000001305.jpg,"[244, 165, 1679, 1276]",,right,,leopard,abundant
987,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000000988.jpg,"[37, 156, 2363, 1517]",,front,,leopard,abundant
1336,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000001335.jpg,"[0, 444, 1987, 1038]",,right,,leopard,abundant
