image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
2415,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002409.jpg,"[182, 223, 1977, 830]",,left,,leopard,common
2204,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002198.jpg,"[611, 346, 1107, 550]",,right,,leopard,common
2329,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002323.jpg,"[125, 167, 2042, 866]",,right,,leopard,common
2203,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002197.jpg,"[1119, 330, 1217, 619]",,left,,leopard,common
2333,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002327.jpg,"[20, 171, 2237, 972]",,right,,leopard,common
2211,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002205.jpg,"[2004, 529, 388, 786]",,left,,leopard,common
2416,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002410.jpg,"[127, 163, 2038, 874]",,right,,leopard,common
1062,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001063.jpg,"[228, 533, 1666, 490]",,right,,leopard,abundant
1075,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001076.jpg,"[292, 80, 1350, 1191]",,right,,leopard,abundant
1061,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001062.jpg,"[733, 353, 675, 650]",,back,,leopard,abundant
1078,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001079.jpg,"[192, 556, 1300, 999]",,right,,leopard,abundant
1059,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001060.jpg,"[588, 501, 857, 467]",,left,,leopard,abundant
1072,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001073.jpg,"[686, 374, 1714, 1085]",,left,,leopard,abundant
1047,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001048.jpg,"[964, 584, 351, 385]",,front,,leopard,abundant
1054,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001055.jpg,"[32, 419, 2330, 910]",,left,,leopard,abundant
229,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000230.jpg,"[26, 109, 2374, 1811]",,front,,leopard,abundant
1060,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001061.jpg,"[754, 562, 637, 831]",,back,,leopard,abundant
233,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000234.jpg,"[694, 736, 939, 864]",,back,,leopard,abundant
228,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000229.jpg,"[0, 361, 2349, 854]",,right,,leopard,abundant
231,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000232.jpg,"[0, 127, 2400, 1793]",,front,,leopard,abundant
1074,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001075.jpg,"[820, 690, 1580, 1110]",,left,,leopard,abundant
1068,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001069.jpg,"[30, 216, 1284, 674]",,right,,leopard,abundant
1048,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001049.jpg,"[1048, 558, 359, 411]",,front,,leopard,abundant
1052,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001053.jpg,"[1074, 110, 1253, 950]",,back,,leopard,abundant
1080,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001081.jpg,"[467, 451, 1933, 1126]",,front,,leopard,abundant
1050,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001051.jpg,"[1060, 581, 511, 364]",,front,,leopard,abundant
234,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000235.jpg,"[557, 568, 968, 476]",,down,,leopard,abundant
1051,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001052.jpg,"[843, 491, 1200, 523]",,left,,leopard,abundant
1064,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001065.jpg,"[26, 367, 1840, 668]",,right,,leopard,abundant
1067,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001068.jpg,"[11, 239, 1287, 682]",,right,,leopard,abundant
1081,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001082.jpg,"[409, 341, 1991, 1065]",,front,,leopard,abundant
127,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000128.jpg,"[569, 557, 891, 938]",,back,,leopard,abundant
1066,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001067.jpg,"[79, 497, 2118, 660]",,right,,leopard,abundant
1065,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001066.jpg,"[109, 423, 2100, 649]",,right,,leopard,abundant
