image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
3131,29c88755-3609-47c8-81f1-d48ee826fc5e,leopard.coco/images/train2022/000000003119.jpg,"[572, 653, 535, 337]",,left,,leopard,common
176,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000177.jpg,"[490, 214, 1885, 1135]",,left,,leopard,abundant
4589,9ddbb669-6b61-4171-8255-b7b9b7a67db1,leopard.coco/images/train2022/000000004577.jpg,"[0, 1206, 473, 594]",,front,,leopard,abundant
5804,a1d0fd59-883e-4e53-a313-6264f2f247fa,leopard.coco/images/train2022/000000005791.jpg,"[61, 1230, 312, 188]",,left,,leopard,abundant
2018,4b50b981-92fe-4e4f-8a00-3333efe792dd,leopard.coco/images/train2022/000000002013.jpg,"[0, 685, 797, 558]",,right,,leopard,abundant
2581,c3799f7d-5ba9-4266-beff-1cb38febbc86,leopard.coco/images/train2022/000000002572.jpg,"[1075, 512, 382, 710]",,front,,leopard,abundant
6672,159886bb-f624-4e29-b59a-100c5741beef,leopard.coco/images/train2022/000000006646.jpg,"[1066, 862, 185, 317]",,back,,leopard,common
5052,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000005039.jpg,"[415, 694, 789, 649]",,right,,leopard,abundant
1148,d2fe7415-883d-4fac-9509-a5c3bf48393d,leopard.coco/images/train2022/000000001147.jpg,"[477, 349, 1894, 1253]",,left,,leopard,abundant
6460,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000006445.jpg,"[68, 102, 2230, 1870]",,right,,leopard,abundant
5231,0d3642d3-39fd-452a-8fe5-b0daa2f623e0,leopard.coco/images/train2022/000000005218.jpg,"[572, 549, 307, 283]",,right,,leopard,abundant
186,1eec726a-99dd-403e-9cbb-aa4428fa3cf6,leopard.coco/images/train2022/000000000187.jpg,"[971, 241, 903, 741]",,left,,leopard,abundant
617,8e37baa5-c486-4056-9db8-5d00863406bc,leopard.coco/images/train2022/000000000618.jpg,"[148, 758, 1364, 461]",,down,,leopard,abundant
1803,e91455e2-1c59-4e24-ae02-de0cccf6c9eb,leopard.coco/images/train2022/000000001800.jpg,"[34, 0, 2317, 1341]",,right,,leopard,common
2024,acf48be9-1b25-40c0-9c5f-5218ba5c3920,leopard.coco/images/train2022/000000002019.jpg,"[523, 496, 1310, 1348]",,back,,leopard,common
1092,e9ffb750-5aa3-48e8-9390-3dfa1c2ae629,leopard.coco/images/train2022/000000001091.jpg,"[694, 521, 785, 665]",,right,,leopard,common
