image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
2737,23950465-b1cb-4e7e-a861-b18ce82aac55,hyena.coco/images/train2022/000000002713.jpg,"[564, 336, 1043, 885]",,right,,hyena,species_b
1171,8aa6f9e4-e249-494f-a762-11e847296544,hyena.coco/images/train2022/000000001157.jpg,"[63, 383, 2243, 1306]",,left,,hyena,species_b
1357,bb7b8783-ecf2-466b-956a-b07381a49e31,hyena.coco/images/train2022/000000001342.jpg,"[326, 641, 674, 422]",,right,,hyena,species_b
2103,2c44f7c6-44e5-4d34-9304-7807962aa038,hyena.coco/images/train2022/000000002079.jpg,"[127, 277, 2041, 1270]",,backleft,,hyena,species_b
2058,11ae9785-7d82-4bd6-8ce9-e94ed362c23f,hyena.coco/images/train2022/000000002035.jpg,"[167, 216, 1994, 1500]",,left,,hyena,species_b
1500,1b7c302c-68ae-46a7-b18e-a97d342081a9,hyena.coco/images/train2022/000000001480.jpg,"[24, 29, 2302, 1545]",,left,,hyena,species_b
504,79dafc01-fa64-4db3-b3b6-ed5236ed6a68,hyena.coco/images/train2022/000000000497.jpg,"[80, 0, 2134, 1356]",,right,,hyena,species_b
2539,0eac9e8c-6604-4224-8017-7552aea6cf42,hyena.coco/images/train2022/000000002515.jpg,"[0, 24, 2379, 1341]",,left,,hyena,species_b
1103,f4a2038b-8da9-451e-ae71-80cb90cb07b3,hyena.coco/images/train2022/000000001089.jpg,"[973, 518, 783, 635]",,right,,hyena,species_b
774,0b85b8c4-5ea9-46bd-8ba2-86ee385b1eb3,hyena.coco/images/train2022/000000000765.jpg,"[46, 102, 2252, 1737]",,left,,hyena,species_b
459,36fe7f0d-eb06-416e-b9c3-0387b970ccc9,hyena.coco/images/train2022/000000000452.jpg,"[0, 425, 657, 957]",,right,,hyena,species_b
899,5c6bdd77-0364-48e8-8022-591ca47f076e,hyena.coco/images/train2022/000000000890.jpg,"[266, 655, 775, 675]",,right,,hyena,species_b
1388,9d4d0203-ff17-4318-bd95-f1871e4aba4b,hyena.coco/images/train2022/000000001372.jpg,"[153, 63, 2115, 1592]",,right,,hyena,species_b
1866,4f895a17-6192-4ff1-863a-004837871796,hyena.coco/images/train2022/000000001844.jpg,"[129, 61, 2162, 1899]",,left,,hyena,species_b
2325,e7d7fd1f-5a2d-4073-ac1f-59f6268ba8de,hyena.coco/images/train2022/000000002301.jpg,"[1700, 509, 700, 698]",,left,,hyena,species_b
2008,c1593d0b-5f78-4f62-8304-932d7fbcc9fe,hyena.coco/images/train2022/000000001985.jpg,"[1498, 457, 893, 1199]",,left,,hyena,species_b
2412,67006b29-4adc-41dc-9b30-39a94363a81a,hyena.coco/images/train2022/000000002388.jpg,"[741, 675, 771, 468]",,right,,hyena,species_b
1967,89390731-0ff1-454f-a2ac-8017c49d8da6,hyena.coco/images/train2022/000000001944.jpg,"[19, 422, 950, 771]",,right,,hyena,species_b
1869,20e1204f-ae7b-4297-b578-ef07ac24829a,hyena.coco/images/train2022/000000001847.jpg,"[27, 69, 2350, 1606]",,left,,hyena,species_b
1359,7802d893-e75c-48c3-b822-8a9704bbbd4d,hyena.coco/images/train2022/000000001344.jpg,"[0, 607, 745, 905]",,right,,hyena,species_b
1586,c5c66d36-d1a6-412e-8289-0b5d8b275be9,hyena.coco/images/train2022/000000001566.jpg,"[67, 51, 2333, 1742]",,right,,hyena,species_b
1906,faf75b6e-88a9-4213-ad92-b3c8d1accdfc,hyena.coco/images/train2022/000000001884.jpg,"[494, 688, 1263, 906]",,right,,hyena,species_b
1416,c273c534-7efa-4da8-bdba-6fdb44d92fed,hyena.coco/images/train2022/000000001399.jpg,"[28, 140, 2335, 1630]",,right,,hyena,species_b
2620,c7fc642b-3a46-4bda-ac76-abcbffdf2260,hyena.coco/images/train2022/000000002596.jpg,"[0, 322, 2209, 1720]",,left,,hyena,species_b
2048,e1cb11c3-48d4-474d-9881-affe8b0d02d5,hyena.coco/images/train2022/000000002025.jpg,"[6, 91, 2360, 1824]",,frontright,,hyena,species_b
2783,23950465-b1cb-4e7e-a861-b18ce82aac55,hyena.coco/images/train2022/000000002759.jpg,"[578, 532, 1008, 767]",,backleft,,hyena,species_b
2,8aa6f9e4-e249-494f-a762-11e847296544,hyena.coco/images/train2022/000000000003.jpg,"[181, 233, 2084, 1530]",,right,,hyena,species_b
68,bb7b8783-ecf2-466b-956a-b07381a49e31,hyena.coco/images/train2022/000000000068.jpg,"[1391, 204, 1009, 1513]",,left,,hyena,species_b
1865,2c44f7c6-44e5-4d34-9304-7807962aa038,hyena.coco/images/train2022/000000001843.jpg,"[290, 227, 1885, 1373]",,left,,hyena,species_b
224,11ae9785-7d82-4bd6-8ce9-e94ed362c23f,hyena.coco/images/train2022/000000000222.jpg,"[0, 112, 2400, 1038]",,right,,hyena,species_b
919,1b7c302c-68ae-46a7-b18e-a97d342081a9,hyena.coco/images/train2022/000000000910.jpg,"[94, 23, 2224, 1405]",,right,,hyena,species_b
160,79dafc01-fa64-4db3-b3b6-ed5236ed6a68,hyena.coco/images/train2022/000000000159.jpg,"[0, 68, 2400, 1910]",,right,,hyena,species_b
518,0eac9e8c-6604-4224-8017-7552aea6cf42,hyena.coco/images/train2022/000000000511.jpg,"[117, 234, 2189, 1510]",,left,,hyena,species_b
740,f4a2038b-8da9-451e-ae71-80cb90cb07b3,hyena.coco/images/train2022/000000000731.jpg,"[517, 464, 1300, 1063]",,left,,hyena,species_b
420,0b85b8c4-5ea9-46bd-8ba2-86ee385b1eb3,hyena.coco/images/train2022/000000000416.jpg,"[0, 16, 2400, 1384]",,right,,hyena,species_b
149,36fe7f0d-eb06-416e-b9c3-0387b970ccc9,hyena.coco/images/train2022/000000000148.jpg,"[220, 634, 415, 206]",,right,,hyena,species_b
2749,5c6bdd77-0364-48e8-8022-591ca47f076e,hyena.coco/images/train2022/000000002725.jpg,"[662, 675, 778, 892]",,right,,hyena,species_b
1251,9d4d0203-ff17-4318-bd95-f1871e4aba4b,hyena.coco/images/train2022/000000001237.jpg,"[204, 194, 2196, 1774]",,right,,hyena,species_b
