image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
1802,e91455e2-1c59-4e24-ae02-de0cccf6c9eb,leopard.coco/images/train2022/000000001799.jpg,"[54, 45, 2346, 1322]",,left,,leopard,common
1805,e91455e2-1c59-4e24-ae02-de0cccf6c9eb,leopard.coco/images/train2022/000000001802.jpg,"[773, 779, 986, 751]",,right,,leopard,common
3548,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003536.jpg,"[24, 376, 587, 613]",,left,,leopard,abundant
3551,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003539.jpg,"[229, 349, 1351, 729]",,right,,leopard,abundant
143,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000144.jpg,"[694, 700, 783, 369]",,right,,leopard,abundant
157,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000158.jpg,"[1116, 568, 381, 396]",,back,,leopard,abundant
167,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000168.jpg,"[670, 865, 667, 406]",,right,,leopard,abundant
2168,c3799f7d-5ba9-4266-beff-1cb38febbc86,leopard.coco/images/train2022/000000002162.jpg,"[398, 592, 1081, 643]",,right,,leopard,abundant
2174,c3799f7d-5ba9-4266-beff-1cb38febbc86,leopard.coco/images/train2022/000000002168.jpg,"[936, 763, 504, 308]",,back,,leopard,abundant
6648,159886bb-f624-4e29-b59a-100c5741beef,leopard.coco/images/train2022/000000006622.jpg,"[642, 771, 857, 470]",,left,,leopard,common
6698,159886bb-f624-4e29-b59a-100c5741beef,leopard.coco/images/train2022/000000006671.jpg,"[1102, 1005, 853, 795]",,back,,leopard,common
2738,87427ec4-0f68-49b0-b2ed-a817c88f1ece,leopard.coco/images/train2022/000000002728.jpg,"[0, 778, 659, 541]",,right,,leopard,common
2782,87427ec4-0f68-49b0-b2ed-a817c88f1ece,leopard.coco/images/train2022/000000002772.jpg,"[651, 806, 364, 156]",,left,,leopard,common
2553,1a8f0efb-d26b-4441-8961-8221cda95262,leopard.coco/images/train2022/000000002544.jpg,"[943, 544, 1457, 645]",,left,,leopard,common
2552,1a8f0efb-d26b-4441-8961-8221cda95262,leopard.coco/images/train2022/000000002543.jpg,"[1256, 411, 1140, 980]",,left,,leopard,common
1447,a9ef8555-2ebc-4345-b021-5082ffebdcb7,leopard.coco/images/train2022/000000001446.jpg,"[664, 663, 1082, 1711]",,front,,leopard,common
1450,a9ef8555-2ebc-4345-b021-5082ffebdcb7,leopard.coco/images/train2022/000000001449.jpg,"[396, 346, 658, 591]",,front,,leopard,common
190,4f461caa-6f3a-47c7-8926-050f87f9c8f0,hyena.coco/images/train2022/000000000189.jpg,"[1431, 396, 731, 578]",,left,,hyena,species_b
1828,4f461caa-6f3a-47c7-8926-050f87f9c8f0,hyena.coco/images/train2022/000000001806.jpg,"[1029, 374, 1350, 795]",,left,,hyena,species_b
1380,9110686e-9241-4260-ab50-18cf4ae4a49f,hyena.coco/images/train2022/000000001364.jpg,"[127, 27, 2135, 1759]",,right,,hyena,species_b
2750,9110686e-9241-4260-ab50-18cf4ae4a49f,hyena.coco/images/train2022/000000002726.jpg,"[0, 0, 2338, 1525]",,left,,hyena,species_b
2940,7a0e8d37-e27f-4378-bab8-7cc37821cd8e,hyena.coco/images/train2022/000000002916.jpg,"[15, 512, 1696, 1229]",,right,,hyena,species_b
2019,7a0e8d37-e27f-4378-bab8-7cc37821cd8e,hyena.coco/images/train2022/000000001996.jpg,"[415, 618, 1096, 616]",,left,,hyena,species_b
1245,91be8644-a55d-45bf-9b4e-34c56c607690,hyena.coco/images/train2022/000000001231.jpg,"[671, 507, 1181, 1007]",,left,,hyena,species_b
1903,91be8644-a55d-45bf-9b4e-34c56c607690,hyena.coco/images/train2022/000000001881.jpg,"[1033, 466, 1087, 940]",,right,,hyena,species_b
