image_id,identity,path,bbox,date,orientation,segmentation,species
1970,84a2c56b-d51a-4883-8fde-33a11004fffc,leopard.coco/images/train2022/000000001965.jpg,"[0, 549, 452, 801]",,right,,leopard
1974,84a2c56b-d51a-4883-8fde-33a11004fffc,leopard.coco/images/train2022/000000001969.jpg,"[0, 420, 405, 930]",,right,,leopard
1995,84a2c56b-d51a-4883-8fde-33a11004fffc,leopard.coco/images/train2022/000000001990.jpg,"[0, 542, 199, 394]",,,,leopard
3711,2e0d0629-af46-40d0-bb63-922a27af5ab6,leopard.coco/images/train2022/000000003699.jpg,"[619, 1041, 1309, 753]",,back,,leopard
3735,2e0d0629-af46-40d0-bb63-922a27af5ab6,leopard.coco/images/train2022/000000003723.jpg,"[0, 481, 1332, 840]",,right,,leopard
3729,2e0d0629-af46-40d0-bb63-922a27af5ab6,leopard.coco/images/train2022/000000003717.jpg,"[476, 515, 991, 644]",,left,,leopard
5494,9ddbb669-6b61-4171-8255-b7b9b7a67db1,leopard.coco/images/train2022/000000005481.jpg,"[299, 795, 2101, 1005]",,left,,leopard
5502,9ddbb669-6b61-4171-8255-b7b9b7a67db1,leopard.coco/images/train2022/000000005489.jpg,"[0, 947, 461, 360]",,right,,leopard
3952,9ddbb669-6b61-4171-8255-b7b9b7a67db1,leopard.coco/images/train2022/000000003940.jpg,"[1117, 1005, 1002, 516]",,right,,leopard
3020,04b263b2-90cf-40a6-bbbc-172824b130f0,leopard.coco/images/train2022/000000003009.jpg,"[507, 735, 789, 463]",,right,,leopard
3018,04b263b2-90cf-40a6-bbbc-172824b130f0,leopard.coco/images/train2022/000000003007.jpg,"[516, 742, 891, 462]",,right,,leopard
2926,04b263b2-90cf-40a6-bbbc-172824b130f0,leopard.coco/images/train2022/000000002916.jpg,"[36, 810, 704, 457]",,right,,leopard
5968,81ad30d8-15c7-492e-918b-d9592d8f3f08,leopard.coco/images/train2022/000000005954.jpg,"[60, 121, 2295, 1319]",,left,,leopard
2940,81ad30d8-15c7-492e-918b-d9592d8f3f08,leopard.coco/images/train2022/000000002930.jpg,"[334, 572, 2024, 827]",,down,,leopard
1822,81ad30d8-15c7-492e-918b-d9592d8f3f08,leopard.coco/images/train2022/000000001817.jpg,"[0, 576, 2152, 939]",,right,,leopard
2007,09ddb320-0c6a-41c0-9f77-026e03dc8f81,leopard.coco/images/train2022/000000002002.jpg,"[0, 204, 2198, 1596]",,right,,leopard
2010,09ddb320-0c6a-41c0-9f77-026e03dc8f81,leopard.coco/images/train2022/000000002005.jpg,"[3, 731, 742, 384]",,,,leopard
1877,09ddb320-0c6a-41c0-9f77-026e03dc8f81,leopard.coco/images/train2022/000000001872.jpg,"[493, 805, 1327, 645]",,right,,leopard
1089,unknown,leopard.coco/images/train2022/000000001089.jpg,"[1627, 551, 739, 238]",,back,,leopard
1812,unknown,leopard.coco/images/train2022/000000001807.jpg,"[1578, 754, 822, 261]",,right,,leopard
6346,unknown,leopard.coco/images/train2022/000000006331.jpg,"[7, 867, 1326, 563]",,,,leopard
2582,c3799f7d-5ba9-4266-beff-1cb38febbc86,leopard.coco/images/train2022/000000002573.jpg,"[971, 368, 550, 972]",,front,,leopard
2580,c3799f7d-5ba9-4266-beff-1cb38febbc86,leopard.coco/images/train2022/000000002571.jpg,"[529, 433, 881, 636]",,front,,leopard
2165,c3799f7d-5ba9-4266-beff-1cb38febbc86,leopard.coco/images/train2022/000000002159.jpg,"[414, 567, 1063, 684]",,right,,leopard
2415,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002409.jpg,"[182, 223, 1977, 830]",,left,,leopard
2204,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002198.jpg,"[611, 346, 1107, 550]",,right,,leopard
2329,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002323.jpg,"[125, 167, 2042, 866]",,right,,leopard
3556,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003544.jpg,"[592, 332, 995, 631]",,right,,leopard
3554,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003542.jpg,"[598, 320, 962, 638]",,right,,leopard
3545,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003533.jpg,"[194, 349, 1244, 744]",,left,,leopard
3455,c3a937f1-f565-46c5-affb-4f6070efc3e0,leopard.coco/images/train2022/000000003443.jpg,"[505, 684, 772, 637]",,left,,leopard
3429,c3a937f1-f565-46c5-affb-4f6070efc3e0,leopard.coco/images/train2022/000000003417.jpg,"[462, 308, 851, 729]",,right,,leopard
3456,c3a937f1-f565-46c5-affb-4f6070efc3e0,leopard.coco/images/train2022/000000003444.jpg,"[362, 518, 980, 756]",,right,,leopard
380,8e37baa5-c486-4056-9db8-5d00863406bc,leopard.coco/images/train2022/000000000381.jpg,"[828, 781, 669, 709]",,right,,leopard
732,8e37baa5-c486-4056-9db8-5d00863406bc,leopard.coco/images/train2022/000000000733.jpg,"[934, 337, 1274, 625]",,left,,leopard
609,8e37baa5-c486-4056-9db8-5d00863406bc,leopard.coco/images/train2022/000000000610.jpg,"[514, 530, 1238, 633]",,down,,leopard
1062,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001063.jpg,"[228, 533, 1666, 490]",,right,,leopard
1075,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001076.jpg,"[292, 80, 1350, 1191]",,right,,leopard
1061,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001062.jpg,"[733, 353, 675, 650]",,back,,leopard
6799,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000006770.jpg,"[0, 341, 2400, 1459]",,down,,leopard
2584,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002575.jpg,"[397, 489, 2003, 778]",,left,,leopard
2154,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002148.jpg,"[976, 445, 858, 750]",,front,,leopard
2260,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002254.jpg,"[0, 441, 668, 961]",,front,,leopard
2253,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002247.jpg,"[0, 181, 1058, 1243]",,right,,leopard
2257,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002251.jpg,"[15, 242, 1395, 1122]",,right,,leopard
1856,2fa78422-17ff-4e2f-9df0-9d2a1859c797,leopard.coco/images/train2022/000000001851.jpg,"[28, 748, 724, 624]",,right,,leopard
2002,2fa78422-17ff-4e2f-9df0-9d2a1859c797,leopard.coco/images/train2022/000000001997.jpg,"[634, 506, 396, 303]",,left,,leopard
2000,2fa78422-17ff-4e2f-9df0-9d2a1859c797,leopard.coco/images/train2022/000000001995.jpg,"[1587, 473, 799, 476]",,left,,leopard
2042,a0d7ff43-7153-4c0d-b010-5c28a9172c9e,leopard.coco/images/train2022/000000002037.jpg,"[0, 107, 2348, 1693]",,right,,leopard
2049,a0d7ff43-7153-4c0d-b010-5c28a9172c9e,leopard.coco/images/train2022/000000002044.jpg,"[1091, 807, 432, 616]",,back,,leopard
3256,a0d7ff43-7153-4c0d-b010-5c28a9172c9e,leopard.coco/images/train2022/000000003244.jpg,"[0, 189, 2400, 1611]",,right,,leopard
1093,d2fe7415-883d-4fac-9509-a5c3bf48393d,leopard.coco/images/train2022/000000001092.jpg,"[571, 565, 1320, 821]",,front,,leopard
6080,d2fe7415-883d-4fac-9509-a5c3bf48393d,leopard.coco/images/train2022/000000006066.jpg,"[30, 246, 2299, 1064]",,right,,leopard
1162,d2fe7415-883d-4fac-9509-a5c3bf48393d,leopard.coco/images/train2022/000000001161.jpg,"[0, 741, 1426, 559]",,right,,leopard
4991,48586dfd-d491-4c06-91b9-2fbfcf5c6cdd,leopard.coco/images/train2022/000000004978.jpg,"[1702, 544, 698, 441]",,left,,leopard
4827,48586dfd-d491-4c06-91b9-2fbfcf5c6cdd,leopard.coco/images/train2022/000000004814.jpg,"[1728, 676, 667, 456]",,left,,leopard
4160,48586dfd-d491-4c06-91b9-2fbfcf5c6cdd,leopard.coco/images/train2022/000000004148.jpg,"[1412, 576, 790, 541]",,left,,leopard
179,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000180.jpg,"[748, 357, 1613, 955]",,front,,leopard
178,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000179.jpg,"[795, 472, 894, 1274]",,right,,leopard
169,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000170.jpg,"[128, 310, 2250, 1039]",,left,,leopard
