image_id,identity,path,bbox,date,orientation,segmentation,species
1970,84a2c56b-d51a-4883-8fde-33a11004fffc,leopard.coco/images/train2022/000000001965.jpg,"[0, 549, 452, 801]",,right,,leopard
1974,84a2c56b-d51a-4883-8fde-33a11004fffc,leopard.coco/images/train2022/000000001969.jpg,"[0, 420, 405, 930]",,right,,leopard
3711,2e0d0629-af46-40d0-bb63-922a27af5ab6,leopard.coco/images/train2022/000000003699.jpg,"[619, 1041, 1309, 753]",,back,,leopard
3735,2e0d0629-af46-40d0-bb63-922a27af5ab6,leopard.coco/images/train2022/000000003723.jpg,"[0, 481, 1332, 840]",,right,,leopard
5494,9ddbb669-6b61-4171-8255-b7b9b7a67db1,leopard.coco/images/train2022/000000005481.jpg,"[299, 795, 2101, 1005]",,left,,leopard
5502,9ddbb669-6b61-4171-8255-b7b9b7a67db1,leopard.coco/images/train2022/000000005489.jpg,"[0, 947, 461, 360]",,right,,leopard
3020,04b263b2-90cf-40a6-bbbc-172824b130f0,leopard.coco/images/train2022/000000003009.jpg,"[507, 735, 789, 463]",,right,,leopard
3018,04b263b2-90cf-40a6-bbbc-172824b130f0,leopard.coco/images/train2022/000000003007.jpg,"[516, 742, 891, 462]",,right,,leopard
5968,81ad30d8-15c7-492e-918b-d9592d8f3f08,leopard.coco/images/train2022/000000005954.jpg,"[60, 121, 2295, 1319]",,left,,leopard
2940,81ad30d8-15c7-492e-918b-d9592d8f3f08,leopard.coco/images/train2022/000000002930.jpg,"[334, 572, 2024, 827]",,down,,leopard
2007,09ddb320-0c6a-41c0-9f77-026e03dc8f81,leopard.coco/images/train2022/000000002002.jpg,"[0, 204, 2198, 1596]",,right,,leopard
2010,09ddb320-0c6a-41c0-9f77-026e03dc8f81,leopard.coco/images/train2022/000000002005.jpg,"[3, 731, 742, 384]",,,,leopard
1089,unknown,leopard.coco/images/train2022/000000001089.jpg,"[1627, 551, 739, 238]",,back,,leopard
1812,unknown,leopard.coco/images/train2022/000000001807.jpg,"[1578, 754, 822, 261]",,right,,leopard
2582,c3799f7d-5ba9-4266-beff-1cb38febbc86,leopard.coco/images/train2022/000000002573.jpg,"[971, 368, 550, 972]",,front,,leopard
2580,c3799f7d-5ba9-4266-beff-1cb38febbc86,leopard.coco/images/train2022/000000002571.jpg,"[529, 433, 881, 636]",,front,,leopard
2415,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002409.jpg,"[182, 223, 1977, 830]",,left,,leopard
2204,f266e031-2645-45c5-bbb9-047797e37a4a,leopard.coco/images/train2022/000000002198.jpg,"[611, 346, 1107, 550]",,right,,leopard
3556,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003544.jpg,"[592, 332, 995, 631]",,right,,leopard
3554,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003542.jpg,"[598, 320, 962, 638]",,right,,leopard
3455,c3a937f1-f565-46c5-affb-4f6070efc3e0,leopard.coco/images/train2022/000000003443.jpg,"[505, 684, 772, 637]",,left,,leopard
3429,c3a937f1-f565-46c5-affb-4f6070efc3e0,leopard.coco/images/train2022/000000003417.jpg,"[462, 308, 851, 729]",,right,,leopard
380,8e37baa5-c486-4056-9db8-5d00863406bc,leopard.coco/images/train2022/000000000381.jpg,"[828, 781, 669, 709]",,right,,leopard
732,8e37baa5-c486-4056-9db8-5d00863406bc,leopard.coco/images/train2022/000000000733.jpg,"[934, 337, 1274, 625]",,left,,leopard
1062,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001063.jpg,"[228, 533, 1666, 490]",,right,,leopard
1075,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001076.jpg,"[292, 80, 1350, 1191]",,right,,leopard
6799,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000006770.jpg,"[0, 341, 2400, 1459]",,down,,leopard
2584,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002575.jpg,"[397, 489, 2003, 778]",,left,,leopard
2260,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002254.jpg,"[0, 441, 668, 961]",,front,,leopard
2253,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002247.jpg,"[0, 181, 1058, 1243]",,right,,leopard
