image_id,identity,path,source_region,date,relative_age,location,latitude,longitude,encounter,client_id
0,lynx_014,CzechLynx/beskydy/lynx_014/00000_lynx_014.png,beskydy,03-03-2012,3.0,horni_becva-1,49.39917,18.34007,4879,client_0_beskydy
1,lynx_014,CzechLynx/beskydy/lynx_014/00001_lynx_014.png,beskydy,14-04-2012,3.0,horni_becva-1,49.39917,18.34007,5188,client_0_beskydy
2,lynx_184,CzechLynx/beskydy/lynx_184/00002_lynx_184.png,beskydy,20-02-2012,0.0,morkov-1,49.50851,18.08081,4875,client_0_beskydy
3,lynx_184,CzechLynx/beskydy/lynx_184/00003_lynx_184.png,beskydy,20-02-2012,0.0,morkov-1,49.50851,18.08081,4875,client_0_beskydy
4,lynx_184,CzechLynx/beskydy/lynx_184/00004_lynx_184.png,beskydy,22-02-2012,0.0,morkov-1,49.50851,18.08081,4876,client_0_beskydy
5,lynx_184,CzechLynx/beskydy/lynx_184/00005_lynx_184.png,beskydy,20-02-2012,0.0,morkov-1,49.50851,18.08081,4875,client_0_beskydy
6,lynx_184,CzechLynx/beskydy/lynx_184/00006_lynx_184.png,beskydy,22-02-2012,0.0,morkov-1,49.50851,18.08081,4876,client_0_beskydy
7,lynx_184,CzechLynx/beskydy/lynx_184/00007_lynx_184.png,beskydy,20-02-2012,0.0,morkov-1,49.50851,18.08081,4875,client_0_beskydy
8,lynx_184,CzechLynx/beskydy/lynx_184/00008_lynx_184.png,beskydy,22-02-2012,0.0,morkov-1,49.50851,18.08081,4876,client_0_beskydy
9,lynx_184,CzechLynx/beskydy/lynx_184/00009_lynx_184.png,beskydy,22-02-2012,0.0,morkov-1,49.50851,18.08081,4876,client_0_beskydy
10,lynx_184,CzechLynx/beskydy/lynx_184/00010_lynx_184.png,beskydy,22-02-2012,0.0,morkov-1,49.50851,18.08081,4876,client_0_beskydy
11,lynx_184,CzechLynx/beskydy/lynx_184/00011_lynx_184.png,beskydy,22-02-2012,0.0,morkov-1,49.50851,18.08081,4876,client_0_beskydy
12,lynx_184,CzechLynx/beskydy/lynx_184/00012_lynx_184.png,beskydy,22-02-2012,0.0,morkov-1,49.50851,18.08081,4876,client_0_beskydy
13,lynx_184,CzechLynx/beskydy/lynx_184/00013_lynx_184.png,beskydy,11-03-2012,0.0,morkov-1,49.50851,18.08081,4877,client_0_beskydy
14,lynx_184,CzechLynx/beskydy/lynx_184/00014_lynx_184.png,beskydy,11-03-2012,0.0,morkov-1,49.50851,18.08081,4877,client_0_beskydy
15,lynx_184,CzechLynx/beskydy/lynx_184/00015_lynx_184.png,beskydy,11-03-2012,0.0,morkov-1,49.50851,18.08081,4877,client_0_beskydy
16,lynx_184,CzechLynx/beskydy/lynx_184/00016_lynx_184.png,beskydy,11-03-2012,0.0,morkov-1,49.50851,18.08081,4878,client_0_beskydy
17,lynx_184,CzechLynx/beskydy/lynx_184/00017_lynx_184.png,beskydy,11-03-2012,0.0,morkov-1,49.50851,18.08081,4878,client_0_beskydy
18,lynx_117,CzechLynx/beskydy/lynx_117/00018_lynx_117.png,beskydy,28-12-2012,2.0,ostravice-2,49.47815,18.49268,5085,client_0_beskydy
19,lynx_117,CzechLynx/beskydy/lynx_117/00019_lynx_117.png,beskydy,28-12-2012,2.0,ostravice-2,49.47815,18.49268,5085,client_0_beskydy
