image_id,identity,path,source_region,date,relative_age,location,latitude,longitude,encounter,client_id
0,lynx_019,CzechLynx/nps/lynx_019/24131_lynx_019.png,nps,20-09-2023,7.0,,,,8636,client_1_nps
1,lynx_019,CzechLynx/nps/lynx_019/24132_lynx_019.png,nps,20-09-2023,7.0,,,,8637,client_1_nps
2,lynx_019,CzechLynx/nps/lynx_019/24133_lynx_019.png,nps,20-09-2023,7.0,,,,8637,client_1_nps
3,lynx_019,CzechLynx/nps/lynx_019/24134_lynx_019.png,nps,20-09-2023,7.0,,,,8637,client_1_nps
4,lynx_082,CzechLynx/nps/lynx_082/24135_lynx_082.png,nps,09-11-2023,5.0,,,,8638,client_1_nps
5,lynx_082,CzechLynx/nps/lynx_082/24136_lynx_082.png,nps,09-11-2023,5.0,,,,8638,client_1_nps
6,lynx_082,CzechLynx/nps/lynx_082/24137_lynx_082.png,nps,09-11-2023,5.0,,,,8638,client_1_nps
7,lynx_082,CzechLynx/nps/lynx_082/24138_lynx_082.png,nps,18-11-2023,5.0,,,,8639,client_1_nps
8,lynx_082,CzechLynx/nps/lynx_082/24139_lynx_082.png,nps,18-11-2023,5.0,,,,8640,client_1_nps
9,lynx_082,CzechLynx/nps/lynx_082/24140_lynx_082.png,nps,18-11-2023,5.0,,,,8640,client_1_nps
10,lynx_082,CzechLynx/nps/lynx_082/24141_lynx_082.png,nps,18-11-2023,5.0,,,,8640,client_1_nps
11,lynx_082,CzechLynx/nps/lynx_082/24142_lynx_082.png,nps,30-11-2023,5.0,,,,8641,client_1_nps
12,lynx_082,CzechLynx/nps/lynx_082/24143_lynx_082.png,nps,30-11-2023,5.0,,,,8642,client_1_nps
13,lynx_082,CzechLynx/nps/lynx_082/24144_lynx_082.png,nps,30-11-2023,5.0,,,,8642,client_1_nps
14,lynx_082,CzechLynx/nps/lynx_082/24145_lynx_082.png,nps,30-11-2023,5.0,,,,8642,client_1_nps
15,lynx_034,CzechLynx/nps/lynx_034/24146_lynx_034.png,nps,07-12-2023,0.0,,,,8643,client_1_nps
16,lynx_034,CzechLynx/nps/lynx_034/24147_lynx_034.png,nps,07-12-2023,0.0,,,,8644,client_1_nps
17,lynx_034,CzechLynx/nps/lynx_034/24148_lynx_034.png,nps,07-12-2023,0.0,,,,8644,client_1_nps
18,lynx_034,CzechLynx/nps/lynx_034/24149_lynx_034.png,nps,07-12-2023,0.0,,,,8644,client_1_nps
19,lynx_019,CzechLynx/nps/lynx_019/24150_lynx_019.png,nps,16-12-2023,7.0,,,,8645,client_1_nps
20,lynx_019,CzechLynx/nps/lynx_019/24151_lynx_019.png,nps,16-12-2023,7.0,,,,8646,client_1_nps
21,lynx_019,CzechLynx/nps/lynx_019/24152_lynx_019.png,nps,16-12-2023,7.0,,,,8646,client_1_nps
22,lynx_019,CzechLynx/nps/lynx_019/24153_lynx_019.png,nps,16-12-2023,7.0,,,,8646,client_1_nps
23,lynx_019,CzechLynx/nps/lynx_019/24154_lynx_019.png,nps,16-12-2023,7.0,,,,8647,client_1_nps
24,lynx_019,CzechLynx/nps/lynx_019/24155_lynx_019.png,nps,16-12-2023,7.0,,,,8648,client_1_nps
25,lynx_019,CzechLynx/nps/lynx_019/24156_lynx_019.png,nps,16-12-2023,7.0,,,,8648,client_1_nps
26,lynx_019,CzechLynx/nps/lynx_019/24157_lynx_019.png,nps,16-12-2023,7.0,,,,8648,client_1_nps
27,lynx_082,CzechLynx/nps/lynx_082/24158_lynx_082.png,nps,20-12-2023,5.0,,,,8649,client_1_nps
28,lynx_082,CzechLynx/nps/lynx_082/24159_lynx_082.png,nps,20-12-2023,5.0,,,,8650,client_1_nps
29,lynx_082,CzechLynx/nps/lynx_082/24160_lynx_082.png,nps,20-12-2023,5.0,,,,8650,client_1_nps
30,lynx_082,CzechLynx/nps/lynx_082/24161_lynx_082.png,nps,20-12-2023,5.0,,,,8650,client_1_nps
31,lynx_019,CzechLynx/nps/lynx_019/24162_lynx_019.png,nps,11-01-2024,8.0,,,,8651,client_1_nps
32,lynx_019,CzechLynx/nps/lynx_019/24163_lynx_019.png,nps,11-01-2024,8.0,,,,8652,client_1_nps
33,lynx_019,CzechLynx/nps/lynx_019/24164_lynx_019.png,nps,11-01-2024,8.0,,,,8652,client_1_nps
34,lynx_019,CzechLynx/nps/lynx_019/24165_lynx_019.png,nps,11-01-2024,8.0,,,,8652,client_1_nps
35,lynx_082,CzechLynx/nps/lynx_082/24166_lynx_082.png,nps,11-01-2024,6.0,,,,8653,client_1_nps
36,lynx_082,CzechLynx/nps/lynx_082/24167_lynx_082.png,nps,11-01-2024,6.0,,,,8654,client_1_nps
37,lynx_082,CzechLynx/nps/lynx_082/24168_lynx_082.png,nps,11-01-2024,6.0,,,,8654,client_1_nps
38,lynx_082,CzechLynx/nps/lynx_082/24169_lynx_082.png,nps,11-01-2024,6.0,,,,8654,client_1_nps
39,lynx_034,CzechLynx/nps/lynx_034/24170_lynx_034.png,nps,30-03-2024,1.0,,,,8655,client_1_nps
40,lynx_034,CzechLynx/nps/lynx_034/24171_lynx_034.png,nps,30-03-2024,1.0,,,,8656,client_1_nps
41,lynx_034,CzechLynx/nps/lynx_034/24172_lynx_034.png,nps,30-03-2024,1.0,,,,8656,client_1_nps
42,lynx_034,CzechLynx/nps/lynx_034/24173_lynx_034.png,nps,30-03-2024,1.0,,,,8656,client_1_nps
43,lynx_116,CzechLynx/nps/lynx_116/24174_lynx_116.png,nps,10-09-2023,0.0,susice-1,49.2039,13.48618,8657,client_1_nps
44,lynx_116,CzechLynx/nps/lynx_116/24175_lynx_116.png,nps,10-09-2023,0.0,susice-1,49.2039,13.48618,8658,client_1_nps
45,lynx_116,CzechLynx/nps/lynx_116/24176_lynx_116.png,nps,10-09-2023,0.0,susice-1,49.2039,13.48618,8658,client_1_nps
46,lynx_116,CzechLynx/nps/lynx_116/24177_lynx_116.png,nps,10-09-2023,0.0,susice-1,49.2039,13.48618,8658,client_1_nps
47,lynx_116,CzechLynx/nps/lynx_116/24178_lynx_116.png,nps,24-09-2023,0.0,susice-1,49.2039,13.48618,8659,client_1_nps
48,lynx_116,CzechLynx/nps/lynx_116/24179_lynx_116.png,nps,24-09-2023,0.0,susice-1,49.2039,13.48618,8660,client_1_nps
49,lynx_116,CzechLynx/nps/lynx_116/24180_lynx_116.png,nps,24-09-2023,0.0,susice-1,49.2039,13.48618,8660,client_1_nps
50,lynx_116,CzechLynx/nps/lynx_116/24181_lynx_116.png,nps,24-09-2023,0.0,susice-1,49.2039,13.48618,8660,client_1_nps
