image_id,source,identity,image_path,date,relative_age,encounter,coat_pattern,location,cell_code,latitude,longitude,trap_id,split-geo_aware,split-time_open,split-time_closed,split,client
8764,beskydy,lynx_180,CzechLynx/beskydy/lynx_180/08764_lynx_180.png,2018-09-29,2.0,5202,,turzovka-3,10kmE494N296,49.4677,18.62986,beskydy-0,test,train,train,query,beskydy
10200,beskydy,lynx_180,CzechLynx/beskydy/lynx_180/10200_lynx_180.png,2019-12-01,3.0,5216,,turzovka-3,10kmE494N296,49.4677,18.62986,beskydy-0,test,train,test,query,beskydy
9713,beskydy,lynx_217,CzechLynx/beskydy/lynx_217/09713_lynx_217.png,2019-02-16,3.0,1974,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-192,test,train,train,query,beskydy
13299,beskydy,lynx_217,CzechLynx/beskydy/lynx_217/13299_lynx_217.png,2022-01-11,6.0,881,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-316,test,test,train,query,beskydy
10431,beskydy,lynx_205,CzechLynx/beskydy/lynx_205/10431_lynx_205.png,2018-03-01,1.0,4664,,bytca-2,10kmE493N294,49.29966,18.4615,beskydy-30,test,train,test,query,beskydy
6587,beskydy,lynx_205,CzechLynx/beskydy/lynx_205/06587_lynx_205.png,2017-03-24,0.0,1965,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-192,test,train,train,query,beskydy
5365,beskydy,lynx_161,CzechLynx/beskydy/lynx_161/05365_lynx_161.png,2016-08-17,1.0,2252,,terchova-4,10kmE497N295,49.34618,19.02448,beskydy-176,test,train,train,query,beskydy
4491,beskydy,lynx_161,CzechLynx/beskydy/lynx_161/04491_lynx_161.png,2016-03-30,1.0,2539,,oravska_lesna-1,10kmE498N295,49.33508,19.16119,beskydy-149,test,train,test,query,beskydy
13408,beskydy,lynx_182,CzechLynx/beskydy/lynx_182/13408_lynx_182.png,2020-12-12,0.0,308,,ostravice-1,10kmE492N296,49.48844,18.35544,beskydy-340,test,train,train,query,beskydy
12431,beskydy,lynx_182,CzechLynx/beskydy/lynx_182/12431_lynx_182.png,2021-05-07,1.0,2216,,ostravice-1,10kmE492N296,49.48844,18.35544,beskydy-179,test,train,test,query,beskydy
11279,beskydy,lynx_186,CzechLynx/beskydy/lynx_186/11279_lynx_186.png,2019-06-22,3.0,3696,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-73,test,train,test,query,beskydy
11474,beskydy,lynx_186,CzechLynx/beskydy/lynx_186/11474_lynx_186.png,2019-06-24,3.0,3713,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-73,test,train,train,query,beskydy
4828,beskydy,lynx_195,CzechLynx/beskydy/lynx_195/04828_lynx_195.png,2016-03-12,4.0,1929,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-192,test,train,test,query,beskydy
7479,beskydy,lynx_195,CzechLynx/beskydy/lynx_195/07479_lynx_195.png,2018-03-03,6.0,1244,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-263,test,train,train,query,beskydy
10317,beskydy,lynx_168,CzechLynx/beskydy/lynx_168/10317_lynx_168.png,2018-06-07,0.0,1504,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-236,test,train,test,query,beskydy
9467,beskydy,lynx_168,CzechLynx/beskydy/lynx_168/09467_lynx_168.png,2018-11-30,0.0,1087,,francova_lhota-2,10kmE491N293,49.23068,18.17297,beskydy-289,test,train,train,query,beskydy
7839,beskydy,lynx_201,CzechLynx/beskydy/lynx_201/07839_lynx_201.png,2017-10-18,0.0,1688,,kysucke_nove_mesto-3,10kmE496N295,49.35711,18.8877,beskydy-224,test,train,train,query,beskydy
8647,beskydy,lynx_201,CzechLynx/beskydy/lynx_201/08647_lynx_201.png,2018-06-12,1.0,1601,,terchova-4,10kmE497N295,49.34618,19.02448,beskydy-233,test,train,train,query,beskydy
3058,beskydy,lynx_170,CzechLynx/beskydy/lynx_170/03058_lynx_170.png,2015-04-25,3.0,2943,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-124,test,train,train,query,beskydy
7758,beskydy,lynx_170,CzechLynx/beskydy/lynx_170/07758_lynx_170.png,2018-03-19,6.0,1466,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-242,test,train,train,query,beskydy
5184,beskydy,lynx_194,CzechLynx/beskydy/lynx_194/05184_lynx_194.png,2016-03-27,1.0,3118,,rycerka_gorna-1,10kmE497N296,49.43533,19.04108,beskydy-104,test,train,train,query,beskydy
3910,beskydy,lynx_194,CzechLynx/beskydy/lynx_194/03910_lynx_194.png,2015-08-30,0.0,3452,,rycerka_gorna-1,10kmE497N296,49.43533,19.04108,beskydy-84,test,train,test,query,beskydy
16280,beskydy,lynx_167,CzechLynx/beskydy/lynx_167/16280_lynx_167.png,2023-10-16,5.0,5141,,ostravice-2,10kmE493N296,49.47815,18.49268,beskydy-8,test,test,train,query,beskydy
8868,beskydy,lynx_167,CzechLynx/beskydy/lynx_167/08868_lynx_167.png,2018-12-01,0.0,2625,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-147,test,train,test,query,beskydy
5408,beskydy,lynx_218,CzechLynx/beskydy/lynx_218/05408_lynx_218.png,2016-12-08,1.0,1767,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-208,test,train,train,query,beskydy
5814,beskydy,lynx_218,CzechLynx/beskydy/lynx_218/05814_lynx_218.png,2017-01-22,2.0,2911,,morkov-1,10kmE490N296,49.50851,18.08081,beskydy-131,test,train,train,query,beskydy
15068,beskydy,lynx_162,CzechLynx/beskydy/lynx_162/15068_lynx_162.png,2022-09-23,1.0,179,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-344,test,test,train,query,beskydy
13730,beskydy,lynx_162,CzechLynx/beskydy/lynx_162/13730_lynx_162.png,2022-03-19,1.0,174,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-344,test,test,train,query,beskydy
3002,beskydy,lynx_000,CzechLynx/beskydy/lynx_000/03002_lynx_000.png,2015-03-07,1.0,4271,,puchov-2,10kmE492N293,49.22063,18.30952,beskydy-47,test,train,test,query,beskydy
2891,beskydy,lynx_000,CzechLynx/beskydy/lynx_000/02891_lynx_000.png,2015-02-22,1.0,3778,,novy_hrozenkov-1,10kmE491N294,49.31998,18.18796,beskydy-68,test,train,train,query,beskydy
8576,beskydy,lynx_174,CzechLynx/beskydy/lynx_174/08576_lynx_174.png,2018-08-05,1.0,1729,,oravska_lesna-1,10kmE498N295,49.33508,19.16119,beskydy-219,test,train,train,query,beskydy
8455,beskydy,lynx_174,CzechLynx/beskydy/lynx_174/08455_lynx_174.png,2018-02-11,1.0,2032,,oravska_lesna-1,10kmE498N295,49.33508,19.16119,beskydy-189,test,train,train,query,beskydy
9911,beskydy,lynx_166,CzechLynx/beskydy/lynx_166/09911_lynx_166.png,2019-08-11,2.0,1261,,nydek-1,10kmE495N298,49.63545,18.79945,beskydy-262,test,train,train,query,beskydy
9899,beskydy,lynx_166,CzechLynx/beskydy/lynx_166/09899_lynx_166.png,2019-08-11,2.0,1260,,nydek-1,10kmE495N298,49.63545,18.79945,beskydy-262,test,train,train,query,beskydy
3917,beskydy,lynx_212,CzechLynx/beskydy/lynx_212/03917_lynx_212.png,2015-11-28,0.0,4513,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-32,test,train,train,query,beskydy
4804,beskydy,lynx_212,CzechLynx/beskydy/lynx_212/04804_lynx_212.png,2016-02-05,1.0,2008,,bytca-2,10kmE493N294,49.29966,18.4615,beskydy-190,test,train,test,query,beskydy
3385,beskydy,lynx_179,CzechLynx/beskydy/lynx_179/03385_lynx_179.png,2015-04-09,1.0,2733,,rycerka_gorna-1,10kmE497N296,49.43533,19.04108,beskydy-141,test,train,train,query,beskydy
2926,beskydy,lynx_179,CzechLynx/beskydy/lynx_179/02926_lynx_179.png,2015-02-14,1.0,2731,,rycerka_gorna-1,10kmE497N296,49.43533,19.04108,beskydy-141,test,train,train,query,beskydy
10588,beskydy,lynx_193,CzechLynx/beskydy/lynx_193/10588_lynx_193.png,2020-01-05,1.0,2095,,dolny_kubin-2,10kmE499N294,49.2347,19.28083,beskydy-185,test,train,train,query,beskydy
10939,beskydy,lynx_193,CzechLynx/beskydy/lynx_193/10939_lynx_193.png,2020-01-17,1.0,1742,,oravska_lesna-1,10kmE498N295,49.33508,19.16119,beskydy-219,test,train,test,query,beskydy
8831,beskydy,lynx_180,CzechLynx/beskydy/lynx_180/08831_lynx_180.png,2018-10-19,2.0,5203,,turzovka-3,10kmE494N296,49.4677,18.62986,beskydy-0,test,train,train,gallery,beskydy
10173,beskydy,lynx_180,CzechLynx/beskydy/lynx_180/10173_lynx_180.png,2019-12-01,3.0,5213,,turzovka-3,10kmE494N296,49.4677,18.62986,beskydy-0,test,train,test,gallery,beskydy
8685,beskydy,lynx_180,CzechLynx/beskydy/lynx_180/08685_lynx_180.png,2018-09-08,2.0,5200,,turzovka-3,10kmE494N296,49.4677,18.62986,beskydy-0,test,train,train,gallery,beskydy
10177,beskydy,lynx_180,CzechLynx/beskydy/lynx_180/10177_lynx_180.png,2019-12-01,3.0,5213,,turzovka-3,10kmE494N296,49.4677,18.62986,beskydy-0,test,train,test,gallery,beskydy
9676,beskydy,lynx_217,CzechLynx/beskydy/lynx_217/09676_lynx_217.png,2018-11-18,2.0,1669,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-226,test,train,train,gallery,beskydy
11709,beskydy,lynx_217,CzechLynx/beskydy/lynx_217/11709_lynx_217.png,2019-04-15,3.0,2235,,puchov-2,10kmE492N293,49.22063,18.30952,beskydy-178,test,train,train,gallery,beskydy
9706,beskydy,lynx_217,CzechLynx/beskydy/lynx_217/09706_lynx_217.png,2018-12-18,2.0,1972,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-192,test,train,train,gallery,beskydy
17409,beskydy,lynx_217,CzechLynx/beskydy/lynx_217/17409_lynx_217.png,2020-11-30,4.0,831,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-322,test,train,train,gallery,beskydy
6817,beskydy,lynx_205,CzechLynx/beskydy/lynx_205/06817_lynx_205.png,2017-11-01,0.0,1357,,turzovka-2,10kmE494N295,49.37847,18.61399,beskydy-250,test,train,test,gallery,beskydy
10430,beskydy,lynx_205,CzechLynx/beskydy/lynx_205/10430_lynx_205.png,2018-03-01,1.0,4663,,bytca-2,10kmE493N294,49.29966,18.4615,beskydy-30,test,train,test,gallery,beskydy
10428,beskydy,lynx_205,CzechLynx/beskydy/lynx_205/10428_lynx_205.png,2018-03-01,1.0,4663,,bytca-2,10kmE493N294,49.29966,18.4615,beskydy-30,test,train,test,gallery,beskydy
10433,beskydy,lynx_205,CzechLynx/beskydy/lynx_205/10433_lynx_205.png,2018-03-01,1.0,4664,,bytca-2,10kmE493N294,49.29966,18.4615,beskydy-30,test,train,test,gallery,beskydy
5014,beskydy,lynx_161,CzechLynx/beskydy/lynx_161/05014_lynx_161.png,2016-05-14,1.0,2022,,oravska_lesna-1,10kmE498N295,49.33508,19.16119,beskydy-189,test,train,train,gallery,beskydy
5092,beskydy,lynx_161,CzechLynx/beskydy/lynx_161/05092_lynx_161.png,2016-03-31,1.0,2244,,terchova-4,10kmE497N295,49.34618,19.02448,beskydy-176,test,train,train,gallery,beskydy
5023,beskydy,lynx_161,CzechLynx/beskydy/lynx_161/05023_lynx_161.png,2016-05-14,1.0,2022,,oravska_lesna-1,10kmE498N295,49.33508,19.16119,beskydy-189,test,train,train,gallery,beskydy
5146,beskydy,lynx_161,CzechLynx/beskydy/lynx_161/05146_lynx_161.png,2016-03-07,1.0,2242,,terchova-4,10kmE497N295,49.34618,19.02448,beskydy-176,test,train,train,gallery,beskydy
12745,beskydy,lynx_182,CzechLynx/beskydy/lynx_182/12745_lynx_182.png,2021-08-05,1.0,4100,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-56,test,train,train,gallery,beskydy
13362,beskydy,lynx_182,CzechLynx/beskydy/lynx_182/13362_lynx_182.png,2020-12-04,0.0,3994,,ostravice-1,10kmE492N296,49.48844,18.35544,beskydy-59,test,train,train,gallery,beskydy
12434,beskydy,lynx_182,CzechLynx/beskydy/lynx_182/12434_lynx_182.png,2021-05-07,1.0,2217,,ostravice-1,10kmE492N296,49.48844,18.35544,beskydy-179,test,train,test,gallery,beskydy
13363,beskydy,lynx_182,CzechLynx/beskydy/lynx_182/13363_lynx_182.png,2020-12-09,0.0,3995,,ostravice-1,10kmE492N296,49.48844,18.35544,beskydy-59,test,train,train,gallery,beskydy
11219,beskydy,lynx_186,CzechLynx/beskydy/lynx_186/11219_lynx_186.png,2019-06-22,3.0,3691,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-73,test,train,test,gallery,beskydy
11097,beskydy,lynx_186,CzechLynx/beskydy/lynx_186/11097_lynx_186.png,2019-06-19,3.0,3666,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-73,test,train,test,gallery,beskydy
6837,beskydy,lynx_186,CzechLynx/beskydy/lynx_186/06837_lynx_186.png,2017-09-25,1.0,1629,,bytca-2,10kmE493N294,49.29966,18.4615,beskydy-230,test,train,test,gallery,beskydy
11190,beskydy,lynx_186,CzechLynx/beskydy/lynx_186/11190_lynx_186.png,2019-06-22,3.0,3685,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-73,test,train,test,gallery,beskydy
2159,beskydy,lynx_195,CzechLynx/beskydy/lynx_195/02159_lynx_195.png,2014-11-29,2.0,3421,,francova_lhota-2,10kmE491N293,49.23068,18.17297,beskydy-86,test,train,train,gallery,beskydy
821,beskydy,lynx_195,CzechLynx/beskydy/lynx_195/00821_lynx_195.png,2013-03-29,1.0,4264,,puchov-2,10kmE492N293,49.22063,18.30952,beskydy-47,test,train,train,gallery,beskydy
10300,beskydy,lynx_195,CzechLynx/beskydy/lynx_195/10300_lynx_195.png,2018-05-18,6.0,2502,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-151,test,train,test,gallery,beskydy
6257,beskydy,lynx_195,CzechLynx/beskydy/lynx_195/06257_lynx_195.png,2016-10-01,4.0,5021,,bytca-2,10kmE493N294,49.29966,18.4615,beskydy-13,test,train,test,gallery,beskydy
9858,beskydy,lynx_168,CzechLynx/beskydy/lynx_168/09858_lynx_168.png,2019-03-16,1.0,4223,,lidecko-1,10kmE490N293,49.24058,18.03637,beskydy-50,test,train,train,gallery,beskydy
10361,beskydy,lynx_168,CzechLynx/beskydy/lynx_168/10361_lynx_168.png,2018-09-05,0.0,1345,,lidecko-1,10kmE490N293,49.24058,18.03637,beskydy-254,test,train,train,gallery,beskydy
9671,beskydy,lynx_168,CzechLynx/beskydy/lynx_168/09671_lynx_168.png,2018-12-19,0.0,4825,,francova_lhota-2,10kmE491N293,49.23068,18.17297,beskydy-21,test,train,train,gallery,beskydy
10304,beskydy,lynx_168,CzechLynx/beskydy/lynx_168/10304_lynx_168.png,2018-06-06,0.0,2503,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-151,test,train,train,gallery,beskydy
10030,beskydy,lynx_201,CzechLynx/beskydy/lynx_201/10030_lynx_201.png,2018-02-10,1.0,1490,,krasnany-2,10kmE496N294,49.26793,18.87142,beskydy-238,test,train,test,gallery,beskydy
8646,beskydy,lynx_201,CzechLynx/beskydy/lynx_201/08646_lynx_201.png,2018-06-12,1.0,1601,,terchova-4,10kmE497N295,49.34618,19.02448,beskydy-233,test,train,train,gallery,beskydy
7864,beskydy,lynx_201,CzechLynx/beskydy/lynx_201/07864_lynx_201.png,2017-11-27,0.0,1597,,terchova-4,10kmE497N295,49.34618,19.02448,beskydy-233,test,train,train,gallery,beskydy
7926,beskydy,lynx_201,CzechLynx/beskydy/lynx_201/07926_lynx_201.png,2017-12-20,0.0,2276,,kysucke_nove_mesto-3,10kmE496N295,49.35711,18.8877,beskydy-175,test,train,test,gallery,beskydy
2173,beskydy,lynx_170,CzechLynx/beskydy/lynx_170/02173_lynx_170.png,2014-03-02,2.0,3368,,bytca-2,10kmE493N294,49.29966,18.4615,beskydy-87,test,train,test,gallery,beskydy
3060,beskydy,lynx_170,CzechLynx/beskydy/lynx_170/03060_lynx_170.png,2015-04-25,3.0,2943,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-124,test,train,train,gallery,beskydy
6949,beskydy,lynx_170,CzechLynx/beskydy/lynx_170/06949_lynx_170.png,2017-11-29,5.0,1664,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-226,test,train,train,gallery,beskydy
5551,beskydy,lynx_170,CzechLynx/beskydy/lynx_170/05551_lynx_170.png,2017-01-12,5.0,4542,,velke_karlovice-1,10kmE492N294,49.3099,18.32476,beskydy-32,test,train,test,gallery,beskydy
5498,beskydy,lynx_194,CzechLynx/beskydy/lynx_194/05498_lynx_194.png,2016-08-02,1.0,2741,,rycerka_gorna-1,10kmE497N296,49.43533,19.04108,beskydy-141,test,train,test,gallery,beskydy
3888,beskydy,lynx_194,CzechLynx/beskydy/lynx_194/03888_lynx_194.png,2015-08-30,0.0,3451,,rycerka_gorna-1,10kmE497N296,49.43533,19.04108,beskydy-84,test,train,test,gallery,beskydy
5203,beskydy,lynx_194,CzechLynx/beskydy/lynx_194/05203_lynx_194.png,2015-11-03,0.0,2739,,rycerka_gorna-1,10kmE497N296,49.43533,19.04108,beskydy-141,test,train,test,gallery,beskydy
5208,beskydy,lynx_194,CzechLynx/beskydy/lynx_194/05208_lynx_194.png,2015-11-03,0.0,2738,,rycerka_gorna-1,10kmE497N296,49.43533,19.04108,beskydy-141,test,train,test,gallery,beskydy
8751,beskydy,lynx_167,CzechLynx/beskydy/lynx_167/08751_lynx_167.png,2018-08-03,0.0,5111,,ostravice-2,10kmE493N296,49.47815,18.49268,beskydy-8,test,train,train,gallery,beskydy
15237,beskydy,lynx_167,CzechLynx/beskydy/lynx_167/15237_lynx_167.png,2023-02-01,5.0,99,,ostravice-1,10kmE492N296,49.48844,18.35544,beskydy-26,test,test,train,gallery,beskydy
8871,beskydy,lynx_167,CzechLynx/beskydy/lynx_167/08871_lynx_167.png,2018-12-01,0.0,4086,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-56,test,train,test,gallery,beskydy
15046,beskydy,lynx_167,CzechLynx/beskydy/lynx_167/15046_lynx_167.png,2022-09-12,4.0,5129,,ostravice-2,10kmE493N296,49.47815,18.49268,beskydy-8,test,test,train,gallery,beskydy
3970,beskydy,lynx_218,CzechLynx/beskydy/lynx_218/03970_lynx_218.png,2015-11-17,0.0,2903,,morkov-1,10kmE490N296,49.50851,18.08081,beskydy-131,test,train,train,gallery,beskydy
5816,beskydy,lynx_218,CzechLynx/beskydy/lynx_218/05816_lynx_218.png,2017-01-22,2.0,2911,,morkov-1,10kmE490N296,49.50851,18.08081,beskydy-131,test,train,train,gallery,beskydy
5809,beskydy,lynx_218,CzechLynx/beskydy/lynx_218/05809_lynx_218.png,2017-01-22,2.0,1766,,morkov-1,10kmE490N296,49.50851,18.08081,beskydy-209,test,train,train,gallery,beskydy
5807,beskydy,lynx_218,CzechLynx/beskydy/lynx_218/05807_lynx_218.png,2017-01-22,2.0,1766,,morkov-1,10kmE490N296,49.50851,18.08081,beskydy-209,test,train,train,gallery,beskydy
14642,beskydy,lynx_162,CzechLynx/beskydy/lynx_162/14642_lynx_162.png,2022-05-29,1.0,175,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-344,test,test,test,gallery,beskydy
14739,beskydy,lynx_162,CzechLynx/beskydy/lynx_162/14739_lynx_162.png,2022-07-02,1.0,177,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-344,test,test,train,gallery,beskydy
14589,beskydy,lynx_162,CzechLynx/beskydy/lynx_162/14589_lynx_162.png,2022-04-27,1.0,2639,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-147,test,test,test,gallery,beskydy
13741,beskydy,lynx_162,CzechLynx/beskydy/lynx_162/13741_lynx_162.png,2022-03-19,1.0,174,,trojanovice-1,10kmE491N296,49.49856,18.21815,beskydy-344,test,test,train,gallery,beskydy
3636,beskydy,lynx_000,CzechLynx/beskydy/lynx_000/03636_lynx_000.png,2014-08-10,0.0,2375,,francova_lhota-2,10kmE491N293,49.23068,18.17297,beskydy-157,test,train,train,gallery,beskydy
3717,beskydy,lynx_000,CzechLynx/beskydy/lynx_000/03717_lynx_000.png,2015-05-18,1.0,4785,,francova_lhota-2,10kmE491N293,49.23068,18.17297,beskydy-22,test,train,train,gallery,beskydy
2893,beskydy,lynx_000,CzechLynx/beskydy/lynx_000/02893_lynx_000.png,2015-02-23,1.0,3780,,novy_hrozenkov-1,10kmE491N294,49.31998,18.18796,beskydy-68,test,train,train,gallery,beskydy
2892,beskydy,lynx_000,CzechLynx/beskydy/lynx_000/02892_lynx_000.png,2015-02-22,1.0,3779,,novy_hrozenkov-1,10kmE491N294,49.31998,18.18796,beskydy-68,test,train,train,gallery,beskydy
10021,beskydy,lynx_174,CzechLynx/beskydy/lynx_174/10021_lynx_174.png,2018-01-27,1.0,1887,,dolny_kubin-3,10kmE499N295,49.32382,19.29785,beskydy-198,test,train,train,gallery,beskydy
7691,beskydy,lynx_174,CzechLynx/beskydy/lynx_174/07691_lynx_174.png,2018-04-02,1.0,2827,,oravska_lesna-1,10kmE498N295,49.33508,19.16119,beskydy-139,test,train,train,gallery,beskydy
10032,beskydy,lynx_174,CzechLynx/beskydy/lynx_174/10032_lynx_174.png,2018-12-05,1.0,1066,,terchova-4,10kmE497N295,49.34618,19.02448,beskydy-296,test,train,train,gallery,beskydy
8875,beskydy,lynx_174,CzechLynx/beskydy/lynx_174/08875_lynx_174.png,2018-12-05,1.0,1154,,terchova-4,10kmE497N295,49.34618,19.02448,beskydy-279,test,train,train,gallery,beskydy
9907,beskydy,lynx_166,CzechLynx/beskydy/lynx_166/09907_lynx_166.png,2019-08-11,2.0,1260,,nydek-1,10kmE495N298,49.63545,18.79945,beskydy-262,test,train,train,gallery,beskydy
9901,beskydy,lynx_166,CzechLynx/beskydy/lynx_166/09901_lynx_166.png,2019-08-11,2.0,1260,,nydek-1,10kmE495N298,49.63545,18.79945,beskydy-262,test,train,train,gallery,beskydy
9776,beskydy,lynx_166,CzechLynx/beskydy/lynx_166/09776_lynx_166.png,2019-06-01,2.0,1258,,nydek-1,10kmE495N298,49.63545,18.79945,beskydy-262,test,train,train,gallery,beskydy
9777,beskydy,lynx_166,CzechLynx/beskydy/lynx_166/09777_lynx_166.png,2019-06-01,2.0,1258,,nydek-1,10kmE495N298,49.63545,18.79945,beskydy-262,test,train,train,gallery,beskydy
4096,beskydy,lynx_212,CzechLynx/beskydy/lynx_212/04096_lynx_212.png,2015-12-31,0.0,2266,,kysucke_nove_mesto-3,10kmE496N295,49.35711,18.8877,beskydy-175,test,train,train,gallery,beskydy
3795,beskydy,lynx_212,CzechLynx/beskydy/lynx_212/03795_lynx_212.png,2015-11-11,0.0,2351,,turzovka-2,10kmE494N295,49.37847,18.61399,beskydy-162,test,train,train,gallery,beskydy
