image_id,identity,path,bbox,date,orientation,segmentation,species,split
49,e19c3dc4-0122-4c0a-be99-fbdb3e4741ef,leopard.coco/images/train2022/000000000050.jpg,"[1369, 816, 209, 148]",,,,leopard,query
296,47f3f548-3392-42c2-82d9-2637301a2061,leopard.coco/images/train2022/000000000297.jpg,"[238, 726, 1109, 517]",,right,,leopard,query
995,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000000996.jpg,"[224, 178, 2176, 1594]",,left,,leopard,query
1062,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001063.jpg,"[228, 533, 1666, 490]",,right,,leopard,query
1093,d2fe7415-883d-4fac-9509-a5c3bf48393d,leopard.coco/images/train2022/000000001092.jpg,"[571, 565, 1320, 821]",,front,,leopard,query
1341,96372678-43c8-42fd-b929-11dc9ba6f4e9,leopard.coco/images/train2022/000000001340.jpg,"[635, 844, 618, 334]",,right,,leopard,query
1527,18ffc687-a6fc-4f53-b226-72eaf7f66ccc,leopard.coco/images/train2022/000000001525.jpg,"[619, 530, 1381, 1081]",,left,,leopard,query
1856,2fa78422-17ff-4e2f-9df0-9d2a1859c797,leopard.coco/images/train2022/000000001851.jpg,"[28, 748, 724, 624]",,right,,leopard,query
2066,acf48be9-1b25-40c0-9c5f-5218ba5c3920,leopard.coco/images/train2022/000000002061.jpg,"[7, 818, 224, 251]",,back,,leopard,query
2079,277d5b22-d689-48fc-9d02-ba9a3a39b322,leopard.coco/images/train2022/000000002074.jpg,"[1761, 771, 639, 532]",,left,,leopard,query
2205,1c938299-6ff9-4d8b-aaeb-4f8d372093c2,leopard.coco/images/train2022/000000002199.jpg,"[27, 612, 763, 396]",,right,,leopard,query
2302,13ed75ce-17fe-4e6b-aa82-cf2ff7a3473e,leopard.coco/images/train2022/000000002296.jpg,"[403, 567, 1840, 721]",,left,,leopard,query
2382,7cd0e8a9-826f-4770-be7c-6d3f87dee9a1,leopard.coco/images/train2022/000000002376.jpg,"[241, 233, 2055, 1469]",,right,,leopard,query
2407,8aeb0450-bd20-4521-8282-5b5703c348c4,leopard.coco/images/train2022/000000002401.jpg,"[177, 138, 2079, 1024]",,left,,leopard,query
2409,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002403.jpg,"[75, 86, 2262, 935]",,left,,leopard,query
2535,d197663a-8909-4f77-8481-cde9f00ad619,leopard.coco/images/train2022/000000002526.jpg,"[360, 209, 2018, 1304]",,left,,leopard,query
2603,8fe3c161-b0c1-4e40-b3ba-998b37272b23,leopard.coco/images/train2022/000000002594.jpg,"[41, 690, 899, 505]",,right,,leopard,query
2730,5f9e6723-6dd0-4ba1-bbce-936fc6e70e90,leopard.coco/images/train2022/000000002720.jpg,"[1855, 865, 545, 565]",,left,,leopard,query
2847,f783fc6c-f22a-4b35-a37b-b814ca4cc68e,leopard.coco/images/train2022/000000002837.jpg,"[1915, 457, 470, 1307]",,back,,leopard,query
2872,59e30bdf-a8e4-4f2f-b003-2a84e2cd7384,leopard.coco/images/train2022/000000002862.jpg,"[0, 947, 842, 468]",,right,,leopard,query
3529,bf159a20-d4d1-45a0-bf61-b04abfee1a32,leopard.coco/images/train2022/000000003517.jpg,"[1372, 360, 850, 714]",,left,,leopard,query
3894,92979236-b885-4aa2-8f22-da447159f85a,leopard.coco/images/train2022/000000003882.jpg,"[525, 501, 1357, 831]",,left,,leopard,query
4021,8f76acd2-f3ba-4c7a-a00f-bb71343d2356,leopard.coco/images/train2022/000000004009.jpg,"[2136, 811, 264, 417]",,left,,leopard,query
4785,6948d96b-0b5c-422b-a65d-e5098b613b81,leopard.coco/images/train2022/000000004772.jpg,"[729, 99, 690, 912]",,right,,leopard,query
5208,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000005195.jpg,"[1410, 394, 932, 850]",,front,,leopard,query
5982,6d626199-276e-4e30-9fcc-09de694be6f1,leopard.coco/images/train2022/000000005968.jpg,"[217, 0, 2183, 1440]",,left,,leopard,query
5990,81ec3fac-002e-46ef-85c6-b59d338797ef,leopard.coco/images/train2022/000000005976.jpg,"[223, 111, 2177, 1809]",,left,,leopard,query
5991,6f7a8ad0-c1b0-4e0a-8a56-73b51cc8d633,leopard.coco/images/train2022/000000005977.jpg,"[63, 115, 2253, 1782]",,left,,leopard,query
6201,ae7c662c-8e9c-4bf1-af81-548afc4bcb84,leopard.coco/images/train2022/000000006187.jpg,"[187, 145, 2085, 1131]",,right,,leopard,query
6428,9013c3db-3a8b-4f33-9fdb-fe4e7e5d454e,leopard.coco/images/train2022/000000006413.jpg,"[10, 40, 2370, 1789]",,left,,leopard,query
6432,23078cd2-337a-4f60-b5d1-31cff51b9c47,leopard.coco/images/train2022/000000006417.jpg,"[0, 0, 2355, 1723]",,right,,leopard,query
6504,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006489.jpg,"[259, 209, 2133, 1296]",,back,,leopard,query
