image_id,identity,path,bbox,date,orientation,segmentation,species
1866,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000001861.jpg,"[1472, 666, 928, 745]",,left,,leopard
1870,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000001865.jpg,"[326, 880, 516, 616]",,front,,leopard
1871,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000001866.jpg,"[1307, 800, 509, 351]",,left,,leopard
1872,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000001867.jpg,"[467, 784, 581, 807]",,front,,leopard
1873,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000001868.jpg,"[336, 757, 755, 429]",,left,,leopard
2034,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000002029.jpg,"[902, 766, 878, 411]",,left,,leopard
2035,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000002030.jpg,"[13, 663, 878, 843]",,right,,leopard
2036,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000002031.jpg,"[0, 680, 1694, 1168]",,right,,leopard
2037,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000002032.jpg,"[513, 691, 314, 129]",,,,leopard
2038,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000002033.jpg,"[0, 622, 989, 1226]",,front,,leopard
2039,3c117ea9-d8d2-4e41-b65a-317eea4d7650,leopard.coco/images/train2022/000000002034.jpg,"[1098, 768, 724, 403]",,left,,leopard
4181,2bf7957c-ef92-416e-a15c-1b1066663757,leopard.coco/images/train2022/000000004169.jpg,"[1513, 1242, 806, 536]",,right,,leopard
4264,2bf7957c-ef92-416e-a15c-1b1066663757,leopard.coco/images/train2022/000000004252.jpg,"[188, 559, 956, 1017]",,right,,leopard
4479,2bf7957c-ef92-416e-a15c-1b1066663757,leopard.coco/images/train2022/000000004467.jpg,"[1234, 1113, 366, 687]",,back,,leopard
4841,2bf7957c-ef92-416e-a15c-1b1066663757,leopard.coco/images/train2022/000000004828.jpg,"[1362, 889, 416, 170]",,left,,leopard
5107,2bf7957c-ef92-416e-a15c-1b1066663757,leopard.coco/images/train2022/000000005094.jpg,"[1098, 956, 367, 190]",,left,,leopard
5879,2bf7957c-ef92-416e-a15c-1b1066663757,leopard.coco/images/train2022/000000005866.jpg,"[909, 1145, 920, 568]",,left,,leopard
5954,9f82dbee-20d9-47e4-96cb-3291cb5dfc27,leopard.coco/images/train2022/000000005941.jpg,"[137, 0, 2257, 1920]",,left,,leopard
6061,9f82dbee-20d9-47e4-96cb-3291cb5dfc27,leopard.coco/images/train2022/000000006047.jpg,"[35, 33, 2315, 1256]",,right,,leopard
6073,9f82dbee-20d9-47e4-96cb-3291cb5dfc27,leopard.coco/images/train2022/000000006059.jpg,"[87, 26, 2242, 1290]",,left,,leopard
6088,9f82dbee-20d9-47e4-96cb-3291cb5dfc27,leopard.coco/images/train2022/000000006074.jpg,"[43, 88, 2166, 1833]",,front,,leopard
6319,9f82dbee-20d9-47e4-96cb-3291cb5dfc27,leopard.coco/images/train2022/000000006305.jpg,"[115, 0, 2204, 1368]",,right,,leopard
0,ace33278-b65f-43d4-9c12-530e420ddef5,hyena.coco/images/train2022/000000000001.jpg,"[580, 607, 1335, 899]",,right,,hyena
8,fdcab2e1-312d-4116-bdef-7bfdfcefe705,hyena.coco/images/train2022/000000000009.jpg,"[168, 0, 2107, 2205]",,right,,hyena
9,fee1977a-deac-4eb4-a1ba-5a5f669a9817,hyena.coco/images/train2022/000000000010.jpg,"[392, 629, 1122, 626]",,left,,hyena
10,5b3f1cd0-8656-4803-b85a-ac405603f434,hyena.coco/images/train2022/000000000011.jpg,"[890, 605, 841, 605]",,right,,hyena
11,844cb3cc-89dc-4609-b33a-3ffc2bb85fd7,hyena.coco/images/train2022/000000000012.jpg,"[1324, 494, 1076, 646]",,left,,hyena
14,aa99b035-19c0-4cfb-9c06-a58914422fc5,hyena.coco/images/train2022/000000000015.jpg,"[0, 0, 2384, 1361]",,right,,hyena
18,e217374d-17e1-4fa2-b4aa-868033edc1ed,hyena.coco/images/train2022/000000000019.jpg,"[761, 526, 992, 834]",,right,,hyena
19,e0233424-00dc-4c88-9e76-5741a76d5781,hyena.coco/images/train2022/000000000020.jpg,"[609, 538, 855, 499]",,left,,hyena
20,e217374d-17e1-4fa2-b4aa-868033edc1ed,hyena.coco/images/train2022/000000000021.jpg,"[346, 565, 1423, 908]",,left,,hyena
21,02e5fbda-3d57-4b0a-be41-2b151ac1ff30,hyena.coco/images/train2022/000000000022.jpg,"[478, 432, 1308, 1041]",,right,,hyena
22,bb7b8783-ecf2-466b-956a-b07381a49e31,hyena.coco/images/train2022/000000000023.jpg,"[0, 555, 1069, 730]",,right,,hyena
23,68996e21-12ab-4183-ab94-d2b0331efb10,hyena.coco/images/train2022/000000000024.jpg,"[5, 29, 2381, 1314]",,left,,hyena
26,981331f5-85cc-41d1-bbf6-6733aa8e2c42,hyena.coco/images/train2022/000000000027.jpg,"[299, 674, 601, 559]",,right,,hyena
27,3be4ffda-e5d4-4ff8-bed2-da0417e3636f,hyena.coco/images/train2022/000000000028.jpg,"[1557, 675, 670, 549]",,frontleft,,hyena
28,eeed33f6-863c-49df-a1e3-1f711738b244,hyena.coco/images/train2022/000000000029.jpg,"[425, 441, 1210, 1035]",,backright,,hyena
36,fee1977a-deac-4eb4-a1ba-5a5f669a9817,hyena.coco/images/train2022/000000000037.jpg,"[0, 390, 1599, 1210]",,right,,hyena
40,1ad6ea04-7e16-4875-aeb8-d088f5ac7325,hyena.coco/images/train2022/000000000041.jpg,"[0, 73, 2400, 1297]",,right,,hyena
41,6a1fc5e8-c077-41c4-9c3b-ff5d0b0364a2,hyena.coco/images/train2022/000000000042.jpg,"[1162, 705, 468, 331]",,left,,hyena
46,74d538f0-cb3e-4982-9584-7e0f886b8397,hyena.coco/images/train2022/000000000047.jpg,"[700, 542, 750, 634]",,left,,hyena
48,6e8d3aef-1f16-4b06-a5d4-9cf11fd29530,hyena.coco/images/train2022/000000000049.jpg,"[252, 0, 1408, 1097]",,left,,hyena
49,3c5a76ad-2355-4293-a88a-03d7f6296c65,hyena.coco/images/train2022/000000000050.jpg,"[5, 503, 793, 475]",,right,,hyena
52,fee1977a-deac-4eb4-a1ba-5a5f669a9817,hyena.coco/images/train2022/000000000053.jpg,"[58, 144, 1226, 1285]",,right,,hyena
56,d548ac7d-62f0-48cb-a8eb-4b7e0a5191b4,hyena.coco/images/train2022/000000000057.jpg,"[0, 117, 2356, 1261]",,left,,hyena
58,e77d385c-2200-4fa5-b90a-0dea100e69e5,hyena.coco/images/train2022/000000000059.jpg,"[420, 495, 1283, 990]",,left,,hyena
59,83207e09-61eb-4594-80f5-6a452cdd1dcf,hyena.coco/images/train2022/000000000060.jpg,"[113, 206, 2241, 1826]",,left,,hyena
61,83207e09-61eb-4594-80f5-6a452cdd1dcf,hyena.coco/images/train2022/000000000062.jpg,"[124, 62, 1895, 1837]",,left,,hyena
64,74d538f0-cb3e-4982-9584-7e0f886b8397,hyena.coco/images/train2022/000000000065.jpg,"[1498, 787, 533, 534]",,backleft,,hyena
65,81725e48-3c1f-4c7c-89d6-334c10234cf9,hyena.coco/images/train2022/000000000065.jpg,"[977, 601, 501, 633]",,frontright,,hyena
68,bb7b8783-ecf2-466b-956a-b07381a49e31,hyena.coco/images/train2022/000000000068.jpg,"[1391, 204, 1009, 1513]",,left,,hyena
69,c755133f-a088-47fb-be84-0c36422a9901,hyena.coco/images/train2022/000000000069.jpg,"[1561, 391, 823, 818]",,right,,hyena
72,02e5fbda-3d57-4b0a-be41-2b151ac1ff30,hyena.coco/images/train2022/000000000072.jpg,"[553, 329, 1146, 803]",,right,,hyena
75,e146c860-5de6-4870-978b-bb2f35f75d20,hyena.coco/images/train2022/000000000075.jpg,"[1672, 707, 608, 412]",,right,,hyena
80,83207e09-61eb-4594-80f5-6a452cdd1dcf,hyena.coco/images/train2022/000000000079.jpg,"[184, 161, 2036, 1721]",,right,,hyena
81,e217374d-17e1-4fa2-b4aa-868033edc1ed,hyena.coco/images/train2022/000000000080.jpg,"[715, 421, 1398, 805]",,right,,hyena
83,a5f6a30d-faa1-4d73-aebd-5dff073c6191,hyena.coco/images/train2022/000000000082.jpg,"[766, 501, 793, 538]",,frontright,,hyena
85,8e52a7f7-8046-4567-b92a-e5941b184745,hyena.coco/images/train2022/000000000084.jpg,"[105, 39, 2136, 1720]",,left,,hyena
