image_id,identity,path,bbox,date,orientation,segmentation,species
6234,9467c306-61bd-4754-af87-abb2e1c2fd7e,leopard.coco/images/train2022/000000006220.jpg,"[65, 234, 2273, 1566]",,right,,leopard
6136,9467c306-61bd-4754-af87-abb2e1c2fd7e,leopard.coco/images/train2022/000000006122.jpg,"[49, 193, 1873, 1485]",,right,,leopard
6347,7be3b63c-b52a-4881-b520-3b03fb457195,leopard.coco/images/train2022/000000006332.jpg,"[0, 73, 2176, 1642]",,front,,leopard
6294,7be3b63c-b52a-4881-b520-3b03fb457195,leopard.coco/images/train2022/000000006280.jpg,"[0, 0, 2400, 1573]",,left,,leopard
2430,86f2acec-a748-41d4-8da7-66ce785add5c,leopard.coco/images/train2022/000000002424.jpg,"[65, 73, 2208, 1069]",,left,,leopard
2006,98fef1c4-6ee8-4045-a782-bc833b43ea44,leopard.coco/images/train2022/000000002001.jpg,"[15, 1128, 1218, 672]",,back,,leopard
2708,355c95e7-b36a-4cde-8496-fa0a2d78fa70,leopard.coco/images/train2022/000000002698.jpg,"[1744, 915, 644, 606]",,left,,leopard
6247,c8ee0581-850c-445a-8e25-6b64687eae27,leopard.coco/images/train2022/000000006233.jpg,"[109, 33, 1807, 1408]",,left,,leopard
2903,a2d573ca-efe0-4a20-b650-0926b14f1b5f,leopard.coco/images/train2022/000000002893.jpg,"[1682, 421, 375, 698]",,front,,leopard
6022,d4b4cbc9-90b3-4f76-a615-75ac01eca88a,leopard.coco/images/train2022/000000006008.jpg,"[352, 266, 1970, 1649]",,left,,leopard
6309,d4b4cbc9-90b3-4f76-a615-75ac01eca88a,leopard.coco/images/train2022/000000006295.jpg,"[145, 133, 1974, 1782]",,front,,leopard
6082,d4b4cbc9-90b3-4f76-a615-75ac01eca88a,leopard.coco/images/train2022/000000006068.jpg,"[24, 12, 2251, 1364]",,left,,leopard
6650,a41e17ba-38d9-4680-b822-4e0e6b0ccaf7,leopard.coco/images/train2022/000000006624.jpg,"[899, 704, 755, 353]",,right,,leopard
6634,a41e17ba-38d9-4680-b822-4e0e6b0ccaf7,leopard.coco/images/train2022/000000006609.jpg,"[24, 720, 866, 582]",,right,,leopard
2673,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002663.jpg,"[0, 832, 1086, 626]",,right,,leopard
2743,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002733.jpg,"[0, 577, 525, 462]",,right,,leopard
2674,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002664.jpg,"[1070, 560, 962, 438]",,left,,leopard
2461,785c2dfe-1cae-4f51-a1d1-b635a36a7efd,leopard.coco/images/train2022/000000002455.jpg,"[74, 127, 2326, 909]",,left,,leopard
6365,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006350.jpg,"[117, 392, 1763, 1682]",,front,,leopard
6421,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006406.jpg,"[14, 442, 1795, 1947]",,right,,leopard
6393,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006378.jpg,"[189, 254, 1900, 1014]",,right,,leopard
5967,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000005953.jpg,"[0, 51, 2267, 1869]",,front,,leopard
1737,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001734.jpg,"[628, 766, 654, 554]",,back,,leopard
1739,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001736.jpg,"[38, 961, 1329, 839]",,right,,leopard
1746,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001743.jpg,"[377, 140, 2023, 1450]",,front,,leopard
1745,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001742.jpg,"[347, 364, 2031, 1137]",,left,,leopard
1738,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001735.jpg,"[0, 103, 1744, 1697]",,right,,leopard
1748,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001745.jpg,"[91, 599, 1264, 689]",,right,,leopard
1740,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001737.jpg,"[301, 484, 1175, 1241]",,right,,leopard
6076,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000006062.jpg,"[0, 68, 2105, 1853]",,front,,leopard
1742,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001739.jpg,"[989, 582, 785, 575]",,front,,leopard
6093,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000006079.jpg,"[221, 11, 2179, 1909]",,front,,leopard
263,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000264.jpg,"[0, 442, 2400, 1358]",,right,,leopard
262,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000263.jpg,"[162, 857, 1590, 783]",,right,,leopard
255,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000256.jpg,"[0, 178, 2375, 1559]",,right,,leopard
253,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000254.jpg,"[0, 578, 2400, 1222]",,right,,leopard
258,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000259.jpg,"[0, 250, 2400, 1550]",,front,,leopard
261,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000262.jpg,"[295, 644, 1461, 819]",,right,,leopard
254,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000255.jpg,"[0, 559, 2383, 1241]",,right,,leopard
179,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000180.jpg,"[748, 357, 1613, 955]",,front,,leopard
178,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000179.jpg,"[795, 472, 894, 1274]",,right,,leopard
171,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000172.jpg,"[419, 103, 1507, 1137]",,left,,leopard
169,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000170.jpg,"[128, 310, 2250, 1039]",,left,,leopard
174,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000175.jpg,"[182, 145, 2218, 1204]",,left,,leopard
177,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000178.jpg,"[781, 434, 600, 1356]",,back,,leopard
170,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000171.jpg,"[0, 111, 2192, 1238]",,left,,leopard
2409,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002403.jpg,"[75, 86, 2262, 935]",,left,,leopard
2198,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002192.jpg,"[0, 436, 1214, 723]",,right,,leopard
2199,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002193.jpg,"[61, 297, 1694, 826]",,right,,leopard
2316,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002310.jpg,"[0, 153, 2291, 1085]",,right,,leopard
2351,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002345.jpg,"[608, 595, 1792, 953]",,left,,leopard
2197,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002191.jpg,"[318, 443, 1471, 658]",,right,,leopard
2260,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002254.jpg,"[0, 441, 668, 961]",,front,,leopard
2253,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002247.jpg,"[0, 181, 1058, 1243]",,right,,leopard
2254,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002248.jpg,"[1051, 679, 545, 415]",,left,,leopard
2257,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002251.jpg,"[15, 242, 1395, 1122]",,right,,leopard
2259,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002253.jpg,"[0, 464, 634, 1021]",,front,,leopard
2252,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002246.jpg,"[27, 282, 994, 1034]",,right,,leopard
3133,29c88755-3609-47c8-81f1-d48ee826fc5e,leopard.coco/images/train2022/000000003121.jpg,"[0, 747, 877, 623]",,right,,leopard
