image_id,identity,path,bbox,date,orientation,segmentation,species
6022,d4b4cbc9-90b3-4f76-a615-75ac01eca88a,leopard.coco/images/train2022/000000006008.jpg,"[352, 266, 1970, 1649]",,left,,leopard
2673,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002663.jpg,"[0, 832, 1086, 626]",,right,,leopard
6365,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006350.jpg,"[117, 392, 1763, 1682]",,front,,leopard
5967,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000005953.jpg,"[0, 51, 2267, 1869]",,front,,leopard
1737,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001734.jpg,"[628, 766, 654, 554]",,back,,leopard
263,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000264.jpg,"[0, 442, 2400, 1358]",,right,,leopard
262,1662812e-a722-4e7c-b0e5-1a60da1775b4,leopard.coco/images/train2022/000000000263.jpg,"[162, 857, 1590, 783]",,right,,leopard
179,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000180.jpg,"[748, 357, 1613, 955]",,front,,leopard
178,39643a79-975c-45eb-9ca0-3cb835fa9145,leopard.coco/images/train2022/000000000179.jpg,"[795, 472, 894, 1274]",,right,,leopard
2409,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002403.jpg,"[75, 86, 2262, 935]",,left,,leopard
2260,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002254.jpg,"[0, 441, 668, 961]",,front,,leopard
3133,29c88755-3609-47c8-81f1-d48ee826fc5e,leopard.coco/images/train2022/000000003121.jpg,"[0, 747, 877, 623]",,right,,leopard
182,f9fd85b1-e3bb-45a3-9cb4-06f0c04ec8c2,leopard.coco/images/train2022/000000000183.jpg,"[607, 244, 1126, 1105]",,front,,leopard
2775,092dd05b-af5a-474c-9039-48117fed348c,leopard.coco/images/train2022/000000002765.jpg,"[726, 671, 716, 356]",,right,,leopard
2589,6884b482-7e06-461c-ab3e-42e3ac27511f,leopard.coco/images/train2022/000000002580.jpg,"[45, 536, 1324, 776]",,right,,leopard
