image_id,identity,path,bbox,date,orientation,segmentation,species
2321,6b3c5f37-bdcf-4536-8e7b-9df42b4b9b2c,leopard.coco/images/train2022/000000002315.jpg,"[135, 279, 2157, 873]",,left,,leopard
2323,6b3c5f37-bdcf-4536-8e7b-9df42b4b9b2c,leopard.coco/images/train2022/000000002317.jpg,"[115, 197, 2127, 888]",,right,,leopard
1283,6884b482-7e06-461c-ab3e-42e3ac27511f,leopard.coco/images/train2022/000000001282.jpg,"[1645, 859, 755, 475]",,left,,leopard
2589,6884b482-7e06-461c-ab3e-42e3ac27511f,leopard.coco/images/train2022/000000002580.jpg,"[45, 536, 1324, 776]",,right,,leopard
2620,6884b482-7e06-461c-ab3e-42e3ac27511f,leopard.coco/images/train2022/000000002611.jpg,"[1139, 614, 1261, 684]",,left,,leopard
2599,6884b482-7e06-461c-ab3e-42e3ac27511f,leopard.coco/images/train2022/000000002590.jpg,"[1056, 741, 1344, 624]",,left,,leopard
2485,f999cf2a-c4e5-4f13-b3e4-d4ce1f8b356b,leopard.coco/images/train2022/000000002477.jpg,"[98, 98, 2228, 1045]",,right,,leopard
2513,b16ae6bb-a818-4700-9e2d-ecdc63751243,leopard.coco/images/train2022/000000002505.jpg,"[234, 132, 2153, 1390]",,left,,leopard
6294,7be3b63c-b52a-4881-b520-3b03fb457195,leopard.coco/images/train2022/000000006280.jpg,"[0, 0, 2400, 1573]",,left,,leopard
6347,7be3b63c-b52a-4881-b520-3b03fb457195,leopard.coco/images/train2022/000000006332.jpg,"[0, 73, 2176, 1642]",,front,,leopard
2109,f9f79350-ddae-4912-8e6a-d64e883ee17e,leopard.coco/images/train2022/000000002104.jpg,"[2, 589, 1223, 947]",,right,,leopard
2110,f9f79350-ddae-4912-8e6a-d64e883ee17e,leopard.coco/images/train2022/000000002105.jpg,"[1592, 668, 808, 453]",,left,,leopard
2903,a2d573ca-efe0-4a20-b650-0926b14f1b5f,leopard.coco/images/train2022/000000002893.jpg,"[1682, 421, 375, 698]",,front,,leopard
5313,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000005300.jpg,"[478, 1062, 734, 513]",,right,,leopard
4898,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004885.jpg,"[429, 757, 749, 422]",,left,,leopard
5308,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000005295.jpg,"[1018, 660, 806, 771]",,right,,leopard
4996,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004983.jpg,"[385, 1153, 788, 455]",,left,,leopard
4395,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004383.jpg,"[762, 979, 406, 518]",,back,,leopard
4498,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004486.jpg,"[434, 121, 660, 519]",,left,,leopard
5243,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000005230.jpg,"[1333, 1053, 888, 667]",,left,,leopard
5303,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000005290.jpg,"[1657, 954, 668, 726]",,back,,leopard
4764,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004751.jpg,"[811, 1006, 407, 525]",,back,,leopard
3978,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000003966.jpg,"[431, 110, 679, 534]",,left,,leopard
4245,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004233.jpg,"[1200, 955, 493, 501]",,left,,leopard
4972,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004959.jpg,"[422, 767, 729, 405]",,left,,leopard
4267,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004255.jpg,"[0, 778, 1245, 954]",,right,,leopard
4837,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004824.jpg,"[1263, 607, 993, 642]",,left,,leopard
4749,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004736.jpg,"[1660, 971, 621, 717]",,back,,leopard
5306,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000005293.jpg,"[1237, 941, 521, 521]",,left,,leopard
4040,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004028.jpg,"[416, 1141, 854, 483]",,right,,leopard
4041,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004029.jpg,"[984, 681, 905, 727]",,right,,leopard
5311,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000005298.jpg,"[1277, 571, 920, 684]",,left,,leopard
4166,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000004154.jpg,"[1219, 972, 457, 477]",,left,,leopard
6365,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006350.jpg,"[117, 392, 1763, 1682]",,front,,leopard
6421,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006406.jpg,"[14, 442, 1795, 1947]",,right,,leopard
6393,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006378.jpg,"[189, 254, 1900, 1014]",,right,,leopard
2260,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002254.jpg,"[0, 441, 668, 961]",,front,,leopard
2253,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002247.jpg,"[0, 181, 1058, 1243]",,right,,leopard
2257,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002251.jpg,"[15, 242, 1395, 1122]",,right,,leopard
2252,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002246.jpg,"[27, 282, 994, 1034]",,right,,leopard
2259,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002253.jpg,"[0, 464, 634, 1021]",,front,,leopard
2254,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002248.jpg,"[1051, 679, 545, 415]",,left,,leopard
1737,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001734.jpg,"[628, 766, 654, 554]",,back,,leopard
1738,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001735.jpg,"[0, 103, 1744, 1697]",,right,,leopard
1745,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001742.jpg,"[347, 364, 2031, 1137]",,left,,leopard
1742,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001739.jpg,"[989, 582, 785, 575]",,front,,leopard
1740,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001737.jpg,"[301, 484, 1175, 1241]",,right,,leopard
5967,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000005953.jpg,"[0, 51, 2267, 1869]",,front,,leopard
6093,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000006079.jpg,"[221, 11, 2179, 1909]",,front,,leopard
6076,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000006062.jpg,"[0, 68, 2105, 1853]",,front,,leopard
1748,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001745.jpg,"[91, 599, 1264, 689]",,right,,leopard
1739,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001736.jpg,"[38, 961, 1329, 839]",,right,,leopard
1746,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001743.jpg,"[377, 140, 2023, 1450]",,front,,leopard
3474,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003462.jpg,"[65, 649, 2264, 1151]",,left,,leopard
6552,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000006537.jpg,"[86, 0, 1397, 2400]",,front,,leopard
3473,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003461.jpg,"[69, 53, 642, 1741]",,front,,leopard
6484,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000006469.jpg,"[94, 69, 1543, 2271]",,front,,leopard
3465,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003453.jpg,"[1370, 697, 498, 551]",,left,,leopard
3477,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003465.jpg,"[0, 85, 527, 1177]",,back,,leopard
6457,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000006442.jpg,"[84, 35, 2133, 2034]",,right,,leopard
6485,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000006470.jpg,"[94, 26, 1277, 2271]",,front,,leopard
3476,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003464.jpg,"[0, 47, 474, 1185]",,right,,leopard
3478,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003466.jpg,"[0, 92, 501, 1137]",,back,,leopard
3480,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003468.jpg,"[224, 372, 716, 747]",,left,,leopard
3466,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003454.jpg,"[1215, 724, 369, 646]",,front,,leopard
3469,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003457.jpg,"[22, 26, 656, 1752]",,back,,leopard
3470,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003458.jpg,"[67, 15, 642, 1785]",,back,,leopard
3467,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003455.jpg,"[911, 693, 629, 745]",,left,,leopard
3481,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003469.jpg,"[196, 402, 662, 677]",,left,,leopard
6519,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000006504.jpg,"[180, 0, 1723, 2100]",,left,,leopard
6247,c8ee0581-850c-445a-8e25-6b64687eae27,leopard.coco/images/train2022/000000006233.jpg,"[109, 33, 1807, 1408]",,left,,leopard
2508,644ff593-0635-45d0-96e0-64f4a39d3ca1,leopard.coco/images/train2022/000000002500.jpg,"[45, 483, 2156, 968]",,right,,leopard
6799,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000006770.jpg,"[0, 341, 2400, 1459]",,down,,leopard
2584,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002575.jpg,"[397, 489, 2003, 778]",,left,,leopard
2154,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002148.jpg,"[976, 445, 858, 750]",,front,,leopard
2178,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002172.jpg,"[248, 458, 900, 982]",,right,,leopard
6809,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000006780.jpg,"[1020, 312, 1128, 962]",,left,,leopard
6785,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000006756.jpg,"[34, 381, 1920, 1419]",,front,,leopard
2155,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002149.jpg,"[563, 284, 833, 861]",,right,,leopard
6788,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000006759.jpg,"[987, 545, 219, 430]",,front,,leopard
2175,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002169.jpg,"[964, 645, 774, 684]",,left,,leopard
2169,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002163.jpg,"[908, 855, 294, 253]",,back,,leopard
2586,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002577.jpg,"[406, 556, 1974, 754]",,left,,leopard
6818,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000006789.jpg,"[1055, 406, 897, 551]",,left,,leopard
2170,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002164.jpg,"[831, 932, 410, 246]",,right,,leopard
2171,ba8ce8ba-6311-4250-95dd-5e5efa32ebd0,leopard.coco/images/train2022/000000002165.jpg,"[851, 679, 351, 240]",,right,,leopard
