image_id,identity,path,bbox,date,orientation,segmentation,species
5313,69a226bb-64a0-4357-9f62-dcc80f403579,leopard.coco/images/train2022/000000005300.jpg,"[478, 1062, 734, 513]",,right,,leopard
296,47f3f548-3392-42c2-82d9-2637301a2061,leopard.coco/images/train2022/000000000297.jpg,"[238, 726, 1109, 517]",,right,,leopard
2260,ec27531a-bb48-414f-9a96-6db82f04a74e,leopard.coco/images/train2022/000000002254.jpg,"[0, 441, 668, 961]",,front,,leopard
2825,16ba6dc5-6ea0-47df-b912-53660db9e8cd,leopard.coco/images/train2022/000000002815.jpg,"[687, 675, 635, 340]",,left,,leopard
2233,c300d862-2aba-42a1-8bb7-f992e1ea9dbd,leopard.coco/images/train2022/000000002227.jpg,"[0, 0, 1846, 1088]",,right,,leopard
6539,3d8b57b0-4a3d-462f-b49b-eccc67b11565,leopard.coco/images/train2022/000000006524.jpg,"[59, 17, 2290, 1650]",,right,,leopard
2214,8f0e6106-f58a-48c0-be8f-e300ba913c01,leopard.coco/images/train2022/000000002208.jpg,"[0, 897, 520, 374]",,right,,leopard
4023,4093e559-3154-43d3-938e-d251b69b42e9,leopard.coco/images/train2022/000000004011.jpg,"[1242, 532, 677, 819]",,back,,leopard
3529,bf159a20-d4d1-45a0-bf61-b04abfee1a32,leopard.coco/images/train2022/000000003517.jpg,"[1372, 360, 850, 714]",,left,,leopard
2945,08cb52f5-570c-468d-bc68-610d75421588,leopard.coco/images/train2022/000000002935.jpg,"[0, 635, 680, 536]",,right,,leopard
6667,96d393be-7d3b-429f-8e51-6048a8593b47,leopard.coco/images/train2022/000000006641.jpg,"[1355, 914, 870, 684]",,left,,leopard
2744,1ba4a787-80e1-4915-97da-06ae1f4c3588,leopard.coco/images/train2022/000000002734.jpg,"[294, 581, 385, 190]",,left,,leopard
241,f9fd85b1-e3bb-45a3-9cb4-06f0c04ec8c2,leopard.coco/images/train2022/000000000242.jpg,"[550, 448, 1396, 1352]",,right,,leopard
6364,731cfe98-79ff-4126-97c7-6d1268fd4efc,leopard.coco/images/train2022/000000006349.jpg,"[374, 216, 1038, 1943]",,front,,leopard
2007,09ddb320-0c6a-41c0-9f77-026e03dc8f81,leopard.coco/images/train2022/000000002002.jpg,"[0, 204, 2198, 1596]",,right,,leopard
2042,a0d7ff43-7153-4c0d-b010-5c28a9172c9e,leopard.coco/images/train2022/000000002037.jpg,"[0, 107, 2348, 1693]",,right,,leopard
1527,18ffc687-a6fc-4f53-b226-72eaf7f66ccc,leopard.coco/images/train2022/000000001525.jpg,"[619, 530, 1381, 1081]",,left,,leopard
4669,838f7692-b42f-4f95-8894-e3269bc8d100,leopard.coco/images/train2022/000000004656.jpg,"[412, 881, 681, 499]",,right,,leopard
1834,29c88755-3609-47c8-81f1-d48ee826fc5e,leopard.coco/images/train2022/000000001829.jpg,"[0, 796, 1179, 770]",,right,,leopard
6130,3de10760-2a56-4499-92f9-003673aa62b2,leopard.coco/images/train2022/000000006116.jpg,"[0, 139, 2155, 1781]",,front,,leopard
2342,cd1a0522-2a45-4bd1-a68f-dd1baa7bcd99,leopard.coco/images/train2022/000000002336.jpg,"[46, 203, 2229, 980]",,right,,leopard
2441,41c4f32a-6ede-4aab-95ab-13ec16610e51,leopard.coco/images/train2022/000000002435.jpg,"[54, 67, 2042, 1033]",,left,,leopard
3947,ab07eaed-765a-4faa-b4ce-43992596395a,leopard.coco/images/train2022/000000003935.jpg,"[1010, 536, 675, 498]",,left,,leopard
5606,f54eeeb1-cab5-454a-adf3-fcd8c4a2b4a5,leopard.coco/images/train2022/000000005593.jpg,"[475, 968, 260, 217]",,back,,leopard
6061,9f82dbee-20d9-47e4-96cb-3291cb5dfc27,leopard.coco/images/train2022/000000006047.jpg,"[35, 33, 2315, 1256]",,right,,leopard
1906,8a3563e1-e39f-4158-b4c5-3c7685f09bcb,leopard.coco/images/train2022/000000001901.jpg,"[0, 780, 697, 519]",,right,,leopard
2462,c7fa3bc1-65ee-4028-86a7-a64b841d5dba,leopard.coco/images/train2022/000000002456.jpg,"[1449, 741, 627, 333]",,right,,leopard
4059,2112bdfc-4c7c-4c2a-8cfa-28ea45bf1599,leopard.coco/images/train2022/000000004047.jpg,"[1099, 710, 736, 381]",,right,,leopard
2409,53378f50-0422-449b-8599-b47aba592476,leopard.coco/images/train2022/000000002403.jpg,"[75, 86, 2262, 935]",,left,,leopard
2295,79cf7589-f1b9-4c3d-886b-5e2f9b7903ac,leopard.coco/images/train2022/000000002289.jpg,"[396, 367, 2004, 1433]",,left,,leopard
