image_id,identity,path,bbox,date,orientation,segmentation,species,split,client
1725,736ca848-7821-430b-9aaa-f8870e80aec4,hyena.coco/images/train2022/000000001705.jpg,"[0, 37, 2400, 1476]",,right,,hyena,query,-1
2150,736ca848-7821-430b-9aaa-f8870e80aec4,hyena.coco/images/train2022/000000002126.jpg,"[0, 112, 2400, 1353]",,right,,hyena,query,-1
2916,ace33278-b65f-43d4-9c12-530e420ddef5,hyena.coco/images/train2022/000000002892.jpg,"[568, 592, 1190, 1005]",,right,,hyena,query,-1
1549,ace33278-b65f-43d4-9c12-530e420ddef5,hyena.coco/images/train2022/000000001529.jpg,"[466, 477, 1106, 914]",,left,,hyena,query,-1
352,7201896a-1323-4e70-b147-4cc6d13b2784,hyena.coco/images/train2022/000000000350.jpg,"[39, 287, 728, 906]",,right,,hyena,query,-1
1033,7201896a-1323-4e70-b147-4cc6d13b2784,hyena.coco/images/train2022/000000001019.jpg,"[1510, 499, 633, 502]",,right,,hyena,query,-1
899,5c6bdd77-0364-48e8-8022-591ca47f076e,hyena.coco/images/train2022/000000000890.jpg,"[266, 655, 775, 675]",,right,,hyena,query,-1
799,5c6bdd77-0364-48e8-8022-591ca47f076e,hyena.coco/images/train2022/000000000790.jpg,"[1648, 580, 736, 1097]",,frontleft,,hyena,query,-1
377,20c4e967-97c4-4546-b7ca-6b57b6f4c19a,hyena.coco/images/train2022/000000000375.jpg,"[48, 176, 2320, 1432]",,right,,hyena,query,-1
301,20c4e967-97c4-4546-b7ca-6b57b6f4c19a,hyena.coco/images/train2022/000000000299.jpg,"[42, 48, 2288, 1510]",,right,,hyena,query,-1
1667,68996e21-12ab-4183-ab94-d2b0331efb10,hyena.coco/images/train2022/000000001647.jpg,"[54, 0, 2296, 1720]",,right,,hyena,query,-1
1486,68996e21-12ab-4183-ab94-d2b0331efb10,hyena.coco/images/train2022/000000001466.jpg,"[0, 83, 2400, 1415]",,right,,hyena,query,-1
2041,5fdac45d-b5e7-4133-a8f4-05b28552990c,hyena.coco/images/train2022/000000002018.jpg,"[0, 384, 2171, 1534]",,left,,hyena,query,-1
1440,5fdac45d-b5e7-4133-a8f4-05b28552990c,hyena.coco/images/train2022/000000001420.jpg,"[0, 243, 2399, 1660]",,left,,hyena,query,-1
2849,eeed33f6-863c-49df-a1e3-1f711738b244,hyena.coco/images/train2022/000000002825.jpg,"[414, 525, 1220, 672]",,left,,hyena,query,-1
1193,eeed33f6-863c-49df-a1e3-1f711738b244,hyena.coco/images/train2022/000000001179.jpg,"[541, 529, 1021, 764]",,left,,hyena,query,-1
850,143bf01f-d0f1-4ec9-bedd-ad0aa26e0cc2,hyena.coco/images/train2022/000000000841.jpg,"[0, 416, 1095, 1093]",,right,,hyena,query,-1
341,143bf01f-d0f1-4ec9-bedd-ad0aa26e0cc2,hyena.coco/images/train2022/000000000339.jpg,"[0, 475, 834, 772]",,right,,hyena,query,-1
2771,85527fa6-6c14-45eb-91eb-32106f41f728,hyena.coco/images/train2022/000000002747.jpg,"[801, 611, 1006, 650]",,left,,hyena,query,-1
1932,85527fa6-6c14-45eb-91eb-32106f41f728,hyena.coco/images/train2022/000000001910.jpg,"[940, 353, 754, 770]",,front,,hyena,query,-1
2736,67006b29-4adc-41dc-9b30-39a94363a81a,hyena.coco/images/train2022/000000002712.jpg,"[473, 538, 1477, 994]",,right,,hyena,query,-1
1148,67006b29-4adc-41dc-9b30-39a94363a81a,hyena.coco/images/train2022/000000001134.jpg,"[523, 489, 1058, 979]",,left,,hyena,query,-1
612,5260c0df-76a3-4cb1-82fc-fd2f6a6440ad,hyena.coco/images/train2022/000000000604.jpg,"[184, 90, 2216, 1497]",,left,,hyena,query,-1
1688,5260c0df-76a3-4cb1-82fc-fd2f6a6440ad,hyena.coco/images/train2022/000000001668.jpg,"[450, 52, 1761, 1544]",,right,,hyena,query,-1
2235,fd56348b-a8c7-4635-800f-bf5f8c3dd4a0,hyena.coco/images/train2022/000000002211.jpg,"[195, 539, 1527, 1006]",,left,,hyena,query,-1
2842,fd56348b-a8c7-4635-800f-bf5f8c3dd4a0,hyena.coco/images/train2022/000000002818.jpg,"[384, 545, 1376, 1003]",,left,,hyena,query,-1
1443,7b9a9e8d-86d5-4c6c-8b10-8a129f8a10c4,hyena.coco/images/train2022/000000001423.jpg,"[618, 743, 553, 521]",,left,,hyena,query,-1
2521,7b9a9e8d-86d5-4c6c-8b10-8a129f8a10c4,hyena.coco/images/train2022/000000002497.jpg,"[718, 606, 700, 405]",,right,,hyena,query,-1
1376,cc198eff-cbca-4c78-8e28-00592ef701f7,hyena.coco/images/train2022/000000001360.jpg,"[0, 30, 2400, 1390]",,left,,hyena,query,-1
