image_id,identity,path,bbox,date,orientation,segmentation,species,split,client
3147,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003135.jpg,"[836, 630, 952, 469]",,left,,leopard,query,-1
1862,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000001857.jpg,"[505, 706, 949, 534]",,right,,leopard,query,-1
3833,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003821.jpg,"[1624, 623, 632, 442]",,left,,leopard,query,-1
3822,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003810.jpg,"[991, 624, 880, 468]",,left,,leopard,query,-1
6614,f1116150-8ea6-4a26-a0b8-90208a8a2248,leopard.coco/images/train2022/000000006591.jpg,"[1130, 1040, 942, 518]",,,,leopard,query,-1
3848,f1116150-8ea6-4a26-a0b8-90208a8a2248,leopard.coco/images/train2022/000000003836.jpg,"[1794, 2, 374, 1116]",,,,leopard,query,-1
2634,8bbe7eee-ece7-4600-9347-8aabd899cb77,leopard.coco/images/train2022/000000002625.jpg,"[0, 643, 792, 713]",,right,,leopard,query,-1
2630,8bbe7eee-ece7-4600-9347-8aabd899cb77,leopard.coco/images/train2022/000000002621.jpg,"[0, 595, 679, 528]",,right,,leopard,query,-1
198,1eec726a-99dd-403e-9cbb-aa4428fa3cf6,leopard.coco/images/train2022/000000000199.jpg,"[1026, 611, 596, 359]",,right,,leopard,query,-1
220,1eec726a-99dd-403e-9cbb-aa4428fa3cf6,leopard.coco/images/train2022/000000000221.jpg,"[289, 552, 1541, 750]",,right,,leopard,query,-1
4917,1bdfbe29-6b69-48e9-8c8b-d8d145bdeef3,leopard.coco/images/train2022/000000004904.jpg,"[380, 602, 1597, 399]",,left,,leopard,query,-1
5319,1bdfbe29-6b69-48e9-8c8b-d8d145bdeef3,leopard.coco/images/train2022/000000005306.jpg,"[524, 635, 962, 378]",,left,,leopard,query,-1
6216,7dde1f68-6041-4c1c-b735-5525b69f50ac,leopard.coco/images/train2022/000000006202.jpg,"[7, 243, 2393, 1002]",,right,,leopard,query,-1
1729,7dde1f68-6041-4c1c-b735-5525b69f50ac,leopard.coco/images/train2022/000000001726.jpg,"[816, 1012, 520, 668]",,back,,leopard,query,-1
2728,5f9e6723-6dd0-4ba1-bbce-936fc6e70e90,leopard.coco/images/train2022/000000002718.jpg,"[1978, 855, 422, 522]",,left,,leopard,query,-1
2725,5f9e6723-6dd0-4ba1-bbce-936fc6e70e90,leopard.coco/images/train2022/000000002715.jpg,"[1838, 864, 562, 532]",,left,,leopard,query,-1
4852,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004839.jpg,"[1765, 725, 425, 191]",,right,,leopard,query,-1
4892,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004879.jpg,"[1092, 172, 1204, 872]",,left,,leopard,query,-1
6406,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006391.jpg,"[75, 110, 2180, 1235]",,right,,leopard,query,-1
5229,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000005216.jpg,"[553, 905, 673, 484]",,right,,leopard,query,-1
283,1e869eda-07c6-4f08-a932-d9a04c207dbf,leopard.coco/images/train2022/000000000284.jpg,"[0, 210, 2270, 1590]",,right,,leopard,query,-1
274,1e869eda-07c6-4f08-a932-d9a04c207dbf,leopard.coco/images/train2022/000000000275.jpg,"[95, 52, 1852, 1748]",,front,,leopard,query,-1
5642,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000005629.jpg,"[55, 907, 653, 483]",,right,,leopard,query,-1
4258,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000004246.jpg,"[403, 555, 404, 223]",,right,,leopard,query,-1
4184,63824a69-3a5d-4713-81af-d2aee97abeec,leopard.coco/images/train2022/000000004172.jpg,"[1249, 1219, 262, 227]",,back,,leopard,query,-1
4854,63824a69-3a5d-4713-81af-d2aee97abeec,leopard.coco/images/train2022/000000004841.jpg,"[24, 982, 999, 663]",,left,,leopard,query,-1
1886,09ddb320-0c6a-41c0-9f77-026e03dc8f81,leopard.coco/images/train2022/000000001881.jpg,"[636, 830, 1417, 689]",,left,,leopard,query,-1
1882,09ddb320-0c6a-41c0-9f77-026e03dc8f81,leopard.coco/images/train2022/000000001877.jpg,"[1643, 584, 735, 555]",,left,,leopard,query,-1
4783,0d3642d3-39fd-452a-8fe5-b0daa2f623e0,leopard.coco/images/train2022/000000004770.jpg,"[250, 721, 883, 473]",,right,,leopard,query,-1
5882,0d3642d3-39fd-452a-8fe5-b0daa2f623e0,leopard.coco/images/train2022/000000005869.jpg,"[431, 519, 545, 266]",,left,,leopard,query,-1
6519,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000006504.jpg,"[180, 0, 1723, 2100]",,left,,leopard,query,-1
3474,d797dc02-2bcd-4c82-9e1a-0a6a63a4ed4e,leopard.coco/images/train2022/000000003462.jpg,"[65, 649, 2264, 1151]",,left,,leopard,query,-1
331,8e37baa5-c486-4056-9db8-5d00863406bc,leopard.coco/images/train2022/000000000332.jpg,"[716, 366, 878, 739]",,back,,leopard,query,-1
323,8e37baa5-c486-4056-9db8-5d00863406bc,leopard.coco/images/train2022/000000000324.jpg,"[467, 520, 1764, 1201]",,right,,leopard,query,-1
5237,a1d0fd59-883e-4e53-a313-6264f2f247fa,leopard.coco/images/train2022/000000005224.jpg,"[1705, 749, 695, 327]",,left,,leopard,query,-1
5821,a1d0fd59-883e-4e53-a313-6264f2f247fa,leopard.coco/images/train2022/000000005808.jpg,"[1143, 757, 495, 345]",,left,,leopard,query,-1
236,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000000237.jpg,"[683, 435, 1037, 493]",,down,,leopard,query,-1
1065,2039c9dc-9b2d-41c0-9ffd-4bd5297813ed,leopard.coco/images/train2022/000000001066.jpg,"[109, 423, 2100, 649]",,right,,leopard,query,-1
3677,b3fe3b6b-b045-4153-9611-041b87a680a2,leopard.coco/images/train2022/000000003665.jpg,"[154, 510, 992, 563]",,left,,leopard,query,-1
3678,b3fe3b6b-b045-4153-9611-041b87a680a2,leopard.coco/images/train2022/000000003666.jpg,"[90, 550, 1050, 492]",,left,,leopard,query,-1
3233,9170ae5b-fd20-48da-9bb1-cee515714e68,leopard.coco/images/train2022/000000003221.jpg,"[1507, 658, 886, 1148]",,left,,leopard,query,-1
3243,9170ae5b-fd20-48da-9bb1-cee515714e68,leopard.coco/images/train2022/000000003231.jpg,"[0, 702, 1708, 956]",,left,,leopard,query,-1
1954,2fa78422-17ff-4e2f-9df0-9d2a1859c797,leopard.coco/images/train2022/000000001949.jpg,"[0, 639, 1091, 654]",,right,,leopard,query,-1
2000,2fa78422-17ff-4e2f-9df0-9d2a1859c797,leopard.coco/images/train2022/000000001995.jpg,"[1587, 473, 799, 476]",,left,,leopard,query,-1
4472,2c6dbe37-c4cf-41e4-a2b3-e435ea9eb046,leopard.coco/images/train2022/000000004460.jpg,"[29, 1157, 552, 643]",,right,,leopard,query,-1
5477,2c6dbe37-c4cf-41e4-a2b3-e435ea9eb046,leopard.coco/images/train2022/000000005464.jpg,"[60, 855, 1016, 577]",,right,,leopard,query,-1
3502,60fcc979-17ea-4807-bbe3-781e72b45396,leopard.coco/images/train2022/000000003490.jpg,"[324, 608, 663, 883]",,front,,leopard,query,-1
3505,60fcc979-17ea-4807-bbe3-781e72b45396,leopard.coco/images/train2022/000000003493.jpg,"[0, 682, 851, 1118]",,left,,leopard,query,-1
4438,8b295791-aaf6-4caf-a32a-2d4785098e87,leopard.coco/images/train2022/000000004426.jpg,"[1331, 786, 610, 922]",,back,,leopard,query,-1
4044,8b295791-aaf6-4caf-a32a-2d4785098e87,leopard.coco/images/train2022/000000004032.jpg,"[12, 749, 1147, 601]",,right,,leopard,query,-1
1935,8a3563e1-e39f-4158-b4c5-3c7685f09bcb,leopard.coco/images/train2022/000000001930.jpg,"[304, 423, 599, 416]",,back,,leopard,query,-1
2019,8a3563e1-e39f-4158-b4c5-3c7685f09bcb,leopard.coco/images/train2022/000000002014.jpg,"[0, 801, 1059, 503]",,right,,leopard,query,-1
1744,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000001741.jpg,"[281, 487, 1750, 760]",,left,,leopard,query,-1
6044,0a0fe49c-6bc4-4a7f-acba-299be4dc3ca3,leopard.coco/images/train2022/000000006030.jpg,"[97, 30, 1895, 1410]",,right,,leopard,query,-1
1336,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000001335.jpg,"[0, 444, 1987, 1038]",,right,,leopard,query,-1
982,8ec2a1cc-fac7-4b7e-bcb0-4ce4d03be451,leopard.coco/images/train2022/000000000983.jpg,"[491, 431, 1819, 1369]",,front,,leopard,query,-1
5593,f54eeeb1-cab5-454a-adf3-fcd8c4a2b4a5,leopard.coco/images/train2022/000000005580.jpg,"[370, 744, 860, 438]",,right,,leopard,query,-1
4586,f54eeeb1-cab5-454a-adf3-fcd8c4a2b4a5,leopard.coco/images/train2022/000000004574.jpg,"[959, 985, 513, 281]",,right,,leopard,query,-1
2097,3c375f5a-0894-41a5-8af0-0e20ce760368,leopard.coco/images/train2022/000000002092.jpg,"[0, 552, 661, 752]",,front,,leopard,query,-1
2106,3c375f5a-0894-41a5-8af0-0e20ce760368,leopard.coco/images/train2022/000000002101.jpg,"[451, 628, 1822, 866]",,left,,leopard,query,-1
3160,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003148.jpg,"[0, 734, 702, 394]",,left,,leopard,gallery,-1
1855,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000001850.jpg,"[8, 631, 849, 731]",,right,,leopard,gallery,-1
3145,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003133.jpg,"[1757, 648, 643, 500]",,left,,leopard,gallery,-1
3153,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003141.jpg,"[1831, 631, 569, 523]",,left,,leopard,gallery,-1
1842,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000001837.jpg,"[7, 823, 657, 904]",,right,,leopard,gallery,-1
3151,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003139.jpg,"[453, 566, 1285, 717]",,right,,leopard,gallery,-1
1863,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000001858.jpg,"[1420, 555, 980, 738]",,left,,leopard,gallery,-1
1841,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000001836.jpg,"[1078, 683, 1219, 561]",,left,,leopard,gallery,-1
3155,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003143.jpg,"[1624, 680, 776, 645]",,left,,leopard,gallery,-1
3157,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003145.jpg,"[3, 781, 693, 531]",,right,,leopard,gallery,-1
3149,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003137.jpg,"[19, 605, 866, 663]",,right,,leopard,gallery,-1
1861,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000001856.jpg,"[0, 707, 643, 506]",,front,,leopard,gallery,-1
3829,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003817.jpg,"[1154, 233, 960, 659]",,left,,leopard,gallery,-1
3828,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003816.jpg,"[1187, 339, 1070, 562]",,left,,leopard,gallery,-1
3824,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003812.jpg,"[1005, 605, 851, 486]",,left,,leopard,gallery,-1
3827,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003815.jpg,"[1452, 256, 931, 718]",,left,,leopard,gallery,-1
3825,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003813.jpg,"[1524, 113, 816, 782]",,left,,leopard,gallery,-1
3820,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003808.jpg,"[1888, 117, 512, 854]",,back,,leopard,gallery,-1
3819,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003807.jpg,"[100, 646, 1185, 701]",,right,,leopard,gallery,-1
3830,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003818.jpg,"[1150, 315, 565, 675]",,back,,leopard,gallery,-1
3823,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003811.jpg,"[999, 600, 862, 494]",,left,,leopard,gallery,-1
3818,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003806.jpg,"[856, 518, 622, 764]",,back,,leopard,gallery,-1
3831,5677ac0a-9e2c-4650-9b91-73fe817c31ac,leopard.coco/images/train2022/000000003819.jpg,"[1463, 616, 711, 406]",,left,,leopard,gallery,-1
