image_id,identity,path,bbox,date,orientation,segmentation,species
3945,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000003933.jpg,"[800, 422, 288, 367]",,back,,leopard
4129,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004117.jpg,"[1758, 450, 642, 900]",,back,,leopard
3966,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000003954.jpg,"[47, 546, 1674, 465]",,right,,leopard
2342,cd1a0522-2a45-4bd1-a68f-dd1baa7bcd99,leopard.coco/images/train2022/000000002336.jpg,"[46, 203, 2229, 980]",,right,,leopard
4196,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004184.jpg,"[1289, 687, 303, 139]",,right,,leopard
4202,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004190.jpg,"[154, 961, 1994, 389]",,right,,leopard
4373,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004361.jpg,"[1835, 1064, 353, 403]",,back,,leopard
4243,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004231.jpg,"[1012, 244, 839, 784]",,front,,leopard
4221,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004209.jpg,"[1329, 102, 1071, 1142]",,right,,leopard
4086,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004074.jpg,"[782, 814, 481, 764]",,right,,leopard
4397,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004385.jpg,"[77, 295, 709, 702]",,left,,leopard
4410,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004398.jpg,"[838, 295, 582, 476]",,left,,leopard
4019,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004007.jpg,"[1229, 140, 997, 972]",,left,,leopard
3971,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000003959.jpg,"[667, 668, 1045, 394]",,left,,leopard
4307,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004295.jpg,"[1056, 469, 358, 359]",,back,,leopard
4113,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000004101.jpg,"[304, 235, 1454, 656]",,left,,leopard
3965,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000003953.jpg,"[1690, 440, 402, 582]",,back,,leopard
3948,9dce1bc1-361d-45d7-9db1-2a143c732b66,leopard.coco/images/train2022/000000003936.jpg,"[1112, 396, 633, 686]",,front,,leopard
