image_id,identity,path,bbox,date,orientation,segmentation,species
4063,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004051.jpg,"[1628, 370, 753, 540]",,back,,leopard
3340,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003328.jpg,"[740, 851, 639, 517]",,left,,leopard
3960,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003948.jpg,"[1779, 568, 432, 680]",,front,,leopard
4064,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004052.jpg,"[1955, 729, 445, 569]",,back,,leopard
3358,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003346.jpg,"[682, 267, 929, 694]",,left,,leopard
4025,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004013.jpg,"[1614, 885, 722, 431]",,back,,leopard
3350,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003338.jpg,"[1473, 208, 894, 974]",,front,,leopard
4351,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000004339.jpg,"[662, 389, 329, 352]",,right,,leopard
3344,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003332.jpg,"[611, 861, 736, 560]",,left,,leopard
3352,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003340.jpg,"[1483, 112, 917, 1049]",,left,,leopard
4396,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004384.jpg,"[611, 259, 1108, 702]",,right,,leopard
4100,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004088.jpg,"[1090, 551, 798, 414]",,,,leopard
4324,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000004312.jpg,"[407, 1061, 1661, 653]",,left,,leopard
4134,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004122.jpg,"[1599, 408, 232, 578]",,front,,leopard
4327,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000004315.jpg,"[1570, 898, 830, 367]",,right,,leopard
4357,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004345.jpg,"[549, 589, 1250, 761]",,down,,leopard
4487,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000004475.jpg,"[1882, 521, 449, 339]",,left,,leopard
4133,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000004121.jpg,"[758, 608, 268, 371]",,back,,leopard
4543,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004531.jpg,"[1632, 426, 743, 633]",,left,,leopard
4217,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004205.jpg,"[1161, 346, 595, 600]",,back,,leopard
3349,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003337.jpg,"[729, 335, 992, 737]",,right,,leopard
4316,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000004304.jpg,"[977, 724, 503, 291]",,right,,leopard
3345,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003333.jpg,"[501, 867, 790, 559]",,left,,leopard
4363,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004351.jpg,"[1120, 338, 1186, 704]",,right,,leopard
4123,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004111.jpg,"[1408, 761, 783, 545]",,right,,leopard
4147,ced5c9fe-098d-40e9-aa0f-01d3b7ad856c,leopard.coco/images/train2022/000000004135.jpg,"[1266, 809, 338, 217]",,left,,leopard
4226,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004214.jpg,"[722, 230, 1007, 630]",,left,,leopard
4466,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000004454.jpg,"[1294, 900, 657, 379]",,right,,leopard
3356,271c8bfa-8dff-44d5-9d4e-72007d7ba700,leopard.coco/images/train2022/000000003344.jpg,"[1857, 295, 508, 874]",,left,,leopard
