image_id,identity,path,bbox,date,orientation,segmentation,species
2645,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002635.jpg,"[1586, 770, 814, 595]",,left,,leopard
3282,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003270.jpg,"[1931, 775, 469, 332]",,back,,leopard
2766,c4877fdb-0612-4fb3-90f7-4ec508ada445,leopard.coco/images/train2022/000000002756.jpg,"[0, 596, 2400, 1252]",,back,,leopard
6215,1a93779a-14ac-4d13-a18e-2517c5a2e0fa,leopard.coco/images/train2022/000000006201.jpg,"[103, 211, 2246, 1106]",,left,,leopard
2123,fed7544d-1138-4fde-91c2-ba323015fc64,leopard.coco/images/train2022/000000002118.jpg,"[0, 827, 656, 562]",,right,,leopard
3286,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003274.jpg,"[2094, 663, 297, 376]",,back,,leopard
2644,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002634.jpg,"[551, 927, 854, 395]",,right,,leopard
3665,863f2925-6037-4ce5-b1c6-7aeb88bbf48d,leopard.coco/images/train2022/000000003653.jpg,"[1918, 662, 472, 657]",,back,,leopard
3270,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003258.jpg,"[1372, 705, 1028, 443]",,left,,leopard
2650,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002640.jpg,"[840, 773, 1180, 544]",,right,,leopard
6157,1a93779a-14ac-4d13-a18e-2517c5a2e0fa,leopard.coco/images/train2022/000000006143.jpg,"[304, 143, 2062, 1777]",,front,,leopard
3295,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003283.jpg,"[1039, 569, 1361, 593]",,right,,leopard
3669,863f2925-6037-4ce5-b1c6-7aeb88bbf48d,leopard.coco/images/train2022/000000003657.jpg,"[799, 641, 532, 390]",,left,,leopard
2796,5828f7cc-0fd0-4348-94f9-77844676247c,leopard.coco/images/train2022/000000002786.jpg,"[0, 753, 711, 619]",,right,,leopard
3272,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003260.jpg,"[347, 515, 896, 434]",,right,,leopard
3264,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003252.jpg,"[520, 577, 909, 396]",,right,,leopard
3278,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003266.jpg,"[128, 792, 888, 353]",,left,,leopard
3288,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003276.jpg,"[384, 548, 912, 386]",,right,,leopard
2742,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002732.jpg,"[1685, 699, 715, 802]",,left,,leopard
2798,5828f7cc-0fd0-4348-94f9-77844676247c,leopard.coco/images/train2022/000000002788.jpg,"[2166, 1083, 229, 110]",,,,leopard
3275,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003263.jpg,"[1201, 575, 1183, 595]",,left,,leopard
3666,863f2925-6037-4ce5-b1c6-7aeb88bbf48d,leopard.coco/images/train2022/000000003654.jpg,"[1926, 662, 467, 658]",,back,,leopard
5873,64bf337a-87a2-4a45-bd38-7ad66da3a95e,leopard.coco/images/train2022/000000005860.jpg,"[1336, 587, 586, 236]",,left,,leopard
3290,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003278.jpg,"[1783, 744, 617, 346]",,right,,leopard
3293,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003281.jpg,"[660, 764, 939, 389]",,left,,leopard
3271,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003259.jpg,"[0, 761, 668, 395]",,left,,leopard
3664,863f2925-6037-4ce5-b1c6-7aeb88bbf48d,leopard.coco/images/train2022/000000003652.jpg,"[1921, 530, 389, 773]",,back,,leopard
3667,863f2925-6037-4ce5-b1c6-7aeb88bbf48d,leopard.coco/images/train2022/000000003655.jpg,"[1429, 548, 954, 714]",,left,,leopard
3291,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003279.jpg,"[975, 536, 1425, 596]",,left,,leopard
5872,64bf337a-87a2-4a45-bd38-7ad66da3a95e,leopard.coco/images/train2022/000000005859.jpg,"[0, 416, 675, 682]",,front,,leopard
3269,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003257.jpg,"[751, 457, 1334, 661]",,left,,leopard
3668,863f2925-6037-4ce5-b1c6-7aeb88bbf48d,leopard.coco/images/train2022/000000003656.jpg,"[1100, 762, 284, 416]",,left,,leopard
3265,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003253.jpg,"[1023, 736, 957, 475]",,left,,leopard
2647,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002637.jpg,"[917, 937, 892, 390]",,left,,leopard
2673,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002663.jpg,"[0, 832, 1086, 626]",,right,,leopard
3276,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003264.jpg,"[0, 393, 427, 703]",,back,,leopard
2655,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002645.jpg,"[486, 924, 826, 410]",,right,,leopard
3294,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003282.jpg,"[79, 481, 1442, 582]",,right,,leopard
3267,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003255.jpg,"[349, 762, 863, 379]",,right,,leopard
5875,64bf337a-87a2-4a45-bd38-7ad66da3a95e,leopard.coco/images/train2022/000000005862.jpg,"[282, 261, 1154, 774]",,left,,leopard
3287,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003275.jpg,"[976, 649, 1247, 536]",,left,,leopard
3279,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003267.jpg,"[1, 466, 1270, 631]",,right,,leopard
5871,64bf337a-87a2-4a45-bd38-7ad66da3a95e,leopard.coco/images/train2022/000000005858.jpg,"[0, 417, 694, 671]",,front,,leopard
3285,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003273.jpg,"[389, 499, 854, 437]",,right,,leopard
2764,c4877fdb-0612-4fb3-90f7-4ec508ada445,leopard.coco/images/train2022/000000002754.jpg,"[1045, 917, 546, 254]",,left,,leopard
3273,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003261.jpg,"[97, 753, 891, 421]",,right,,leopard
3284,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003272.jpg,"[964, 661, 1165, 533]",,left,,leopard
2130,fed7544d-1138-4fde-91c2-ba323015fc64,leopard.coco/images/train2022/000000002125.jpg,"[1872, 659, 528, 560]",,left,,leopard
3277,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003265.jpg,"[1405, 750, 813, 408]",,left,,leopard
3298,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003286.jpg,"[441, 490, 1459, 593]",,left,,leopard
3268,888afda0-3b59-4117-a89f-d310da66032b,leopard.coco/images/train2022/000000003256.jpg,"[2114, 750, 286, 317]",,back,,leopard
4745,64bf337a-87a2-4a45-bd38-7ad66da3a95e,leopard.coco/images/train2022/000000004732.jpg,"[1345, 666, 474, 603]",,left,,leopard
