client,round,loss
0,0,3.162
0,1,2.899
0,2,2.639
0,3,2.423
0,4,2.207
0,5,2.058
0,6,1.915
0,7,1.721
0,8,1.616
0,9,1.489
0,10,1.396
0,11,1.245
0,12,1.197
0,13,1.091
0,14,1.044
0,15,0.937
0,16,0.887
0,17,0.879
0,18,0.83
0,19,0.766
0,20,0.778
0,21,0.739
0,22,0.662
0,23,0.667
0,24,0.596
0,25,0.58
0,26,0.572
0,27,0.546
0,28,0.508
0,29,0.431
0,30,0.497
0,31,0.444
0,32,0.464
0,33,0.406
0,34,0.387
0,35,0.392
0,36,0.375
0,37,0.384
0,38,0.336
0,39,0.351
0,40,0.328
0,41,0.314
0,42,0.322
0,43,0.317
0,44,0.319
0,45,0.267
0,46,0.246
0,47,0.267
0,48,0.259
0,49,0.25
