client,round,loss
0,0,3.166
0,1,2.989
0,2,2.772
0,3,2.581
0,4,2.374
0,5,2.134
0,6,1.987
0,7,1.924
0,8,1.847
0,9,1.604
0,10,1.572
0,11,1.428
0,12,1.377
0,13,1.303
0,14,1.247
0,15,1.109
0,16,1.143
0,17,1.038
0,18,1.064
0,19,0.937
0,20,0.879
0,21,0.865
0,22,0.766
0,23,0.822
0,24,0.852
0,25,0.798
0,26,0.685
0,27,0.648
0,28,0.675
0,29,0.629
0,30,0.594
0,31,0.562
0,32,0.536
0,33,0.555
0,34,0.558
0,35,0.562
0,36,0.547
0,37,0.486
0,38,0.527
0,39,0.534
0,40,0.511
0,41,0.509
0,42,0.489
0,43,0.452
0,44,0.486
0,45,0.481
0,46,0.466
0,47,0.457
0,48,0.445
0,49,0.448
