client,round,loss
2,0,2.34
2,1,2.135
2,2,1.962
2,3,1.786
2,4,1.655
2,5,1.522
2,6,1.409
2,7,1.316
2,8,1.224
2,9,1.15
2,10,1.075
2,11,1.054
2,12,0.989
2,13,0.949
2,14,0.881
2,15,0.874
2,16,0.857
2,17,0.826
2,18,0.762
2,19,0.751
2,20,0.714
2,21,0.701
2,0,2.45
2,1,1.74
2,2,1.279
2,3,1.0
2,4,0.8
2,5,0.633
2,6,0.537
2,7,0.444
2,8,0.359
2,9,0.311
2,10,0.292
2,11,0.219
2,12,0.197
2,13,0.189
2,14,0.156
2,15,0.147
2,16,0.126
2,17,0.114
2,18,0.104
2,19,0.109
2,20,0.078
2,21,0.076
2,22,0.08
2,23,0.078
2,24,0.06
2,25,0.065
2,26,0.065
2,27,0.052
2,28,0.059
2,29,0.054
2,30,0.054
2,31,0.048
2,32,0.05
2,33,0.042
2,34,0.04
2,35,0.038
2,36,0.033
2,37,0.041
2,38,0.037
2,39,0.034
2,40,0.032
2,41,0.034
2,42,0.036
2,43,0.04
2,44,0.039
2,45,0.03
2,46,0.03
2,47,0.029
2,48,0.028
2,49,0.032
2,50,0.027
2,51,0.027
2,52,0.024
2,53,0.024
2,54,0.025
2,55,0.028
2,56,0.03
2,57,0.03
2,58,0.024
2,59,0.024
2,60,0.022
2,61,0.029
2,62,0.024
2,63,0.024
2,64,0.025
2,65,0.022
2,66,0.02
2,67,0.023
2,68,0.019
2,69,0.025
2,70,0.019
2,71,0.023
2,72,0.023
2,73,0.025
2,74,0.028
2,75,0.021
2,76,0.026
2,77,0.023
2,78,0.018
2,79,0.023
2,80,0.02
2,81,0.024
2,82,0.02
2,83,0.022
2,84,0.022
2,85,0.021
2,86,0.02
2,87,0.02
2,88,0.021
