client,round,loss
1,0,2.727
1,1,2.041
1,2,1.493
1,3,1.16
1,4,0.921
1,5,0.761
1,6,0.632
1,7,0.558
1,8,0.494
1,9,0.415
1,10,0.39
1,11,0.353
1,12,0.274
1,13,0.23
1,14,0.227
1,15,0.199
1,16,0.205
1,17,0.164
1,18,0.173
1,19,0.165
1,20,0.14
1,21,0.117
1,22,0.136
1,23,0.118
1,24,0.11
1,25,0.105
1,26,0.086
1,27,0.099
1,28,0.088
1,29,0.09
1,30,0.089
1,31,0.086
1,32,0.08
1,33,0.07
1,34,0.068
1,35,0.07
1,36,0.069
1,37,0.059
1,38,0.064
1,39,0.066
1,40,0.064
1,41,0.065
1,42,0.069
1,43,0.07
1,44,0.069
1,45,0.064
1,46,0.076
1,47,0.057
1,48,0.065
1,49,0.057
1,50,0.055
1,51,0.054
1,52,0.056
1,53,0.064
1,54,0.063
1,55,0.06
1,56,0.055
1,57,0.055
1,58,0.057
1,59,0.069
1,60,0.065
1,61,0.057
1,62,0.068
1,63,0.057
1,64,0.054
1,65,0.053
1,66,0.058
1,67,0.062
1,68,0.06
1,69,0.059
1,70,0.055
