client,round,loss
0,0,2.762
0,1,2.116
0,2,1.636
0,3,1.339
0,4,1.122
0,5,0.917
0,6,0.784
0,7,0.693
0,8,0.562
0,9,0.479
0,10,0.446
0,11,0.371
0,12,0.333
0,13,0.271
0,14,0.247
0,15,0.226
0,16,0.203
0,17,0.172
0,18,0.194
0,19,0.149
0,20,0.148
0,21,0.141
0,22,0.141
0,23,0.114
0,24,0.123
0,25,0.113
0,26,0.105
0,27,0.123
0,28,0.11
0,29,0.102
0,30,0.099
0,31,0.105
0,32,0.104
0,33,0.093
0,34,0.086
0,35,0.086
0,36,0.091
0,37,0.109
0,38,0.098
0,39,0.089
0,40,0.08
0,41,0.085
0,42,0.084
0,43,0.081
0,44,0.084
0,45,0.098
0,46,0.083
0,47,0.086
0,48,0.074
0,49,0.087
