timestamp,dataset,rank1,mAP,loss
2025-07-19 09:11:15,0,0.4667,0.3091,0.0000
2025-07-19 09:11:39,1,0.4667,0.3091,0.0000
2025-07-19 09:12:04,2,0.4667,0.3091,0.0000
2025-07-19 09:35:07,0,0.5667,0.4202,0.0000
2025-07-19 09:35:31,1,0.5667,0.4202,0.0000
2025-07-19 09:35:55,2,0.5667,0.4202,0.0000
2025-07-19 09:57:43,0,0.5667,0.4281,0.0000
2025-07-19 09:58:07,1,0.5667,0.4281,0.0000
2025-07-19 09:58:31,2,0.5667,0.4281,0.0000
2025-07-19 10:20:11,0,0.5667,0.4301,0.0000
2025-07-19 10:20:36,1,0.5667,0.4301,0.0000
2025-07-19 10:21:00,2,0.5667,0.4301,0.0000
