client,round,loss
0,0,3.39
0,1,2.239
0,2,1.662
0,3,1.305
0,4,1.041
0,5,0.836
0,6,0.675
0,7,0.558
0,8,0.438
0,9,0.385
0,10,0.309
0,11,0.251
0,12,0.217
0,13,0.18
0,14,0.172
0,15,0.133
0,16,0.127
0,17,0.115
0,18,0.095
0,19,0.09
0,20,0.079
0,21,0.075
0,22,0.078
0,23,0.068
0,24,0.072
0,25,0.063
0,26,0.051
0,27,0.046
0,28,0.047
0,29,0.05
0,30,0.049
0,31,0.065
0,32,0.041
0,33,0.062
0,34,0.041
0,35,0.033
0,36,0.037
0,37,0.039
0,38,0.037
0,39,0.035
0,40,0.026
0,41,0.038
0,42,0.026
0,43,0.032
0,44,0.027
0,45,0.028
0,46,0.029
0,47,0.024
0,48,0.026
0,49,0.024
