cosine_sim,student_norm,teacher_norm
0.9810,24.6570,25.3506
0.9763,24.7272,24.9300
0.9645,24.9399,25.1505
0.9623,25.0673,24.9132
0.9636,25.1558,24.6969
0.9606,25.1104,25.6394
0.9665,24.9217,25.1082
0.9708,25.0482,25.6619
0.9587,24.8380,25.4626
0.9528,25.0379,25.5694
0.9561,24.8747,26.2005
0.9657,24.9055,26.6874
0.9596,24.9754,24.6577
0.9454,24.9527,25.4502
0.9450,24.9487,26.1942
0.9459,24.9782,25.9168
0.9624,25.3479,25.1772
0.9389,24.8635,26.5004
0.9568,24.9816,25.4293
0.9450,24.9452,25.7474
0.9436,24.8074,26.3195
0.9639,24.8186,25.5631
0.9601,24.9451,26.4799
0.9637,25.1882,24.7177
0.9401,25.0732,26.3064
0.9426,25.0781,24.0817
0.9527,24.9279,25.0006
0.9581,24.9850,25.5922
0.9603,25.0823,26.2721
0.9520,24.8907,27.0905
0.9530,24.7718,26.2068
0.9492,24.9228,25.4217
0.9608,25.0133,27.2426
0.9356,25.0340,25.2709
0.9499,24.9949,25.7591
0.9413,24.8002,25.7448
0.9217,24.7910,25.7753
0.9740,25.0427,25.1251
0.9419,25.2927,25.1521
0.9513,25.0418,24.7735
0.9405,24.9306,24.7306
0.9558,24.9513,24.3555
0.9700,24.9686,25.1958
0.9592,24.9693,23.7752
0.9703,24.8615,25.2067
0.9557,24.7919,25.2236
0.9510,25.3152,25.4517
0.9748,24.8907,25.9529
0.9715,24.8032,25.6201
0.9649,24.8552,25.5351
0.9576,24.8910,27.0031
0.9650,24.9562,24.4788
0.9827,25.0275,26.1485
0.9773,25.0216,25.6536
0.9655,24.8306,25.6839
0.9713,24.9941,24.4654
0.9614,24.7976,24.6689
0.9635,25.0457,24.9784
0.9762,24.9399,24.8743
0.9632,24.9235,25.0485
0.9680,25.0971,25.5730
0.9733,24.8618,25.5709
0.9669,24.8221,25.8098
0.9686,25.1056,26.0940
0.9732,24.9781,25.3535
0.9645,25.0209,25.8688
0.9658,24.7990,26.4794
0.9600,25.1447,25.4592
0.9677,25.1003,25.8228
0.9717,24.9402,26.2381
0.9698,25.0371,25.6398
0.9665,24.9668,26.6941
0.9629,24.8386,26.3728
0.9733,25.1003,25.9211
0.9719,24.8951,25.1608
0.9782,24.8636,26.1009
0.9720,24.8778,26.2907
0.9689,25.1169,26.0932
0.9676,25.2080,25.1087
0.9694,25.0200,25.6215
0.9735,25.1315,25.4601
0.9669,24.9849,26.0246
0.9683,25.1647,26.2849
0.9675,24.8607,25.5722
0.9739,24.8464,25.3032
0.9505,24.8782,24.8819
0.9685,24.9876,25.6418
0.9630,24.9045,25.3569
0.9713,24.8220,26.3058
0.9735,25.1550,26.2984
0.9747,25.1773,25.5257
0.9703,24.9728,25.7565
0.9641,24.8753,25.8633
0.9739,24.9183,26.2065
0.9812,24.9690,25.9623
0.9758,24.8754,26.0254
0.9750,25.1935,25.0557
0.9698,25.0320,25.1169
0.9756,24.9347,25.2335
0.9799,25.0604,25.7965
0.9648,24.9478,24.9582
0.9732,24.9129,26.2488
0.9705,24.9851,25.9066
0.9680,24.9044,26.6803
0.9783,25.0724,25.5106
0.9746,25.0202,26.1713
0.9760,24.9008,25.0858
0.9752,24.9408,25.6698
0.9767,24.8157,26.2998
0.9699,24.8624,26.1847
0.9752,25.0188,25.3650
0.9672,24.9595,25.1105
0.9731,25.0565,25.1485
0.9684,24.8892,25.5123
0.9725,25.0425,26.1755
0.9784,24.8981,25.5864
0.9746,25.0277,25.5610
0.9756,25.0078,24.8897
0.9751,24.9053,25.6038
0.9629,24.8372,25.9694
0.9675,24.8251,25.7346
0.9720,24.6259,25.9186
0.9657,24.8843,26.2298
0.9720,25.1092,24.7933
0.9748,25.1045,24.7320
0.9713,25.1656,26.0004
0.9712,25.1185,26.1075
0.9707,25.0353,25.3049
0.9625,24.9136,25.4009
0.9652,24.7864,25.1982
0.9720,24.7898,24.6972
0.9717,24.8039,26.0393
0.9740,25.0530,25.3197
0.9762,25.1414,25.1192
0.9690,25.1894,25.3497
0.9726,24.9096,26.1493
0.9811,24.6349,25.4640
0.9807,24.8764,25.5464
0.9739,25.0601,25.0382
0.9748,24.8901,26.5427
0.9750,25.0176,24.9832
0.9758,24.8199,26.3010
0.9772,25.1191,25.3486
0.9780,25.0613,25.2146
0.9672,25.0471,25.8966
0.9718,24.8495,25.6703
0.9739,24.9396,25.0331
0.9752,24.9670,26.5069
0.9702,24.8844,25.5561
0.9724,25.0936,25.8099
0.9654,24.8941,26.4440
0.9808,24.8769,25.2338
0.9829,24.8626,25.6481
0.9746,24.7571,25.2513
0.9768,25.0754,25.7843
0.9772,24.8774,26.2944
0.9821,24.8859,26.0091
0.9760,24.6772,25.9914
0.9732,24.7943,25.2726
0.9616,24.8202,24.7933
0.9749,25.0317,26.1340
0.9686,24.8710,25.5477
0.9808,24.7960,26.0494
0.9687,24.9553,25.6687
0.9691,25.1503,26.2566
0.9737,25.0377,25.5813
0.9688,25.1462,25.0018
0.9814,24.8401,26.2620
0.9719,24.8312,25.2658
0.9729,24.9388,25.7547
0.9704,24.8118,25.8105
0.9755,24.9901,25.6550
0.9789,24.6430,26.2470
0.9740,24.7884,26.5644
0.9743,24.8802,26.5333
0.9806,24.8328,25.9193
0.9715,24.9993,26.1601
0.9593,24.8905,24.8652
0.9698,24.9828,25.9730
0.9700,25.0852,25.8043
0.9501,24.8297,26.5925
0.9673,24.5407,26.3302
0.9604,24.9368,26.0981
0.9683,25.1791,26.0892
0.9569,25.1835,25.1870
0.9653,25.0636,25.6586
0.9609,25.0326,25.3252
0.9553,24.8663,25.9046
0.9671,24.9243,26.3030
0.9754,24.7825,25.7449
0.9645,24.7712,25.6356
0.9654,24.8129,27.0651
0.9713,24.8278,25.3947
0.9671,25.3389,25.8439
0.9598,24.8235,26.2140
0.9708,24.8332,25.4869
0.9693,24.7541,26.1679
0.9722,25.2969,26.2679
0.9744,24.6750,26.1539
0.9829,24.9108,25.5681
0.9721,24.6607,25.8793
0.9803,24.8174,25.8551
0.9773,25.0222,26.2781
0.9837,24.7993,25.2436
0.9768,24.8904,25.3383
0.9672,24.9227,25.2076
0.9765,24.9575,25.9634
0.9816,25.1015,25.9917
0.9768,25.0502,26.2624
0.9710,24.9105,26.1450
0.9733,25.0172,25.7198
0.9680,24.7262,26.0554
0.9738,25.0302,26.3938
0.9650,24.8804,25.5989
0.9692,24.9748,26.0649
0.9760,25.1285,26.7194
0.9607,24.9770,26.4749
0.9719,24.9270,26.5939
0.9645,24.6993,25.8504
0.9662,24.8804,25.6966
0.9704,24.8884,26.8752
0.9538,24.8974,27.1717
0.9742,25.2521,26.2434
0.9661,24.8174,26.1438
0.9720,24.7377,25.8130
0.9560,25.0118,26.5583
0.9684,24.8038,26.0820
0.9654,24.9073,26.3774
0.9695,24.8573,25.7823
0.9758,25.2040,26.4698
0.9789,25.2192,25.6908
0.9778,24.7720,25.4464
0.9745,24.7846,25.7805
0.9706,24.7078,27.0868
0.9759,24.8634,26.5604
0.9763,24.8257,25.3725
0.9801,24.8821,26.4703
0.9782,25.2033,26.5269
0.9651,25.0881,25.1645
0.9720,24.9328,26.5808
0.9687,24.9264,26.1856
0.9805,24.8566,26.4449
0.9778,25.0341,25.5861
0.9722,25.1038,26.4899
0.9756,25.0503,25.5356
0.9497,24.9508,25.4555
0.9724,24.7563,26.4843
0.9633,25.0777,26.3118
0.9735,24.8900,25.9207
0.9640,24.9300,25.7699
0.9532,25.0027,26.3415
0.9548,24.7722,26.7134
0.9634,24.8973,26.6504
0.9526,24.9743,26.6346
0.9597,24.9072,26.4897
