client,round,loss
0,0,3.39
0,1,2.348
0,2,1.788
0,3,1.469
0,4,1.227
0,5,0.994
0,6,0.836
0,7,0.739
0,8,0.599
0,9,0.53
0,10,0.441
0,11,0.363
0,12,0.323
0,13,0.304
0,14,0.294
0,15,0.249
0,16,0.238
0,17,0.24
0,18,0.204
0,19,0.195
0,20,0.201
0,21,0.187
0,22,0.177
0,23,0.171
0,24,0.17
0,25,0.176
0,26,0.151
0,27,0.149
0,28,0.141
0,29,0.152
0,30,0.137
0,31,0.155
0,32,0.137
0,33,0.154
0,34,0.151
0,35,0.181
0,36,0.177
0,37,0.164
0,38,0.142
0,39,0.127
0,40,0.112
0,41,0.145
0,42,0.166
0,43,0.172
0,44,0.139
0,45,0.136
0,46,0.122
0,47,0.121
0,48,0.152
0,49,0.211
