client,round,loss
0,0,2.846
0,1,2.36
0,2,1.987
0,3,1.714
0,4,1.492
0,5,1.356
0,6,1.204
0,7,1.05
0,8,0.973
0,9,0.872
0,10,0.758
0,11,0.693
0,12,0.639
0,13,0.55
0,14,0.531
0,15,0.475
0,16,0.435
0,17,0.401
0,18,0.353
0,19,0.336
0,20,0.313
0,21,0.285
0,22,0.249
0,23,0.258
0,24,0.234
0,25,0.215
0,26,0.196
0,27,0.188
0,28,0.174
0,29,0.168
0,30,0.163
0,31,0.165
0,32,0.144
0,33,0.143
0,34,0.136
0,35,0.136
0,36,0.145
0,37,0.128
0,38,0.116
0,39,0.123
0,40,0.119
0,41,0.116
0,42,0.112
0,43,0.122
0,44,0.119
0,45,0.114
0,46,0.113
0,47,0.109
0,48,0.111
0,49,0.116
0,50,0.11
0,51,0.113
0,52,0.114
0,53,0.099
0,54,0.12
0,55,0.11
0,56,0.105
0,57,0.11
0,58,0.114
0,59,0.115
