client,round,loss
2,0,2.671
2,1,1.8
2,2,1.26
2,3,0.952
2,4,0.741
2,5,0.586
2,6,0.478
2,7,0.408
2,8,0.356
2,9,0.277
2,10,0.24
2,11,0.217
2,12,0.174
2,13,0.163
2,14,0.158
2,15,0.132
2,16,0.115
2,17,0.109
2,18,0.105
2,19,0.092
2,20,0.088
2,21,0.098
2,22,0.076
2,23,0.073
2,24,0.072
2,25,0.062
2,26,0.059
2,27,0.059
2,28,0.06
2,29,0.056
2,30,0.051
2,31,0.05
2,32,0.046
2,33,0.05
2,34,0.041
2,35,0.048
2,36,0.035
2,37,0.036
2,38,0.034
2,39,0.038
2,40,0.034
2,41,0.044
2,42,0.031
2,43,0.036
2,44,0.033
2,45,0.031
2,46,0.029
2,47,0.032
2,48,0.032
2,49,0.034
2,50,0.031
2,51,0.029
2,52,0.035
2,53,0.031
2,54,0.024
2,55,0.028
2,56,0.023
2,57,0.027
2,58,0.029
2,59,0.031
2,60,0.028
2,61,0.028
2,62,0.024
2,63,0.024
2,64,0.028
2,65,0.022
2,66,0.024
2,67,0.031
2,68,0.032
2,69,0.023
2,70,0.029
2,71,0.023
2,72,0.026
2,73,0.023
2,74,0.024
2,75,0.025
2,76,0.021
2,77,0.021
2,78,0.024
2,79,0.022
