timestamp,dataset,rank1,mAP,loss
2025-07-15 12:07:17,0,0.5625,0.5450,0.0000
2025-07-15 12:07:35,1,0.5263,0.4543,0.0000
2025-07-15 12:07:51,2,0.8750,0.8115,0.0000
2025-07-15 12:08:09,3,0.7000,0.5820,0.0000
2025-07-15 12:08:35,4,0.4727,0.3537,0.0000
2025-07-15 12:09:01,5,0.4510,0.3584,0.0000
2025-07-15 12:09:23,6,0.4412,0.3624,0.0000
2025-07-15 12:46:28,0,0.5000,0.5101,0.0000
2025-07-15 12:46:46,1,0.5263,0.5021,0.0000
2025-07-15 12:47:02,2,0.8750,0.7919,0.0000
2025-07-15 12:47:20,3,0.8000,0.7369,0.0000
2025-07-15 12:47:46,4,0.5091,0.4625,0.0000
2025-07-15 12:48:13,5,0.5294,0.4334,0.0000
2025-07-15 12:48:34,6,0.4706,0.4263,0.0000
