timestamp,dataset,rank1,mAP,loss
2025-07-15 13:02:58,0,0.5625,0.5485,0.0000
2025-07-15 13:03:17,1,0.4737,0.4275,0.0000
2025-07-15 13:03:33,2,0.8750,0.8132,0.0000
2025-07-15 13:03:51,3,0.7000,0.5722,0.0000
2025-07-15 13:04:18,4,0.4727,0.3517,0.0000
2025-07-15 13:04:43,5,0.4510,0.3621,0.0000
2025-07-15 13:05:05,6,0.4412,0.3657,0.0000
2025-07-15 13:42:01,0,0.4375,0.4587,0.0000
2025-07-15 13:42:20,1,0.5789,0.5208,0.0000
2025-07-15 13:42:35,2,0.8750,0.8206,0.0000
2025-07-15 13:42:53,3,0.8000,0.7357,0.0000
2025-07-15 13:43:19,4,0.5273,0.4689,0.0000
2025-07-15 13:43:45,5,0.4902,0.4311,0.0000
2025-07-15 13:44:06,6,0.4412,0.4084,0.0000
2025-07-15 14:24:25,0,0.6250,0.5539,0.0000
2025-07-15 14:24:42,1,0.5789,0.5279,0.0000
2025-07-15 14:24:58,2,0.8750,0.7647,0.0000
2025-07-15 14:25:17,3,0.8000,0.7539,0.0000
2025-07-15 14:25:43,4,0.5636,0.5086,0.0000
2025-07-15 14:26:13,5,0.6471,0.5279,0.0000
2025-07-15 14:26:34,6,0.4706,0.4133,0.0000
2025-07-15 15:09:38,0,0.6250,0.5829,0.0000
2025-07-15 15:09:56,1,0.5789,0.5157,0.0000
2025-07-15 15:10:12,2,0.8750,0.8086,0.0000
2025-07-15 15:10:29,3,0.8000,0.7571,0.0000
2025-07-15 15:10:55,4,0.5818,0.5255,0.0000
2025-07-15 15:11:23,5,0.6275,0.5253,0.0000
2025-07-15 15:11:43,6,0.5000,0.4331,0.0000
2025-07-15 15:49:02,0,0.6875,0.6401,0.0000
2025-07-15 15:49:20,1,0.5789,0.5038,0.0000
2025-07-15 15:49:36,2,0.8750,0.8216,0.0000
2025-07-15 15:49:54,3,0.8000,0.7617,0.0000
2025-07-15 15:50:21,4,0.6000,0.5291,0.0000
2025-07-15 15:50:47,5,0.5882,0.5132,0.0000
2025-07-15 15:51:10,6,0.5000,0.4510,0.0000
2025-07-15 16:22:56,0,0.6250,0.5753,0.0000
2025-07-15 16:23:14,1,0.6316,0.5613,0.0000
2025-07-15 16:23:30,2,0.8750,0.8002,0.0000
2025-07-15 16:23:48,3,0.8000,0.7626,0.0000
2025-07-15 16:24:14,4,0.6000,0.5427,0.0000
2025-07-15 16:24:40,5,0.6863,0.5495,0.0000
2025-07-15 16:25:01,6,0.4706,0.4391,0.0000
2025-07-15 17:03:04,0,0.6250,0.5966,0.0000
2025-07-15 17:03:22,1,0.5789,0.5056,0.0000
2025-07-15 17:03:39,2,0.8750,0.8051,0.0000
2025-07-15 17:03:56,3,0.8000,0.7667,0.0000
2025-07-15 17:04:23,4,0.6182,0.5560,0.0000
2025-07-15 17:04:50,5,0.6471,0.5289,0.0000
2025-07-15 17:05:12,6,0.5294,0.4748,0.0000
2025-07-15 17:35:40,0,0.6875,0.6462,0.0000
2025-07-15 17:36:01,1,0.5789,0.5281,0.0000
2025-07-15 17:36:18,2,0.8750,0.7939,0.0000
2025-07-15 17:36:35,3,0.8000,0.7666,0.0000
2025-07-15 17:37:01,4,0.6182,0.5564,0.0000
2025-07-15 17:37:28,5,0.6275,0.5308,0.0000
2025-07-15 17:37:50,6,0.5294,0.4816,0.0000
2025-07-15 18:20:25,0,0.7500,0.6506,0.0000
2025-07-15 18:20:43,1,0.6316,0.5288,0.0000
2025-07-15 18:21:00,2,1.0000,0.8555,0.0000
2025-07-15 18:21:18,3,0.8000,0.7765,0.0000
2025-07-15 18:21:44,4,0.6545,0.5852,0.0000
2025-07-15 18:22:12,5,0.6471,0.5398,0.0000
2025-07-15 18:22:33,6,0.5294,0.4792,0.0000
2025-07-15 18:59:35,0,0.6250,0.5735,0.0000
2025-07-15 18:59:53,1,0.6316,0.5519,0.0000
2025-07-15 19:00:11,2,0.8750,0.8086,0.0000
2025-07-15 19:00:28,3,0.8000,0.7651,0.0000
2025-07-15 19:00:55,4,0.6182,0.5672,0.0000
2025-07-15 19:01:21,5,0.6275,0.5361,0.0000
2025-07-15 19:01:43,6,0.5000,0.4734,0.0000
2025-07-15 19:27:25,0,0.6250,0.5977,0.0000
2025-07-15 19:27:43,1,0.5789,0.5049,0.0000
2025-07-15 19:27:59,2,0.8750,0.8034,0.0000
2025-07-15 19:28:17,3,0.9000,0.8106,0.0000
2025-07-15 19:28:42,4,0.6000,0.5465,0.0000
2025-07-15 19:29:10,5,0.6471,0.5226,0.0000
2025-07-15 19:29:31,6,0.5294,0.5021,0.0000
