timestamp,dataset,rank1,mAP,loss
2025-07-15 13:01:54,client_4,0.4909,0.3692,0.0000
2025-07-15 13:39:15,client_4,0.5273,0.4686,0.0000
2025-07-15 14:22:27,client_4,0.5455,0.4962,0.0000
2025-07-15 15:06:52,client_4,0.6000,0.5295,0.0000
2025-07-15 15:47:50,client_4,0.5455,0.5143,0.0000
2025-07-15 16:22:38,client_4,0.6182,0.5452,0.0000
2025-07-15 17:02:22,client_4,0.6000,0.5571,0.0000
2025-07-15 17:34:28,client_4,0.6364,0.5698,0.0000
2025-07-15 18:16:57,client_4,0.6000,0.5507,0.0000
2025-07-15 18:55:29,client_4,0.6182,0.5674,0.0000
