client,round,loss
6,3,2.224
6,9,1.199
6,12,0.852
6,18,0.666
6,19,0.511
6,21,0.429
6,24,0.374
6,29,0.305
6,34,0.253
6,35,0.24
6,36,0.189
6,37,0.169
6,38,0.137
6,41,0.122
6,42,0.101
6,44,0.097
6,45,0.093
6,48,0.068
6,50,0.059
6,55,0.061
6,58,0.052
6,61,0.048
6,62,0.045
6,65,0.05
6,66,0.035
6,68,0.034
6,69,0.04
6,70,0.031
6,71,0.034
6,72,0.027
6,73,0.028
6,80,0.029
6,83,0.028
6,84,0.031
6,85,0.027
6,86,0.026
6,87,0.026
6,88,0.023
6,90,0.024
6,91,0.02
6,92,0.022
6,93,0.019
6,95,0.019
6,98,0.023
6,100,0.021
6,102,0.019
