timestamp,dataset,rank1,rank5,mAP
2025-06-24 18:49:37,1,0.7778,1.0000,0.4874
2025-06-24 18:50:00,3,0.9231,1.0000,0.5102
2025-06-24 18:50:21,4,1.0000,1.0000,0.5238
2025-06-24 18:50:40,5,0.6923,1.0000,0.4046
2025-06-24 18:51:02,7,0.7273,0.9091,0.4931
2025-06-24 18:51:33,test,0.7576,0.8485,0.4535
2025-06-24 19:16:39,1,1.0000,1.0000,0.5994
2025-06-24 19:17:01,3,0.8462,1.0000,0.6766
2025-06-24 19:17:22,4,0.8750,1.0000,0.5339
2025-06-24 19:17:42,5,0.9231,1.0000,0.6681
2025-06-24 19:18:03,7,0.7273,0.9091,0.6063
2025-06-24 19:18:36,test,0.7576,0.8788,0.5679
2025-06-24 19:50:46,1,1.0000,1.0000,0.6865
2025-06-24 19:51:09,3,0.9231,0.9231,0.7213
2025-06-24 19:51:29,4,0.8750,1.0000,0.6686
2025-06-24 19:51:49,5,0.9231,1.0000,0.6784
2025-06-24 19:52:11,7,0.9091,1.0000,0.6591
2025-06-24 19:52:42,test,0.7879,0.9697,0.5716
2025-06-24 20:24:49,1,1.0000,1.0000,0.6169
2025-06-24 20:25:12,3,0.9231,1.0000,0.8127
2025-06-24 20:25:32,4,0.8750,1.0000,0.7786
2025-06-24 20:25:52,5,0.9231,1.0000,0.6969
2025-06-24 20:26:13,7,0.9091,1.0000,0.7575
2025-06-24 20:26:44,test,0.7273,0.8485,0.5562
2025-06-24 20:59:54,1,0.8889,1.0000,0.6258
2025-06-24 21:00:17,3,0.9231,0.9231,0.7736
2025-06-24 21:00:37,4,0.8750,1.0000,0.7351
2025-06-24 21:00:56,5,0.9231,1.0000,0.7628
2025-06-24 21:01:18,7,0.8182,1.0000,0.8436
2025-06-24 21:01:48,test,0.8182,0.9394,0.5830
2025-06-24 21:33:20,1,1.0000,1.0000,0.6883
2025-06-24 21:33:43,3,0.9231,0.9231,0.8576
2025-06-24 21:34:03,4,0.8750,1.0000,0.7878
2025-06-24 21:34:22,5,0.9231,1.0000,0.7707
2025-06-24 21:34:43,7,0.9091,1.0000,0.7615
2025-06-24 21:35:14,test,0.7273,0.9091,0.5624
2025-06-24 22:07:24,1,0.8889,1.0000,0.7198
2025-06-24 22:07:47,3,0.9231,1.0000,0.8400
2025-06-24 22:08:07,4,0.8750,1.0000,0.7900
2025-06-24 22:08:26,5,0.9231,1.0000,0.8000
2025-06-24 22:08:50,7,0.9091,1.0000,0.8545
2025-06-24 22:09:22,test,0.7576,0.8788,0.5769
2025-06-24 22:41:00,1,1.0000,1.0000,0.7549
2025-06-24 22:41:23,3,0.9231,0.9231,0.8592
2025-06-24 22:41:42,4,0.8750,1.0000,0.8402
2025-06-24 22:42:02,5,0.9231,1.0000,0.7746
2025-06-24 22:42:23,7,0.9091,1.0000,0.7692
2025-06-24 22:42:54,test,0.7273,0.9091,0.5618
2025-06-24 23:14:56,1,0.8889,1.0000,0.7362
2025-06-24 23:15:19,3,0.9231,1.0000,0.8378
2025-06-24 23:15:38,4,0.8750,1.0000,0.8206
2025-06-24 23:15:57,5,0.9231,1.0000,0.8067
2025-06-24 23:16:20,7,1.0000,1.0000,0.8966
2025-06-24 23:16:50,test,0.7879,0.9091,0.5890
