timestamp,dataset,rank1,rank5,mAP
2025-07-08 12:31:44,1,0.8000,1.0000,0.7340
2025-07-08 12:32:00,2,1.0000,1.0000,0.6692
2025-07-08 12:32:18,3,0.6667,0.8889,0.3353
2025-07-08 12:32:37,4,0.5000,0.6000,0.3092
2025-07-08 12:33:02,test,0.6923,0.8462,0.4383
2025-07-08 12:52:17,1,1.0000,1.0000,0.7391
2025-07-08 12:52:34,2,1.0000,1.0000,0.7350
2025-07-08 12:52:51,3,0.6667,0.8889,0.3975
2025-07-08 12:53:11,4,0.5000,0.6000,0.3661
2025-07-08 12:53:37,test,0.6154,0.8846,0.4514
2025-07-08 13:16:39,1,0.8000,1.0000,0.7291
2025-07-08 13:16:55,2,1.0000,1.0000,0.7740
2025-07-08 13:17:14,3,0.6667,0.8889,0.4286
2025-07-08 13:17:32,4,0.6000,0.7000,0.4312
2025-07-08 13:17:57,test,0.6538,0.8846,0.4699
2025-07-08 13:40:11,1,1.0000,1.0000,0.7936
2025-07-08 13:40:29,2,1.0000,1.0000,0.7743
2025-07-08 13:40:46,3,0.8889,0.8889,0.5376
2025-07-08 13:41:05,4,0.5000,0.7000,0.4097
2025-07-08 13:41:31,test,0.6538,0.9231,0.4828
