timestamp,dataset,rank1,rank5,mAP
2025-07-02 20:49:10,1,0.5000,0.6667,0.4594
2025-07-02 20:49:32,2,0.7727,0.9091,0.5344
2025-07-02 20:50:01,3,0.6053,0.7368,0.3390
2025-07-02 20:50:27,4,0.7188,0.8438,0.3642
2025-07-02 20:50:59,5,0.6600,0.7400,0.3141
2025-07-02 20:51:27,test,0.6410,0.8205,0.3897
2025-07-02 21:39:40,1,0.8333,1.0000,0.5767
2025-07-02 21:40:02,2,0.8182,0.9545,0.6103
2025-07-02 21:40:32,3,0.7632,0.8684,0.5084
2025-07-02 21:40:57,4,0.7188,0.9688,0.4487
2025-07-02 21:41:30,5,0.7000,0.8200,0.4827
2025-07-02 21:41:59,test,0.7179,0.8205,0.4439
2025-07-02 22:35:05,1,0.8333,0.8333,0.5545
2025-07-02 22:35:26,2,0.8182,0.9545,0.6378
2025-07-02 22:35:55,3,0.7632,0.8158,0.5750
2025-07-02 22:36:21,4,0.8125,0.9062,0.5669
2025-07-02 22:36:52,5,0.7000,0.8200,0.5448
2025-07-02 22:37:20,test,0.6923,0.8205,0.4371
2025-07-02 23:30:03,1,0.5000,0.8333,0.4971
2025-07-02 23:30:26,2,0.7727,0.9091,0.6256
2025-07-02 23:30:55,3,0.7632,0.7895,0.5797
2025-07-02 23:31:21,4,0.8438,0.9062,0.5863
2025-07-02 23:31:52,5,0.7000,0.8400,0.5493
2025-07-02 23:32:20,test,0.7692,0.9231,0.4595
2025-07-03 00:25:00,1,0.6667,0.8333,0.5656
2025-07-03 00:25:24,2,0.9091,1.0000,0.7015
2025-07-03 00:25:53,3,0.8158,0.8947,0.6412
2025-07-03 00:26:19,4,0.7500,0.9062,0.5248
2025-07-03 00:26:52,5,0.6800,0.8200,0.5330
2025-07-03 00:27:20,test,0.7436,0.8974,0.4596
2025-07-03 01:20:00,1,0.6667,0.8333,0.5424
2025-07-03 01:20:24,2,0.7727,0.9091,0.6380
2025-07-03 01:20:53,3,0.7895,0.8421,0.6650
2025-07-03 01:21:19,4,0.7812,0.9688,0.5975
2025-07-03 01:21:51,5,0.7200,0.8200,0.5979
2025-07-03 01:22:19,test,0.7692,0.8974,0.4675
2025-07-03 02:14:57,1,0.5000,0.8333,0.5241
2025-07-03 02:15:20,2,0.8182,0.8636,0.6572
2025-07-03 02:15:50,3,0.7895,0.8684,0.6483
2025-07-03 02:16:16,4,0.8438,0.9375,0.6302
2025-07-03 02:16:48,5,0.7000,0.8000,0.5788
2025-07-03 02:17:17,test,0.7179,0.8462,0.4789
2025-07-03 03:10:10,1,0.6667,0.8333,0.5574
2025-07-03 03:10:32,2,0.8636,0.9545,0.6912
2025-07-03 03:11:01,3,0.8421,0.8684,0.7099
2025-07-03 03:11:27,4,0.8125,0.9688,0.6173
2025-07-03 03:11:58,5,0.7000,0.8400,0.6099
2025-07-03 03:12:26,test,0.7692,0.8718,0.4684
2025-07-03 04:05:04,1,0.6667,0.8333,0.5677
2025-07-03 04:05:26,2,0.8636,0.9545,0.6952
2025-07-03 04:05:55,3,0.8158,0.8684,0.7045
2025-07-03 04:06:21,4,0.8125,0.9688,0.6255
2025-07-03 04:06:54,5,0.7200,0.8600,0.6251
2025-07-03 04:07:22,test,0.7949,0.9231,0.4758
2025-07-03 05:00:11,1,0.6667,0.8333,0.5522
2025-07-03 05:00:33,2,0.8636,0.9545,0.6919
2025-07-03 05:01:02,3,0.8421,0.8947,0.7203
2025-07-03 05:01:28,4,0.8438,0.9688,0.6373
2025-07-03 05:02:00,5,0.7000,0.8600,0.6188
2025-07-03 05:02:29,test,0.7692,0.8974,0.4676
2025-07-03 05:55:32,1,0.6667,0.8333,0.5855
2025-07-03 05:55:54,2,0.8636,0.9545,0.7124
2025-07-03 05:56:23,3,0.8684,0.8947,0.7439
2025-07-03 05:56:49,4,0.8125,0.9688,0.6259
2025-07-03 05:57:22,5,0.7400,0.8600,0.6418
2025-07-03 05:57:50,test,0.7436,0.9487,0.4744
