timestamp,dataset,rank1,rank5,mAP
2025-07-02 20:48:52,client_3,0.6316,0.7632,0.3683
2025-07-02 21:34:04,client_3,0.7368,0.7895,0.5519
2025-07-02 22:32:33,client_3,0.7632,0.7895,0.6080
2025-07-02 23:25:03,client_3,0.7895,0.8421,0.6212
2025-07-03 00:24:43,client_3,0.7895,0.9211,0.6560
2025-07-03 01:14:59,client_3,0.7895,0.8684,0.6748
2025-07-03 02:10:43,client_3,0.7895,0.8421,0.6961
2025-07-03 03:08:49,client_3,0.7368,0.8947,0.6861
2025-07-03 04:01:40,client_3,0.8421,0.8684,0.7165
2025-07-03 04:59:18,client_3,0.8421,0.8947,0.7287
2025-07-03 05:49:51,client_3,0.8421,0.9211,0.7436
