timestamp,dataset,rank1,rank5,mAP
2025-07-07 15:51:49,1,0.0000,1.0000,0.2454
2025-07-07 15:52:06,2,0.0000,0.6667,0.2663
2025-07-07 15:52:23,3,0.5000,1.0000,0.5172
2025-07-07 15:52:39,4,0.5000,1.0000,0.4565
2025-07-07 15:52:58,5,0.5000,0.6250,0.2943
2025-07-07 15:53:29,test,0.5143,0.6286,0.2439
2025-07-07 16:27:22,1,0.2500,1.0000,0.3088
2025-07-07 16:27:39,2,0.0000,0.6667,0.2798
2025-07-07 16:27:55,3,1.0000,1.0000,0.7641
2025-07-07 16:28:12,4,0.5000,1.0000,0.4377
2025-07-07 16:28:31,5,0.5000,0.7500,0.3219
2025-07-07 16:29:00,test,0.6000,0.7429,0.2877
2025-07-07 17:08:24,1,0.2500,1.0000,0.3364
2025-07-07 17:08:40,2,0.0000,0.6667,0.2832
2025-07-07 17:08:58,3,1.0000,1.0000,0.7720
2025-07-07 17:09:15,4,0.5000,1.0000,0.4496
2025-07-07 17:09:34,5,0.6250,0.7500,0.3574
2025-07-07 17:10:03,test,0.6286,0.7714,0.2909
2025-07-07 17:46:06,1,0.0000,1.0000,0.2895
2025-07-07 17:46:22,2,0.0000,0.6667,0.2894
2025-07-07 17:46:39,3,1.0000,1.0000,0.7707
2025-07-07 17:46:56,4,0.5000,1.0000,0.4662
2025-07-07 17:47:15,5,0.6250,0.7500,0.3603
2025-07-07 17:47:44,test,0.6286,0.7714,0.3001
2025-07-07 18:27:10,1,0.2500,1.0000,0.3393
2025-07-07 18:27:27,2,0.0000,0.6667,0.2700
2025-07-07 18:27:44,3,1.0000,1.0000,0.7800
2025-07-07 18:28:00,4,0.5000,1.0000,0.4676
2025-07-07 18:28:20,5,0.6250,0.7500,0.3465
2025-07-07 18:28:49,test,0.6000,0.7714,0.3071
2025-07-07 19:06:07,1,0.0000,1.0000,0.3208
2025-07-07 19:06:24,2,0.0000,0.6667,0.2750
2025-07-07 19:06:41,3,1.0000,1.0000,0.7774
2025-07-07 19:06:58,4,0.5000,1.0000,0.4918
2025-07-07 19:07:17,5,0.6250,0.7500,0.3473
2025-07-07 19:07:47,test,0.6286,0.7714,0.3158
