timestamp,dataset,rank1,rank5,mAP
2025-07-07 21:19:52,1,0.5000,0.5000,0.3676
2025-07-07 21:20:16,2,0.5000,0.6818,0.3630
2025-07-07 21:20:47,3,0.5000,0.6842,0.2593
2025-07-07 21:21:17,4,0.5625,0.6250,0.2487
2025-07-07 21:21:50,5,0.4000,0.5400,0.1583
2025-07-07 21:22:21,test,0.3333,0.6154,0.2203
2025-07-07 22:27:40,1,0.5000,0.6667,0.3846
2025-07-07 22:28:03,2,0.6818,0.8182,0.4032
2025-07-07 22:28:34,3,0.5000,0.7632,0.2936
2025-07-07 22:29:00,4,0.5938,0.7188,0.2855
2025-07-07 22:29:34,5,0.4200,0.6200,0.1965
2025-07-07 22:30:04,test,0.4103,0.5897,0.2639
2025-07-07 23:48:47,1,0.5000,0.8333,0.4065
2025-07-07 23:49:11,2,0.5455,0.8182,0.4001
2025-07-07 23:49:42,3,0.6053,0.7632,0.3315
2025-07-07 23:50:09,4,0.6562,0.7812,0.3655
2025-07-07 23:50:43,5,0.5000,0.6200,0.2313
2025-07-07 23:51:16,test,0.4615,0.7436,0.3048
2025-07-08 01:05:59,1,0.5000,0.8333,0.4137
2025-07-08 01:06:23,2,0.7273,0.8636,0.4914
2025-07-08 01:06:53,3,0.6579,0.7895,0.3535
2025-07-08 01:07:21,4,0.6250,0.8125,0.4099
2025-07-08 01:07:54,5,0.4000,0.6800,0.2480
2025-07-08 01:08:24,test,0.5385,0.7179,0.3100
2025-07-08 02:28:46,1,0.5000,0.8333,0.4295
2025-07-08 02:29:10,2,0.7727,0.8636,0.5432
2025-07-08 02:29:40,3,0.6053,0.7368,0.4028
2025-07-08 02:30:07,4,0.6250,0.8750,0.4565
2025-07-08 02:30:40,5,0.5600,0.6800,0.3193
2025-07-08 02:31:13,test,0.6154,0.8205,0.3549
2025-07-08 03:44:31,1,0.5000,1.0000,0.4654
2025-07-08 03:44:55,2,0.7273,0.8636,0.5820
2025-07-08 03:45:26,3,0.6053,0.7895,0.4161
2025-07-08 03:45:52,4,0.7500,0.8750,0.5603
2025-07-08 03:46:27,5,0.5800,0.7400,0.3438
2025-07-08 03:46:56,test,0.6667,0.8462,0.3935
2025-07-08 05:01:32,1,0.5000,0.6667,0.4149
2025-07-08 05:01:55,2,0.8182,0.8636,0.6298
2025-07-08 05:02:26,3,0.6579,0.7368,0.3933
2025-07-08 05:02:52,4,0.6250,0.8750,0.5464
2025-07-08 05:03:26,5,0.5800,0.7400,0.3676
2025-07-08 05:03:55,test,0.6410,0.7949,0.3539
2025-07-08 06:15:31,1,0.5000,0.6667,0.3911
2025-07-08 06:15:54,2,0.8182,0.8636,0.6118
2025-07-08 06:16:25,3,0.5789,0.7632,0.5433
2025-07-08 06:16:51,4,0.6875,0.8750,0.5882
2025-07-08 06:17:25,5,0.5600,0.6800,0.3754
2025-07-08 06:17:53,test,0.6667,0.8205,0.3879
