timestamp,dataset,rank1,rank5,mAP
2025-07-07 15:55:43,1,0.5000,0.5000,0.3644
2025-07-07 15:56:06,2,0.4545,0.7273,0.3592
2025-07-07 15:56:36,3,0.5263,0.7105,0.2721
2025-07-07 15:57:04,4,0.5625,0.6250,0.2590
2025-07-07 15:57:38,5,0.4000,0.5200,0.1611
2025-07-07 15:58:08,test,0.3333,0.5897,0.2312
2025-07-07 17:03:37,1,0.5000,0.6667,0.3833
2025-07-07 17:04:01,2,0.5909,0.8636,0.3927
2025-07-07 17:04:33,3,0.5789,0.7368,0.2938
2025-07-07 17:05:00,4,0.6250,0.6875,0.2799
2025-07-07 17:05:36,5,0.4200,0.6000,0.1856
2025-07-07 17:06:06,test,0.4103,0.6154,0.2598
2025-07-07 18:25:54,1,0.5000,0.8333,0.4203
2025-07-07 18:26:19,2,0.6818,0.7727,0.4172
2025-07-07 18:26:49,3,0.6053,0.7368,0.3176
2025-07-07 18:27:18,4,0.6562,0.7500,0.3576
2025-07-07 18:27:51,5,0.4600,0.6200,0.2071
2025-07-07 18:28:21,test,0.4615,0.6923,0.2904
2025-07-07 19:43:43,1,0.5000,0.8333,0.3878
2025-07-07 19:44:07,2,0.7727,0.8636,0.4859
2025-07-07 19:44:38,3,0.6579,0.7632,0.3415
2025-07-07 19:45:05,4,0.6250,0.7500,0.4011
2025-07-07 19:45:42,5,0.4800,0.6600,0.2387
2025-07-07 19:46:14,test,0.4872,0.6923,0.3089
