timestamp,dataset,rank1,rank5,mAP
2025-07-08 12:09:28,1,1.0000,1.0000,0.7917
2025-07-08 12:09:45,2,0.8000,0.8000,0.6501
2025-07-08 12:10:05,3,0.6667,0.8333,0.3897
2025-07-08 12:10:24,4,0.3750,0.7500,0.3686
2025-07-08 12:10:50,test,0.7407,0.8889,0.5289
2025-07-08 12:33:17,1,1.0000,1.0000,0.7917
2025-07-08 12:33:37,2,0.8000,0.8000,0.6722
2025-07-08 12:33:55,3,0.6667,0.9167,0.4493
2025-07-08 12:34:13,4,0.3750,0.7500,0.3858
2025-07-08 12:34:40,test,0.8148,0.8889,0.5637
2025-07-08 12:55:31,1,1.0000,1.0000,0.7083
2025-07-08 12:55:48,2,0.8000,0.8000,0.6812
2025-07-08 12:56:06,3,0.6667,0.8333,0.4623
2025-07-08 12:56:24,4,0.5000,0.7500,0.4559
2025-07-08 12:56:49,test,0.8889,0.8889,0.5870
2025-07-08 13:17:05,1,1.0000,1.0000,0.7917
2025-07-08 13:17:22,2,0.8000,0.8000,0.6654
2025-07-08 13:17:40,3,0.6667,0.9167,0.4821
2025-07-08 13:17:58,4,0.5000,0.7500,0.4493
2025-07-08 13:18:24,test,0.8889,0.8889,0.5919
2025-07-08 13:38:50,1,1.0000,1.0000,0.6333
2025-07-08 13:39:22,2,0.8000,0.8000,0.6982
2025-07-08 13:39:41,3,0.6667,1.0000,0.4810
2025-07-08 13:39:59,4,0.5000,0.7500,0.4502
2025-07-08 13:40:27,test,0.8889,0.9259,0.6117
2025-07-08 14:01:51,1,1.0000,1.0000,0.7917
2025-07-08 14:02:08,2,0.8000,0.8000,0.6872
2025-07-08 14:02:26,3,0.7500,1.0000,0.5236
2025-07-08 14:02:44,4,0.6250,0.7500,0.4920
2025-07-08 14:03:10,test,0.8889,0.8889,0.6113
2025-07-08 14:22:49,1,1.0000,1.0000,1.0000
2025-07-08 14:23:06,2,0.8000,1.0000,0.6967
2025-07-08 14:23:25,3,0.7500,1.0000,0.5398
2025-07-08 14:23:44,4,0.5000,0.7500,0.4604
2025-07-08 14:24:10,test,0.8889,0.8889,0.6111
2025-07-08 14:45:43,1,1.0000,1.0000,0.6625
2025-07-08 14:46:00,2,0.8000,0.8000,0.6964
2025-07-08 14:46:19,3,0.7500,1.0000,0.5451
2025-07-08 14:46:37,4,0.5000,0.7500,0.4508
2025-07-08 14:47:02,test,0.8889,0.8889,0.6147


E=1
90 rounds
lr cnst 0.0012025-07-08 15:07:29,1,1.0000,1.0000,0.6625
2025-07-08 15:07:45,2,0.8000,1.0000,0.7049
2025-07-08 15:08:04,3,0.8333,1.0000,0.5760
2025-07-08 15:08:22,4,0.5000,0.7500,0.4566
2025-07-08 15:08:47,test,0.8889,0.9259,0.6222
