timestamp,dataset,rank1,rank5,mAP
2025-07-08 19:37:15,1,1.0000,1.0000,0.5982
2025-07-08 19:37:33,2,0.8000,0.8000,0.6028
2025-07-08 19:37:52,3,0.6667,0.8333,0.3489
2025-07-08 19:38:12,4,0.2500,0.6250,0.2301
2025-07-08 19:38:39,test,0.7407,0.8889,0.4734
2025-07-08 19:57:15,1,1.0000,1.0000,0.7917
2025-07-08 19:57:31,2,0.8000,0.8000,0.6501
2025-07-08 19:57:50,3,0.6667,1.0000,0.3940
2025-07-08 19:58:09,4,0.5000,0.7500,0.3771
2025-07-08 19:58:35,test,0.7407,0.8889,0.5218
2025-07-08 20:21:22,1,1.0000,1.0000,0.7917
2025-07-08 20:21:39,2,0.8000,0.8000,0.6752
2025-07-08 20:21:58,3,0.6667,0.9167,0.4498
2025-07-08 20:22:18,4,0.3750,0.7500,0.3742
2025-07-08 20:22:44,test,0.8148,0.8889,0.5591
2025-07-08 20:43:55,1,1.0000,1.0000,0.6131
2025-07-08 20:44:12,2,0.8000,0.8000,0.6801
2025-07-08 20:44:30,3,0.6667,0.9167,0.4576
2025-07-08 20:44:49,4,0.5000,0.7500,0.4578
2025-07-08 20:45:15,test,0.8519,0.9259,0.5873
2025-07-08 21:05:54,1,1.0000,1.0000,0.7917
2025-07-08 21:06:12,2,0.8000,0.8000,0.6787
2025-07-08 21:06:30,3,0.6667,1.0000,0.4739
2025-07-08 21:06:48,4,0.5000,0.7500,0.4536
2025-07-08 21:07:15,test,0.8519,0.9259,0.5902
2025-07-08 21:28:04,1,1.0000,1.0000,0.6131
2025-07-08 21:28:20,2,0.8000,0.8000,0.6963
2025-07-08 21:28:38,3,0.6667,0.9167,0.4629
2025-07-08 21:29:00,4,0.5000,0.7500,0.4417
2025-07-08 21:29:26,test,0.8889,0.9259,0.6033
2025-07-08 21:51:14,1,1.0000,1.0000,0.6131
2025-07-08 21:51:31,2,0.8000,0.8000,0.6852
2025-07-08 21:51:49,3,0.6667,1.0000,0.4762
2025-07-08 21:52:08,4,0.5000,0.7500,0.4378
2025-07-08 21:52:34,test,0.8519,0.9259,0.5935
2025-07-08 22:12:36,1,1.0000,1.0000,0.6333
2025-07-08 22:12:53,2,0.8000,1.0000,0.7098
2025-07-08 22:13:12,3,0.7500,1.0000,0.5156
2025-07-08 22:13:31,4,0.5000,0.7500,0.4500
2025-07-08 22:13:56,test,0.8889,0.9630,0.5999
2025-07-08 22:35:52,1,1.0000,1.0000,0.6131
2025-07-08 22:36:10,2,0.8000,0.8000,0.7023
2025-07-08 22:36:28,3,0.6667,0.9167,0.4721
2025-07-08 22:36:46,4,0.5000,0.7500,0.4469
2025-07-08 22:37:12,test,0.8889,0.9259,0.6062
2025-07-08 22:57:33,1,1.0000,1.0000,0.6131
2025-07-08 22:57:50,2,0.8000,0.8000,0.7019
2025-07-08 22:58:09,3,0.6667,0.9167,0.4728
2025-07-08 22:58:27,4,0.5000,0.7500,0.4440
2025-07-08 22:58:54,test,0.8889,0.9259,0.6066
2025-07-08 23:19:51,1,1.0000,1.0000,0.6131
2025-07-08 23:20:09,2,0.8000,0.8000,0.6876
2025-07-08 23:20:28,3,0.7500,1.0000,0.5135
2025-07-08 23:20:47,4,0.5000,0.7500,0.4462
2025-07-08 23:21:13,test,0.8519,0.9259,0.5982
