,timestamp,dataset,rank1,rank5,rank10,mAP
90,2025-06-21 23:05:32,1,0.5769,0.7308,0.7692,0.5283
91,2025-06-21 23:05:55,3,0.6286,0.7429,0.8,0.5093
92,2025-06-21 23:06:18,4,0.6364,0.8485,0.8788,0.5478
93,2025-06-21 23:06:37,5,0.5882,0.8824,0.8824,0.5534
94,2025-06-21 23:06:58,7,0.6,0.8333,0.9333,0.5692
95,2025-06-21 23:07:29,test,0.2329,0.2466,0.2603,0.144
96,2025-06-21 23:36:56,1,0.6538,0.8077,0.8462,0.598
97,2025-06-21 23:37:19,3,0.7429,0.8571,0.8857,0.5871
98,2025-06-21 23:37:41,4,0.6061,0.9394,0.9394,0.5715
99,2025-06-21 23:38:00,5,0.6471,0.9412,0.9412,0.544
100,2025-06-21 23:38:22,7,0.7,0.9,0.9,0.6211
101,2025-06-21 23:38:53,test,0.2329,0.274,0.274,0.1228
102,2025-06-22 00:08:09,1,0.6923,0.8846,0.8846,0.5845
103,2025-06-22 00:08:32,3,0.7143,0.8,0.8571,0.6291
104,2025-06-22 00:08:55,4,0.6364,0.8788,0.9394,0.6176
105,2025-06-22 00:09:14,5,0.7059,0.9412,0.9412,0.5954
106,2025-06-22 00:09:36,7,0.7333,0.8333,0.9,0.6681
107,2025-06-22 00:10:08,test,0.2192,0.2466,0.274,0.1281
108,2025-06-22 00:40:17,1,0.6923,0.8462,0.8846,0.6082
109,2025-06-22 00:40:40,3,0.7143,0.8,0.8,0.5819
110,2025-06-22 00:41:03,4,0.7273,0.8182,0.8788,0.6645
111,2025-06-22 00:41:23,5,0.7059,0.8824,0.9412,0.6557
112,2025-06-22 00:41:44,7,0.7333,0.8667,0.9667,0.7102
113,2025-06-22 00:42:15,test,0.2466,0.274,0.274,0.1342
114,2025-06-22 01:11:40,1,0.7692,0.8077,0.8462,0.5927
115,2025-06-22 01:12:03,3,0.7143,0.8,0.8,0.629
116,2025-06-22 01:12:26,4,0.7273,0.9091,0.9394,0.6779
117,2025-06-22 01:12:45,5,0.6471,0.9412,0.9412,0.5871
118,2025-06-22 01:13:07,7,0.7667,0.8667,0.9,0.6994
119,2025-06-22 01:13:38,test,0.2329,0.2466,0.274,0.1308
