,timestamp,dataset,rank1,rank5,rank10,mAP
180,2025-06-22 07:02:05,1,0.6154,0.8462,0.9231,0.5813
181,2025-06-22 07:02:28,3,0.6571,0.7429,0.8286,0.5343
182,2025-06-22 07:02:51,4,0.5455,0.7879,0.9394,0.4539
183,2025-06-22 07:03:09,5,0.5294,0.8824,0.9412,0.5756
184,2025-06-22 07:03:31,7,0.6333,0.8333,0.8667,0.5708
185,2025-06-22 07:04:02,test,0.2329,0.274,0.2877,0.144
186,2025-06-22 07:34:20,1,0.7692,0.8077,0.8846,0.6412
187,2025-06-22 07:34:43,3,0.6857,0.8,0.8857,0.5922
188,2025-06-22 07:35:06,4,0.5758,0.8485,0.8788,0.5514
189,2025-06-22 07:35:25,5,0.5882,0.8824,1.0,0.604
190,2025-06-22 07:35:46,7,0.6667,0.9,0.9,0.6575
191,2025-06-22 07:36:18,test,0.2192,0.2603,0.274,0.1362
192,2025-06-22 08:06:11,1,0.7308,0.8846,0.9615,0.6288
193,2025-06-22 08:06:34,3,0.7143,0.7714,0.8571,0.6098
194,2025-06-22 08:06:56,4,0.6667,0.8182,0.8485,0.5735
195,2025-06-22 08:07:15,5,0.5882,0.9412,1.0,0.5408
196,2025-06-22 08:07:37,7,0.7,0.8667,0.9,0.6748
197,2025-06-22 08:08:08,test,0.2329,0.2603,0.274,0.1384
198,2025-06-22 08:38:59,1,0.7308,0.8462,0.8846,0.6453
199,2025-06-22 08:39:21,3,0.7143,0.8,0.8857,0.6413
200,2025-06-22 08:39:44,4,0.7273,0.7879,0.8182,0.5637
201,2025-06-22 08:40:03,5,0.6471,0.8824,1.0,0.633
202,2025-06-22 08:40:24,7,0.7,0.8667,0.8667,0.6753
203,2025-06-22 08:40:55,test,0.2192,0.2603,0.2877,0.1323
204,2025-06-22 09:11:09,1,0.6923,0.8462,0.8846,0.6338
205,2025-06-22 09:11:31,3,0.7429,0.8286,0.8857,0.6453
206,2025-06-22 09:11:54,4,0.7273,0.8182,0.8485,0.6066
207,2025-06-22 09:12:13,5,0.6471,1.0,1.0,0.6557
208,2025-06-22 09:12:34,7,0.7333,0.8667,0.8667,0.6921
209,2025-06-22 09:13:05,test,0.2192,0.274,0.2877,0.1313
210,2025-06-22 09:43:31,1,0.7308,0.8462,0.9231,0.6421
211,2025-06-22 09:43:54,3,0.7429,0.8286,0.8857,0.6436
212,2025-06-22 09:44:17,4,0.7273,0.7576,0.8485,0.6042
213,2025-06-22 09:44:36,5,0.6471,0.9412,1.0,0.6748
214,2025-06-22 09:44:57,7,0.7333,0.8667,0.9,0.7024
215,2025-06-22 09:45:29,test,0.2329,0.2603,0.274,0.1332
216,2025-06-22 10:16:47,1,0.7308,0.8846,0.9231,0.6348
217,2025-06-22 10:17:10,3,0.6857,0.8,0.8857,0.6248
218,2025-06-22 10:17:33,4,0.7273,0.7879,0.7879,0.6268
219,2025-06-22 10:17:52,5,0.6471,0.9412,1.0,0.6704
220,2025-06-22 10:18:14,7,0.7333,0.8,0.9,0.69
221,2025-06-22 10:18:47,test,0.2329,0.2603,0.274,0.1348
