,timestamp,dataset,rank1,rank5,rank10,mAP
0,2025-06-21 14:56:59,1,0.8077,0.8846,0.8846,0.64
1,2025-06-21 14:57:22,3,0.6571,0.7714,0.7714,0.4978
2,2025-06-21 14:57:45,4,0.5758,0.7879,0.8485,0.5282
3,2025-06-21 14:58:04,5,0.6471,1.0,1.0,0.6235
4,2025-06-21 14:58:25,7,0.6667,0.8333,0.9333,0.5947
5,2025-06-21 14:58:57,test,0.2329,0.2603,0.3014,0.1279
6,2025-06-21 15:29:14,1,0.7308,0.8846,0.8846,0.6403
7,2025-06-21 15:29:37,3,0.7143,0.8,0.8286,0.603
8,2025-06-21 15:30:00,4,0.6667,0.8788,0.9091,0.6318
9,2025-06-21 15:30:19,5,0.5294,0.9412,0.9412,0.6029
10,2025-06-21 15:30:41,7,0.7,0.8333,0.9,0.6696
11,2025-06-21 15:31:13,test,0.2329,0.274,0.2877,0.1237
12,2025-06-21 16:01:08,1,0.8077,0.8846,0.8846,0.6753
13,2025-06-21 16:01:32,3,0.7143,0.8571,0.8857,0.631
14,2025-06-21 16:01:54,4,0.697,0.8182,0.8485,0.6343
15,2025-06-21 16:02:13,5,0.6471,1.0,1.0,0.6569
16,2025-06-21 16:02:35,7,0.8,0.8333,0.9,0.751
17,2025-06-21 16:03:07,test,0.2192,0.2603,0.274,0.1224
18,2025-06-21 16:34:12,1,0.7692,0.8462,0.9231,0.6575
19,2025-06-21 16:34:35,3,0.7143,0.8571,0.9143,0.6488
20,2025-06-21 16:34:58,4,0.6364,0.7273,0.8485,0.6164
21,2025-06-21 16:35:17,5,0.7059,0.9412,0.9412,0.6796
22,2025-06-21 16:35:39,7,0.7667,0.8333,0.8667,0.744
23,2025-06-21 16:36:11,test,0.2192,0.2603,0.3014,0.1294
24,2025-06-21 17:06:34,1,0.7308,0.8846,0.9231,0.6724
25,2025-06-21 17:06:57,3,0.7143,0.8286,0.9143,0.6426
26,2025-06-21 17:07:20,4,0.6667,0.8485,0.9091,0.6523
27,2025-06-21 17:07:39,5,0.6471,0.9412,0.9412,0.6937
28,2025-06-21 17:08:01,7,0.8,0.8333,0.9333,0.765
29,2025-06-21 17:08:33,test,0.2192,0.2603,0.2877,0.1274
30,2025-06-21 17:39:05,1,0.7692,0.8462,0.9231,0.6673
31,2025-06-21 17:39:28,3,0.7143,0.8286,0.9143,0.6655
32,2025-06-21 17:39:51,4,0.697,0.8182,0.8485,0.6536
33,2025-06-21 17:40:10,5,0.6471,0.8824,0.9412,0.7007
34,2025-06-21 17:40:31,7,0.7667,0.8,0.8333,0.7546
35,2025-06-21 17:41:03,test,0.2192,0.2603,0.274,0.1274
36,2025-06-21 18:12:12,1,0.7308,0.8462,0.9231,0.6832
37,2025-06-21 18:12:35,3,0.7143,0.8571,0.9143,0.6605
38,2025-06-21 18:12:58,4,0.697,0.7576,0.8182,0.6547
39,2025-06-21 18:13:17,5,0.6471,0.9412,0.9412,0.7112
40,2025-06-21 18:13:39,7,0.7667,0.8333,0.9333,0.7525
41,2025-06-21 18:14:10,test,0.2329,0.2603,0.274,0.1294
42,2025-06-21 18:44:35,1,0.7308,0.8846,0.9615,0.6775
43,2025-06-21 18:44:59,3,0.7143,0.8286,0.9143,0.6618
44,2025-06-21 18:45:21,4,0.6667,0.7879,0.8485,0.6471
45,2025-06-21 18:45:41,5,0.7059,0.9412,1.0,0.728
46,2025-06-21 18:46:02,7,0.7667,0.8,0.9333,0.7604
47,2025-06-21 18:46:35,test,0.2329,0.2603,0.2877,0.1292
48,2025-06-21 19:18:32,1,0.7692,0.8462,0.9231,0.6762
49,2025-06-21 19:18:55,3,0.6857,0.8571,0.8857,0.6689
50,2025-06-21 19:19:18,4,0.6667,0.7879,0.8182,0.6481
51,2025-06-21 19:19:37,5,0.6471,0.9412,1.0,0.7222
52,2025-06-21 19:19:59,7,0.7667,0.8,0.8667,0.7618
53,2025-06-21 19:20:30,test,0.2329,0.2603,0.2603,0.1298
54,2025-06-21 19:51:59,1,0.7308,0.8846,0.9231,0.6802
55,2025-06-21 19:52:23,3,0.7714,0.8571,0.9143,0.7035
56,2025-06-21 19:52:45,4,0.6667,0.7576,0.8788,0.6494
57,2025-06-21 19:53:05,5,0.6471,0.9412,1.0,0.7289
58,2025-06-21 19:53:26,7,0.8,0.8,0.9,0.773
59,2025-06-21 19:53:57,test,0.2329,0.2603,0.274,0.1294
60,2025-06-21 20:23:47,1,0.7308,0.8462,0.9615,0.6787
61,2025-06-21 20:24:10,3,0.7429,0.8571,0.9143,0.701
62,2025-06-21 20:24:34,4,0.6667,0.7879,0.8788,0.6503
63,2025-06-21 20:24:53,5,0.6471,1.0,1.0,0.7325
64,2025-06-21 20:25:14,7,0.8,0.8333,0.8667,0.7749
65,2025-06-21 20:25:46,test,0.2329,0.2603,0.274,0.1323
66,2025-06-21 20:57:05,1,0.7308,0.8462,0.9615,0.6816
67,2025-06-21 20:57:28,3,0.7429,0.8571,0.9143,0.6981
