timestamp,dataset,rank1,rank5,mAP
2025-07-03 06:08:17,1,0.6667,0.6667,0.4316
2025-07-03 06:08:40,2,0.9091,0.9091,0.5860
2025-07-03 06:09:10,3,0.6316,0.8158,0.3601
2025-07-03 06:09:35,4,0.7188,0.8750,0.3675
2025-07-03 06:10:07,5,0.6000,0.7400,0.3079
2025-07-03 06:10:34,test,0.6923,0.7949,0.3920
2025-07-03 06:59:25,1,0.6667,0.8333,0.6144
2025-07-03 06:59:48,2,0.8636,0.9545,0.6361
2025-07-03 07:00:18,3,0.7632,0.8421,0.5658
2025-07-03 07:00:43,4,0.7812,0.9688,0.5392
2025-07-03 07:01:20,5,0.6800,0.8000,0.5071
2025-07-03 07:01:48,test,0.7436,0.9231,0.4842
2025-07-03 07:55:23,1,0.6667,0.8333,0.6141
2025-07-03 07:55:46,2,0.8636,0.9545,0.6783
2025-07-03 07:56:14,3,0.8421,0.8684,0.6408
2025-07-03 07:56:39,4,0.7812,0.9688,0.6264
2025-07-03 07:57:12,5,0.7600,0.7800,0.5727
2025-07-03 07:57:40,test,0.7692,0.9231,0.5046
2025-07-03 08:51:21,1,0.8333,0.8333,0.6080
2025-07-03 08:51:43,2,0.8636,0.9545,0.6928
2025-07-03 08:52:13,3,0.8421,0.8947,0.6580
2025-07-03 08:52:37,4,0.7500,0.9688,0.6209
2025-07-03 08:53:10,5,0.6800,0.8000,0.5661
2025-07-03 08:53:41,test,0.7436,0.8974,0.4855
2025-07-03 09:47:01,1,0.8333,0.8333,0.6197
2025-07-03 09:47:24,2,0.9091,0.9545,0.7260
2025-07-03 09:47:52,3,0.8158,0.8947,0.6674
2025-07-03 09:48:19,4,0.7500,0.9688,0.6330
2025-07-03 09:48:50,5,0.7200,0.8400,0.5892
2025-07-03 09:49:19,test,0.7436,0.9231,0.4914
2025-07-03 10:43:10,1,0.8333,0.8333,0.6354
2025-07-03 10:43:33,2,0.9091,0.9545,0.7265
2025-07-03 10:44:03,3,0.8158,0.8947,0.6715
2025-07-03 10:44:29,4,0.7500,0.9688,0.6375
2025-07-03 10:45:01,5,0.7400,0.8400,0.5966
2025-07-03 10:45:29,test,0.7436,0.8974,0.4938
2025-07-03 11:38:53,1,0.8333,0.8333,0.6269
2025-07-03 11:39:15,2,0.9091,0.9545,0.7402
2025-07-03 11:39:44,3,0.8158,0.8947,0.6721
2025-07-03 11:40:10,4,0.7812,0.9688,0.6645
2025-07-03 11:40:43,5,0.7400,0.8600,0.5998
2025-07-03 11:41:11,test,0.7692,0.8974,0.4894
2025-07-03 12:40:11,1,0.8333,0.8333,0.6483
2025-07-03 12:40:33,2,0.9091,0.9545,0.7447
2025-07-03 12:41:03,3,0.8421,0.8947,0.6940
2025-07-03 12:41:29,4,0.7812,0.9688,0.6607
2025-07-03 12:42:00,5,0.7400,0.8800,0.6082
2025-07-03 12:42:28,test,0.7179,0.9231,0.4869
2025-07-03 13:36:16,1,0.8333,0.8333,0.6365
2025-07-03 13:36:39,2,0.9091,0.9545,0.7384
2025-07-03 13:37:07,3,0.8421,0.8947,0.6935
2025-07-03 13:37:33,4,0.7812,0.9688,0.6714
2025-07-03 13:38:05,5,0.7400,0.8600,0.6151
2025-07-03 13:38:33,test,0.7436,0.8974,0.4879
