round,cosine_sim
0.0000,0.3287
1.0000,0.5808
2.0000,0.0001
3.0000,0.0001
4.0000,0.0003
5.0000,0.0004
6.0000,0.0006
7.0000,0.0007
8.0000,0.0005
9.0000,0.0007
10.0000,0.6087
11.0000,0.0005
12.0000,0.0004
13.0000,0.0007
14.0000,0.0007
15.0000,0.0010
16.0000,0.0006
17.0000,0.0009
18.0000,0.0007
19.0000,0.0008
20.0000,0.1513
21.0000,0.0007
22.0000,0.0006
23.0000,0.0005
24.0000,0.0006
25.0000,0.0007
26.0000,0.0006
27.0000,0.0005
28.0000,0.0004
29.0000,0.0006
30.0000,0.1638
31.0000,0.0004
32.0000,0.0005
33.0000,0.0005
34.0000,0.0004
35.0000,0.0005
36.0000,0.0003
37.0000,0.0006
38.0000,0.0006
39.0000,0.0007
40.0000,0.2507
41.0000,0.0005
42.0000,0.0005
43.0000,0.0004
44.0000,0.0005
45.0000,0.0005
46.0000,0.0006
47.0000,0.0006
48.0000,0.0004
49.0000,0.0005
50.0000,0.1498
51.0000,0.0006
52.0000,0.0004
53.0000,0.0004
54.0000,0.0006
55.0000,0.0005
56.0000,0.0006
57.0000,0.0004
58.0000,0.0005
59.0000,0.0005
60.0000,0.0871
61.0000,0.0006
62.0000,0.0003
63.0000,0.0006
64.0000,0.0004
65.0000,0.0004
66.0000,0.0004
67.0000,0.0003
68.0000,0.0005
69.0000,0.0005
70.0000,0.2183
71.0000,0.0004
72.0000,0.0004
73.0000,0.0005
74.0000,0.0004
75.0000,0.0005
76.0000,0.0005
77.0000,0.0004
78.0000,0.0005
79.0000,0.0003
80.0000,0.0409
81.0000,0.0004
82.0000,0.0003
83.0000,0.0005
84.0000,0.0004
85.0000,0.0005
86.0000,0.0005
87.0000,0.0004
88.0000,0.0004
89.0000,0.0004
90.0000,0.1465
91.0000,0.0003
92.0000,0.0005
93.0000,0.0003
94.0000,0.0004
95.0000,0.0003
96.0000,0.0003
97.0000,0.0004
98.0000,0.0003
99.0000,0.0004
