round,cosine_ensemble_sim
1.0000,0.5813
2.0000,0.4168
3.0000,0.3168
4.0000,0.2750
5.0000,0.1755
6.0000,0.1218
7.0000,0.1222
8.0000,0.1181
9.0000,0.1131
10.0000,0.2506
11.0000,0.2135
12.0000,0.3457
13.0000,0.3340
14.0000,0.1703
15.0000,0.1835
16.0000,0.0906
17.0000,0.0803
18.0000,0.1808
19.0000,0.1947
20.0000,0.1907
21.0000,0.3855
22.0000,0.3931
23.0000,0.3504
24.0000,0.2859
25.0000,0.2825
26.0000,0.1698
27.0000,0.1902
28.0000,0.1983
29.0000,0.1202
30.0000,0.1143
31.0000,0.1058
32.0000,0.1557
33.0000,0.1591
34.0000,0.1116
35.0000,0.0720
36.0000,0.0472
37.0000,0.0505
38.0000,0.0766
39.0000,0.0849
40.0000,0.1460
41.0000,0.1488
42.0000,0.1513
43.0000,0.2225
44.0000,0.1474
45.0000,0.0840
46.0000,0.0529
47.0000,0.0347
48.0000,0.0385
49.0000,0.0834
50.0000,0.1092
51.0000,0.1576
52.0000,0.2330
53.0000,0.1647
54.0000,0.1257
55.0000,0.0892
56.0000,0.0893
57.0000,0.0908
58.0000,0.1722
59.0000,0.3715
60.0000,0.3145
61.0000,0.2586
62.0000,0.2577
63.0000,0.1630
64.0000,0.1799
65.0000,0.1857
66.0000,0.1746
67.0000,0.1521
68.0000,0.1186
69.0000,0.1528
70.0000,0.0840
71.0000,0.1643
72.0000,0.2341
73.0000,0.3681
74.0000,0.3659
75.0000,0.2430
76.0000,0.1877
77.0000,0.0871
78.0000,0.0925
79.0000,0.0766
80.0000,0.0730
81.0000,0.0740
82.0000,0.1144
83.0000,0.1098
84.0000,0.1047
85.0000,0.1390
86.0000,0.0620
87.0000,0.0666
88.0000,0.1584
89.0000,0.1674
90.0000,0.2223
91.0000,0.2235
92.0000,0.1430
93.0000,0.2227
94.0000,0.2300
95.0000,0.3638
96.0000,0.4853
97.0000,0.4854
98.0000,0.4744
99.0000,0.2953
