client,round,loss
3,0,4.702
3,1,4.529
3,2,3.971
3,3,3.566
3,4,3.273
3,5,2.976
3,6,2.799
3,7,2.632
3,8,2.497
3,9,2.372
3,10,2.264
3,11,2.16
3,12,2.111
3,13,2.02
3,14,1.878
3,15,1.761
3,16,1.606
3,17,1.542
3,18,1.486
3,19,1.403
3,20,1.366
3,21,1.349
3,22,1.272
3,23,1.244
3,24,1.173
3,25,1.101
3,26,1.018
3,27,0.934
3,28,0.89
3,29,0.812
3,30,0.762
3,31,0.747
3,32,0.719
3,33,0.677
3,34,0.645
3,35,0.622
3,36,0.583
3,37,0.549
3,38,0.51
3,39,0.476
3,40,0.423
3,41,0.4
3,42,0.403
3,43,0.367
3,44,0.355
3,45,0.367
3,46,0.363
3,47,0.379
3,48,0.373
3,49,0.365
3,50,0.359
3,51,0.339
3,52,0.328
3,53,0.263
3,54,0.25
3,55,0.238
3,56,0.24
3,57,0.238
3,58,0.259
3,59,0.305
3,60,0.327
3,61,0.324
3,62,0.326
3,63,0.277
3,64,0.26
3,65,0.258
3,66,0.252
3,67,0.256
3,68,0.252
3,69,0.246
3,70,0.194
3,71,0.218
3,72,0.221
3,73,0.282
3,74,0.269
3,75,0.199
3,76,0.179
3,77,0.153
3,78,0.152
3,79,0.159
3,80,0.162
3,81,0.159
3,82,0.198
3,83,0.204
3,84,0.202
3,85,0.204
3,86,0.177
3,87,0.162
3,88,0.19
3,89,0.193
3,90,0.192
3,91,0.168
3,92,0.14
3,93,0.163
3,94,0.176
3,95,0.227
3,96,0.281
3,97,0.276
3,98,0.267
3,99,0.208
