cosine_sim,student_norm,teacher_norm
0.5465,29.1432,16.5079
0.5878,28.9760,16.9982
0.5710,29.2547,18.9504
0.5193,29.2679,16.9601
0.5105,29.3470,17.0518
0.5227,29.2470,17.0772
0.5266,29.4186,17.1384
0.5115,29.2878,17.4888
0.5154,29.3333,17.3028
0.5147,29.3812,16.2090
0.5080,29.4045,18.2247
0.5077,29.2802,15.9411
0.4720,29.2861,17.3880
0.4627,29.2503,18.0782
0.4737,29.6127,18.5492
0.4704,29.4385,16.8108
0.5146,29.3874,19.8119
0.5381,29.4785,19.8199
0.5400,29.6233,20.3776
0.5365,29.4865,21.7688
0.6242,29.3052,23.6469
0.5984,29.4356,23.1064
0.6306,29.4109,23.8577
0.6595,29.5586,22.9581
0.7086,29.4847,26.0559
0.7252,29.4993,25.6975
0.6568,29.4854,22.3517
0.6792,29.2156,23.0094
0.5911,29.4286,20.2812
0.6383,29.6010,22.8165
0.5602,29.4220,19.5797
0.5729,29.3481,19.7785
0.5507,29.3972,19.6197
0.5192,29.1076,18.2591
0.5505,29.5974,20.5828
0.5482,29.4809,21.1505
0.5065,29.5181,21.2973
0.5022,29.5863,19.8385
0.5304,29.5230,21.0963
0.5311,29.5072,21.2322
0.5331,29.6077,19.6862
0.5296,29.3628,19.0308
0.5043,29.4373,18.6940
0.5140,29.2660,18.1957
0.5031,29.3137,19.0985
0.5290,29.4037,18.5985
0.5433,29.4769,19.6018
0.5169,29.4766,19.3724
0.5467,29.7563,20.0955
0.5230,29.3537,18.6871
0.5125,29.3903,18.6968
0.5324,29.5942,19.3790
