client,round,loss
0,0,2.902
0,1,2.87
0,2,2.12
0,3,1.651
0,4,1.392
0,5,1.35
0,6,1.075
0,7,0.938
0,8,0.891
0,9,0.808
0,10,0.68
0,11,0.656
0,12,0.655
0,13,0.683
0,14,0.642
0,15,0.768
0,16,0.74
0,17,0.992
0,18,0.737
0,19,0.703
0,20,0.517
0,21,0.458
0,22,0.363
0,23,0.343
0,24,0.274
0,25,0.253
0,26,0.233
0,27,0.229
0,28,0.214
0,29,0.233
0,30,0.223
0,31,0.263
0,32,0.254
0,33,0.253
0,34,0.229
0,35,0.397
0,36,0.239
0,37,0.227
0,38,0.323
0,39,0.299
0,40,0.304
0,41,0.299
0,42,0.35
0,43,0.18
