timestamp,dataset,rank1,mAP,loss
2025-07-28 21:34:07,0,0.6000,0.3925,0.0000
2025-07-28 21:34:30,1,0.4167,0.3342,0.0000
2025-07-28 21:34:53,2,0.5333,0.3761,0.0000
2025-07-28 21:35:17,3,0.5500,0.3879,0.0000
2025-07-28 21:35:40,4,0.6000,0.3848,0.0000
2025-07-29 00:04:26,0,0.6000,0.4454,0.0000
2025-07-29 00:04:49,1,0.5667,0.3742,0.0000
2025-07-29 00:05:13,2,0.6000,0.4274,0.0000
2025-07-29 00:05:37,3,0.5833,0.4251,0.0000
2025-07-29 00:06:00,4,0.6000,0.4353,0.0000
2025-07-29 02:32:31,0,0.6167,0.4244,0.0000
2025-07-29 02:32:55,1,0.5667,0.3457,0.0000
2025-07-29 02:33:19,2,0.5000,0.3382,0.0000
2025-07-29 02:33:42,3,0.6000,0.4369,0.0000
2025-07-29 02:34:09,4,0.6333,0.4129,0.0000
2025-07-29 05:00:14,0,0.6333,0.4519,0.0000
2025-07-29 05:00:38,1,0.5000,0.3332,0.0000
2025-07-29 05:01:02,2,0.5667,0.3994,0.0000
2025-07-29 05:01:27,3,0.6167,0.4355,0.0000
2025-07-29 05:01:50,4,0.6167,0.4169,0.0000
