timestamp,dataset,rank1,mAP,loss
2025-07-29 06:39:56,0,0.6000,0.3925,0.0000
2025-07-29 06:40:21,1,0.4167,0.3342,0.0000
2025-07-29 06:40:44,2,0.5333,0.3761,0.0000
2025-07-29 06:41:09,3,0.5500,0.3879,0.0000
2025-07-29 06:41:32,4,0.6000,0.3848,0.0000
2025-07-29 09:10:09,0,0.6167,0.4373,0.0000
2025-07-29 09:10:33,1,0.5667,0.3524,0.0000
2025-07-29 09:10:56,2,0.5667,0.4166,0.0000
2025-07-29 09:11:21,3,0.6167,0.4220,0.0000
2025-07-29 09:11:45,4,0.6000,0.4207,0.0000
2025-07-29 11:37:49,0,0.6167,0.4500,0.0000
2025-07-29 11:38:14,1,0.5333,0.3175,0.0000
2025-07-29 11:38:37,2,0.5833,0.3782,0.0000
2025-07-29 11:39:01,3,0.6333,0.4791,0.0000
2025-07-29 11:39:25,4,0.6333,0.4357,0.0000
