cosine_sim,student_norm,teacher_norm
0.9209,29.4172,29.7584
0.9368,29.4643,34.3997
0.9343,29.6076,30.2677
0.9422,29.3110,33.0167
0.9499,29.6577,30.7423
0.9481,29.7600,31.4747
0.9458,29.6020,31.4221
0.9260,29.5328,29.8744
0.9372,29.9873,33.8579
0.9311,30.1299,31.3647
0.9246,29.4481,31.9315
0.9236,29.7889,32.3372
0.9385,29.5382,30.9699
0.9485,29.6490,31.3823
0.9495,30.1162,31.9912
0.9486,29.4195,30.9785
0.9544,29.3731,29.2688
0.9474,29.6515,32.4617
0.9447,29.7205,29.6379
0.9257,29.8313,36.3411
0.9495,29.5121,31.5614
0.9426,29.8764,33.3020
0.9499,29.6973,32.1846
0.9422,30.0750,32.1013
0.9495,29.6820,30.6643
0.9446,29.8524,30.0504
0.9425,30.2242,29.0423
0.9272,29.9200,31.6723
0.9351,29.7925,28.8361
0.9414,29.8474,29.2800
0.9554,29.7160,29.7023
0.9214,29.7909,30.2979
0.9605,29.6199,31.9912
0.9446,29.7195,32.9692
0.9359,29.9082,30.4677
0.9390,29.8029,31.7597
0.9392,29.7957,33.6904
0.9493,29.7430,29.0460
0.9361,29.7872,31.8172
0.9483,30.0863,33.3506
0.9496,29.7350,30.7705
