client,round,loss
3,0,4.762
3,1,4.893
3,2,4.144
3,3,3.438
3,4,3.12
3,5,2.879
3,6,2.643
3,7,2.582
3,8,2.332
3,9,2.161
3,10,2.036
3,11,1.991
3,12,1.874
3,13,1.754
3,14,1.716
3,15,1.605
3,16,1.472
3,17,1.405
3,18,1.36
3,19,1.34
3,20,1.213
3,21,1.23
3,22,1.153
3,23,1.105
3,24,1.096
3,25,1.065
3,26,0.986
3,27,1.008
3,28,0.911
3,29,0.841
3,30,0.834
3,31,0.864
3,32,0.758
3,33,0.738
3,34,0.754
3,35,0.679
3,36,0.691
3,37,0.614
3,38,0.631
3,39,0.566
3,40,0.564
3,41,0.529
3,42,0.511
3,43,0.578
3,44,0.535
