client,round,loss
1,0,4.169
1,1,3.418
1,2,2.792
1,3,2.332
1,4,2.025
1,5,1.855
1,6,1.665
1,7,1.539
1,8,1.462
1,9,1.367
1,10,1.284
1,11,1.214
1,12,1.133
1,13,1.074
1,14,1.014
1,15,0.953
1,16,0.908
1,17,0.881
1,18,0.805
1,19,0.784
1,20,0.755
1,21,0.717
1,22,0.679
1,23,0.62
1,24,0.616
1,25,0.579
1,26,0.559
1,27,0.522
1,28,0.499
1,29,0.488
1,30,0.439
1,31,0.42
1,32,0.398
1,33,0.382
1,34,0.364
1,35,0.338
1,36,0.33
1,37,0.333
1,38,0.288
1,39,0.285
1,40,0.278
1,41,0.27
1,42,0.256
1,43,0.239
1,44,0.236
