round,cosine_sim
0.0000,0.3300
1.0000,0.6186
2.0000,0.0055
3.0000,0.0067
4.0000,0.0066
5.0000,0.0055
6.0000,0.0051
7.0000,0.0048
8.0000,0.0031
9.0000,0.0035
10.0000,0.0475
11.0000,0.0025
12.0000,0.0031
13.0000,0.0025
14.0000,0.0027
15.0000,0.0024
16.0000,0.0023
17.0000,0.0024
18.0000,0.0016
19.0000,0.0021
20.0000,0.2025
21.0000,0.0028
22.0000,0.0022
23.0000,0.0021
24.0000,0.0021
25.0000,0.0018
26.0000,0.0022
27.0000,0.0022
28.0000,0.0017
29.0000,0.0024
30.0000,0.1037
31.0000,0.0017
32.0000,0.0022
33.0000,0.0026
34.0000,0.0016
35.0000,0.0020
36.0000,0.0019
37.0000,0.0021
38.0000,0.0019
39.0000,0.0012
40.0000,0.6134
41.0000,0.0022
42.0000,0.0020
43.0000,0.0018
44.0000,0.0020
45.0000,0.0020
46.0000,0.0032
47.0000,0.0022
48.0000,0.0019
49.0000,0.0020
50.0000,0.0957
51.0000,0.0018
52.0000,0.0019
53.0000,0.0015
54.0000,0.0018
55.0000,0.0017
56.0000,0.0024
57.0000,0.0023
58.0000,0.0021
59.0000,0.0021
60.0000,0.2399
61.0000,0.0026
62.0000,0.0018
63.0000,0.0015
64.0000,0.0021
65.0000,0.0020
66.0000,0.0018
67.0000,0.0020
68.0000,0.0012
69.0000,0.0021
70.0000,0.1830
71.0000,0.0012
72.0000,0.0015
73.0000,0.0024
74.0000,0.0017
75.0000,0.0019
76.0000,0.0012
77.0000,0.0015
78.0000,0.0019
79.0000,0.0018
80.0000,0.1292
81.0000,0.0009
82.0000,0.0016
83.0000,0.0012
84.0000,0.0018
85.0000,0.0016
86.0000,0.0019
87.0000,0.0011
88.0000,0.0016
89.0000,0.0013
90.0000,0.1623
91.0000,0.0011
92.0000,0.0012
93.0000,0.0010
94.0000,0.0010
95.0000,0.0022
96.0000,0.0010
97.0000,0.0011
98.0000,0.0020
99.0000,0.0015
