timestamp,dataset,rank1,mAP,loss
2025-07-29 22:50:37,0,0.4000,0.2787,0.0000
2025-07-29 22:51:02,1,0.4000,0.3027,0.0000
2025-07-29 22:51:26,2,0.3667,0.2623,0.0000
2025-07-29 22:51:51,3,0.3667,0.2697,0.0000
2025-07-29 22:52:16,4,0.5167,0.3141,0.0000
2025-07-29 23:51:33,0,0.4333,0.3453,0.0000
2025-07-29 23:51:57,1,0.4333,0.2688,0.0000
2025-07-29 23:52:21,2,0.5167,0.3348,0.0000
2025-07-29 23:52:45,3,0.4167,0.3313,0.0000
2025-07-29 23:53:09,4,0.5167,0.3639,0.0000
2025-07-30 00:49:30,0,0.5000,0.3634,0.0000
2025-07-30 00:49:54,1,0.3833,0.2961,0.0000
2025-07-30 00:50:18,2,0.4667,0.3343,0.0000
2025-07-30 00:50:42,3,0.5167,0.4003,0.0000
2025-07-30 00:51:05,4,0.5667,0.3811,0.0000
2025-07-30 01:47:27,0,0.5333,0.4163,0.0000
2025-07-30 01:47:50,1,0.4167,0.3062,0.0000
2025-07-30 01:48:14,2,0.5167,0.3690,0.0000
2025-07-30 01:48:38,3,0.4667,0.3867,0.0000
2025-07-30 01:49:02,4,0.5667,0.4191,0.0000
2025-07-30 02:45:31,0,0.4167,0.2740,0.0000
2025-07-30 02:45:55,1,0.5500,0.3885,0.0000
2025-07-30 02:46:19,2,0.4333,0.2568,0.0000
2025-07-30 02:46:42,3,0.4333,0.2453,0.0000
2025-07-30 02:47:06,4,0.4000,0.2594,0.0000
2025-07-30 03:43:25,0,0.6000,0.4443,0.0000
2025-07-30 03:43:48,1,0.4167,0.3058,0.0000
2025-07-30 03:44:15,2,0.5500,0.3817,0.0000
2025-07-30 03:44:39,3,0.5000,0.4088,0.0000
2025-07-30 03:45:02,4,0.5833,0.4272,0.0000
2025-07-30 04:41:24,0,0.5500,0.4003,0.0000
2025-07-30 04:41:48,1,0.4333,0.2949,0.0000
2025-07-30 04:42:11,2,0.4500,0.3296,0.0000
2025-07-30 04:42:35,3,0.6667,0.4677,0.0000
2025-07-30 04:42:58,4,0.5500,0.4075,0.0000
2025-07-30 05:39:15,0,0.5833,0.4055,0.0000
2025-07-30 05:39:38,1,0.4833,0.3252,0.0000
2025-07-30 05:40:01,2,0.5333,0.3701,0.0000
2025-07-30 05:40:26,3,0.5167,0.3898,0.0000
2025-07-30 05:40:49,4,0.6000,0.4289,0.0000
2025-07-30 06:37:32,0,0.5833,0.4091,0.0000
2025-07-30 06:37:56,1,0.4833,0.3117,0.0000
2025-07-30 06:38:20,2,0.5167,0.3728,0.0000
2025-07-30 06:38:44,3,0.5167,0.3859,0.0000
2025-07-30 06:39:08,4,0.6000,0.4295,0.0000
2025-07-30 07:35:35,0,0.5833,0.4123,0.0000
2025-07-30 07:35:59,1,0.4500,0.3042,0.0000
2025-07-30 07:36:25,2,0.5333,0.3703,0.0000
2025-07-30 07:36:49,3,0.5333,0.3831,0.0000
2025-07-30 07:37:13,4,0.5833,0.4259,0.0000
2025-07-30 08:34:20,0,0.5667,0.4344,0.0000
2025-07-30 08:34:51,1,0.4500,0.3054,0.0000
2025-07-30 08:35:26,2,0.5667,0.4014,0.0000
2025-07-30 08:35:52,3,0.5833,0.4142,0.0000
2025-07-30 08:36:16,4,0.5500,0.4185,0.0000
