timestamp,dataset,rank1,mAP,loss
2025-07-30 12:57:35,client_2,0.4167,0.2693,0.0000
2025-07-30 12:59:33,client_2,0.4667,0.2845,0.0000
2025-07-30 13:01:58,client_2,0.4833,0.3027,0.0000
2025-07-30 13:04:23,client_2,0.4333,0.3062,0.0000
2025-07-30 13:06:46,client_2,0.4500,0.3060,0.0000
2025-07-30 13:09:09,client_2,0.4333,0.3103,0.0000
2025-07-30 13:11:31,client_2,0.4167,0.3163,0.0000
2025-07-30 13:13:54,client_2,0.4167,0.3116,0.0000
2025-07-30 13:16:18,client_2,0.4500,0.3237,0.0000
2025-07-30 13:18:40,client_2,0.4333,0.3257,0.0000
2025-07-30 13:21:02,client_2,0.4333,0.3187,0.0000
2025-07-30 13:23:25,client_2,0.4333,0.3175,0.0000
2025-07-30 13:25:48,client_2,0.4333,0.3139,0.0000
2025-07-30 13:28:12,client_2,0.4333,0.3161,0.0000
2025-07-30 13:30:35,client_2,0.4500,0.3226,0.0000
2025-07-30 13:32:57,client_2,0.4667,0.3246,0.0000
2025-07-30 13:35:20,client_2,0.4167,0.3152,0.0000
2025-07-30 13:37:43,client_2,0.4167,0.3177,0.0000
2025-07-30 13:40:07,client_2,0.4167,0.3125,0.0000
2025-07-30 13:42:29,client_2,0.4500,0.3214,0.0000
2025-07-30 13:44:53,client_2,0.4333,0.3129,0.0000
2025-07-30 13:45:05,client_2,0.4333,0.3168,0.0000
