round,cosine_ensemble_sim
1.0000,0.5773
2.0000,0.3238
3.0000,0.1937
4.0000,0.1571
5.0000,0.1515
6.0000,0.1389
7.0000,0.1337
8.0000,0.1218
9.0000,0.0577
10.0000,0.0713
11.0000,0.0853
12.0000,0.0986
13.0000,0.1596
14.0000,0.1952
15.0000,0.2907
16.0000,0.2906
17.0000,0.2835
18.0000,0.2833
19.0000,0.1237
20.0000,0.1269
21.0000,0.0804
22.0000,0.0831
23.0000,0.0906
24.0000,0.0757
25.0000,0.0558
26.0000,0.0524
27.0000,0.0567
28.0000,0.0681
29.0000,0.0747
30.0000,0.0627
31.0000,0.1290
32.0000,0.1290
33.0000,0.1247
34.0000,0.1514
35.0000,0.1484
36.0000,0.1218
37.0000,0.1120
38.0000,0.2120
39.0000,0.1042
40.0000,0.2203
41.0000,0.2320
42.0000,0.1161
43.0000,0.1310
44.0000,0.0577
45.0000,0.0800
46.0000,0.0905
47.0000,0.0978
48.0000,0.1411
49.0000,0.1247
50.0000,0.1173
51.0000,0.1185
52.0000,0.0503
53.0000,0.0485
54.0000,0.0549
55.0000,0.0520
56.0000,0.0636
57.0000,0.0640
58.0000,0.0535
59.0000,0.0459
60.0000,0.0438
61.0000,0.0439
62.0000,0.0621
63.0000,0.0631
64.0000,0.0460
65.0000,0.0585
66.0000,0.0993
67.0000,0.1037
68.0000,0.1030
69.0000,0.1022
70.0000,0.0580
71.0000,0.1180
72.0000,0.1088
73.0000,0.1064
74.0000,0.1069
75.0000,0.1042
76.0000,0.1244
77.0000,0.1518
78.0000,0.1236
79.0000,0.1301
80.0000,0.1310
81.0000,0.1090
82.0000,0.1217
83.0000,0.0534
84.0000,0.1027
85.0000,0.2269
86.0000,0.3582
87.0000,0.5613
88.0000,0.4215
89.0000,0.2244
90.0000,0.1161
91.0000,0.0720
92.0000,0.0602
93.0000,0.0737
94.0000,0.0674
95.0000,0.0643
96.0000,0.0652
97.0000,0.1145
98.0000,0.1055
99.0000,0.0890
