timestamp,dataset,rank1,mAP,loss
2025-07-29 22:58:18,3,0.4167,0.3013,0.0000
2025-07-29 23:50:10,3,0.5000,0.3707,0.0000
2025-07-30 00:43:20,3,0.5167,0.3994,0.0000
2025-07-30 01:45:41,3,0.5500,0.4243,0.0000
2025-07-30 02:44:32,3,0.5667,0.4399,0.0000
2025-07-30 03:43:30,3,0.6000,0.4494,0.0000
2025-07-30 04:36:32,3,0.6167,0.4569,0.0000
2025-07-30 05:37:20,3,0.6167,0.4538,0.0000
2025-07-30 06:35:24,3,0.6333,0.4566,0.0000
2025-07-30 07:34:42,3,0.6667,0.4691,0.0000
2025-07-30 08:35:14,3,0.6667,0.4720,0.0000
